variant,n_shots,spearman_rho,spearman_p,pearson_r,pearson_p
L9,0,0.4157,3.814e-04,0.4095,4.755e-04
L9,1,0.0422,7.305e-01,0.0889,4.678e-01
L9,2,-0.0509,6.779e-01,-0.0617,6.147e-01
L9,3,-0.1017,4.059e-01,-0.1608,1.868e-01
L9,4,-0.1299,2.875e-01,-0.1998,9.980e-02
L9,5,-0.0889,4.677e-01,-0.1535,2.080e-01
L9,6,-0.1308,2.841e-01,-0.1630,1.807e-01
L9,pooled,0.6288,1.588e-54,0.7244,9.921e-80
L10,0,0.4089,4.866e-04,0.3944,7.987e-04
L10,1,-0.0696,5.700e-01,-0.0018,9.884e-01
L10,2,-0.1650,1.754e-01,-0.1460,2.314e-01
L10,3,-0.2180,7.199e-02,-0.2643,2.820e-02
L10,4,-0.2305,5.670e-02,-0.2958,1.360e-02
L10,5,-0.2177,7.232e-02,-0.2716,2.397e-02
L10,6,-0.2472,4.058e-02,-0.2917,1.503e-02
L10,pooled,0.5726,1.976e-43,0.6775,3.751e-66
L11,0,0.3730,1.598e-03,0.3942,8.033e-04
L11,1,-0.0695,5.704e-01,-0.0283,8.172e-01
L11,2,-0.1842,1.297e-01,-0.2053,9.062e-02
L11,3,-0.1853,1.274e-01,-0.2783,2.060e-02
L11,4,-0.1394,2.533e-01,-0.2417,4.544e-02
L11,5,-0.0972,4.268e-01,-0.1582,1.942e-01
L11,6,-0.0937,4.436e-01,-0.1481,2.245e-01
L11,pooled,0.5985,2.949e-48,0.6911,7.644e-70
L12,0,0.3496,3.240e-03,0.3981,7.040e-04
L12,1,-0.0215,8.608e-01,-0.0373,7.611e-01
L12,2,-0.3034,1.127e-02,-0.3635,2.141e-03
L12,3,-0.3066,1.040e-02,-0.3720,1.647e-03
L12,4,-0.2613,3.010e-02,-0.3174,7.871e-03
L12,5,-0.1971,1.045e-01,-0.2121,8.014e-02
L12,6,-0.1590,1.918e-01,-0.1772,1.453e-01
L12,pooled,0.5588,5.085e-41,0.6773,4.046e-66
L13,0,0.3661,1.977e-03,0.4133,4.167e-04
L13,1,0.0855,4.847e-01,0.0508,6.782e-01
L13,2,-0.2339,5.303e-02,-0.2942,1.415e-02
L13,3,-0.3010,1.196e-02,-0.3591,2.444e-03
L13,4,-0.2947,1.396e-02,-0.3451,3.680e-03
L13,5,-0.3169,7.976e-03,-0.3175,7.853e-03
L13,6,-0.3075,1.016e-02,-0.2795,2.001e-02
L13,pooled,0.5242,1.938e-35,0.6499,2.719e-59
L14,0,0.3648,2.060e-03,0.3991,6.817e-04
L14,1,0.0526,6.678e-01,0.0324,7.916e-01
L14,2,-0.2732,2.311e-02,-0.3461,3.582e-03
L14,3,-0.3908,9.015e-04,-0.4469,1.184e-04
L14,4,-0.3892,9.490e-04,-0.4439,1.333e-04
L14,5,-0.4042,5.731e-04,-0.4630,6.176e-05
L14,6,-0.3797,1.293e-03,-0.4321,2.094e-04
L14,pooled,0.4583,1.850e-26,0.5910,8.075e-47
L15,0,0.3580,2.523e-03,0.3845,1.107e-03
L15,1,-0.0549,6.540e-01,-0.0712,5.609e-01
L15,2,-0.2078,8.673e-02,-0.2453,4.217e-02
L15,3,-0.2651,2.769e-02,-0.3263,6.209e-03
L15,4,-0.2297,5.761e-02,-0.2736,2.292e-02
L15,5,-0.2730,2.324e-02,-0.3113,9.223e-03
L15,6,-0.2138,7.772e-02,-0.2605,3.061e-02
L15,pooled,0.5192,1.088e-34,0.6264,5.305e-54
L16,0,0.3464,3.545e-03,0.3743,1.533e-03
L16,1,-0.1430,2.411e-01,-0.1677,1.683e-01
L16,2,-0.3292,5.744e-03,-0.3629,2.182e-03
L16,3,-0.3706,1.722e-03,-0.4332,2.009e-04
L16,4,-0.3332,5.155e-03,-0.3746,1.516e-03
L16,5,-0.3696,1.775e-03,-0.4165,3.719e-04
L16,6,-0.3214,7.092e-03,-0.3612,2.295e-03
L16,pooled,0.4239,1.734e-22,0.5369,2.030e-37
L17,0,0.3368,4.656e-03,0.3624,2.213e-03
L17,1,-0.1610,1.862e-01,-0.1623,1.827e-01
L17,2,-0.3295,5.698e-03,-0.3468,3.512e-03
L17,3,-0.3674,1.900e-03,-0.4111,4.496e-04
L17,4,-0.3179,7.761e-03,-0.3563,2.655e-03
L17,5,-0.3737,1.560e-03,-0.4098,4.701e-04
L17,6,-0.3161,8.138e-03,-0.3567,2.623e-03
L17,pooled,0.3956,1.522e-19,0.4988,9.580e-32
L18,0,0.3210,7.156e-03,0.3506,3.146e-03
L18,1,-0.1696,1.635e-01,-0.1742,1.523e-01
L18,2,-0.3793,1.307e-03,-0.3744,1.530e-03
L18,3,-0.4051,5.541e-04,-0.4415,1.462e-04
L18,4,-0.3694,1.786e-03,-0.3827,1.172e-03
L18,5,-0.4155,3.845e-04,-0.4415,1.465e-04
L18,6,-0.3619,2.245e-03,-0.3848,1.097e-03
L18,pooled,0.3433,8.355e-15,0.4383,4.314e-24
L19,0,0.3083,9.955e-03,0.3435,3.852e-03
L19,1,-0.2214,6.757e-02,-0.2180,7.190e-02
L19,2,-0.3911,8.910e-04,-0.3954,7.718e-04
L19,3,-0.4253,2.701e-04,-0.4492,1.080e-04
L19,4,-0.3849,1.093e-03,-0.3878,9.952e-04
L19,5,-0.4344,1.919e-04,-0.4486,1.106e-04
L19,6,-0.3845,1.107e-03,-0.3952,7.785e-04
L19,pooled,0.2954,3.483e-11,0.3694,4.614e-17
L20,0,0.3023,1.158e-02,0.3280,5.930e-03
L20,1,-0.2750,2.221e-02,-0.2587,3.183e-02
L20,2,-0.3686,1.833e-03,-0.3737,1.560e-03
L20,3,-0.3852,1.081e-03,-0.4223,3.007e-04
L20,4,-0.3333,5.132e-03,-0.3451,3.687e-03
L20,5,-0.3848,1.095e-03,-0.4063,5.325e-04
L20,6,-0.3256,6.336e-03,-0.3510,3.110e-03
L20,pooled,0.2980,2.299e-11,0.3588,4.019e-16
maxL9-20,0,0.3201,7.342e-03,0.3574,2.574e-03
maxL9-20,1,0.0728,5.524e-01,0.0230,8.512e-01
maxL9-20,2,-0.2332,5.380e-02,-0.2599,3.105e-02
maxL9-20,3,-0.3182,7.715e-03,-0.3654,2.023e-03
maxL9-20,4,-0.2873,1.670e-02,-0.3264,6.202e-03
maxL9-20,5,-0.3238,6.637e-03,-0.3660,1.981e-03
maxL9-20,6,-0.2945,1.405e-02,-0.3209,7.189e-03
maxL9-20,pooled,0.5326,9.648e-37,0.6455,2.830e-58
meanL9-20,0,0.3527,2.953e-03,0.3867,1.029e-03
meanL9-20,1,-0.0973,4.264e-01,-0.1193,3.288e-01
meanL9-20,2,-0.3434,3.863e-03,-0.3847,1.101e-03
meanL9-20,3,-0.4138,4.089e-04,-0.4768,3.451e-05
meanL9-20,4,-0.3779,1.368e-03,-0.4241,2.821e-04
meanL9-20,5,-0.4037,5.829e-04,-0.4568,7.961e-05
meanL9-20,6,-0.3637,2.125e-03,-0.4069,5.216e-04
meanL9-20,pooled,0.4692,8.279e-28,0.5955,1.111e-47
