layer,input,cue,label,query_cue
0,0.08498,0.07647,0.07588,0.07700
1,0.07740,0.07236,0.06851,0.07161
2,0.06987,0.06261,0.06046,0.06274
3,0.08003,0.08004,0.07422,0.08104
4,0.08985,0.11573,0.09393,0.12552
5,0.10048,0.13023,0.10823,0.13887
6,0.11602,0.18566,0.13828,0.20524
7,0.11663,0.18847,0.13782,0.20901
8,0.12475,0.23992,0.18456,0.27409
9,0.13452,0.25634,0.21480,0.29055
10,0.12776,0.24135,0.20282,0.27311
11,0.14467,0.26399,0.21429,0.29165
12,0.13383,0.27836,0.20461,0.30829
13,0.14389,0.30673,0.22031,0.34634
14,0.13943,0.28690,0.21038,0.32154
15,0.14746,0.29924,0.21959,0.33808
16,0.14664,0.29345,0.21656,0.32901
17,0.14403,0.28308,0.21053,0.31478
18,0.14807,0.28005,0.21644,0.31088
19,0.14529,0.27275,0.21296,0.30161
20,0.15459,0.26848,0.22754,0.29606
21,0.15083,0.25668,0.21752,0.28207
22,0.14931,0.25231,0.21203,0.27713
23,0.15065,0.24986,0.21151,0.27419
24,0.14777,0.24368,0.20713,0.26743
25,0.14431,0.23741,0.20029,0.26050
26,0.14146,0.21880,0.19193,0.23922
27,0.15008,0.20783,0.19751,0.22535
