task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
adjective_to_adverb,train,0.0,0.14002,0.27736,0.28952,0.27973,0.0,0.07308,0.09524,0.08968,0.08733,0.0,13.23397,24.96583,26.4514,25.48573,0.0,7.63457,8.91237,8.74991,8.45822
adjective_to_noun,train,0.0,0.09348,0.20852,0.27615,0.27073,0.0,0.06741,0.09186,0.13583,0.13426,0.0,8.43159,19.83178,27.75583,26.95728,0.0,6.22183,9.55888,15.14176,14.73182
ag_news,heldout,0.0,0.06604,0.19734,0.22072,0.20787,0.0,0.05068,0.10515,0.1066,0.09608,0.0,5.03083,18.16117,21.01411,19.12765,0.0,3.60059,9.75175,10.46059,8.93226
agent_noun_to_verb,train,0.0,0.10197,0.22846,0.28281,0.27441,0.0,0.076,0.10249,0.14201,0.13711,0.0,8.99753,21.3007,27.66625,26.56304,0.0,6.63306,9.97429,14.86933,14.11703
animal_class,train,0.0,0.16016,0.23526,0.23732,0.22143,0.0,0.09807,0.11419,0.11369,0.10523,0.0,14.74097,23.60229,24.12329,21.82521,0.0,9.20854,12.50001,12.73937,11.23312
animal_plant_object,train,0.0,0.09058,0.20703,0.20213,0.18188,0.0,0.0741,0.11951,0.11775,0.10803,0.0,7.2263,19.63432,19.50449,17.20322,0.0,5.67674,11.84788,11.98439,10.6673
antonym,train,0.0,0.07107,0.20008,0.23368,0.22855,0.0,0.07831,0.10406,0.08593,0.07421,0.0,6.05606,21.50189,25.30861,24.62389,0.0,6.66068,12.6127,11.28571,9.99635
article_choice,train,0.0,0.11566,0.16906,0.16728,0.13285,0.0,0.07906,0.10416,0.11267,0.11198,0.0,9.08137,15.05165,14.821,11.02114,0.0,5.87555,9.29491,9.97945,9.16294
capitalize,train,0.0,0.05567,0.18468,0.22204,0.21297,0.0,0.07505,0.12075,0.12909,0.11698,0.0,4.93265,17.35949,19.90906,18.55017,0.0,6.6588,11.89626,11.80853,10.17529
capitalize_first_letter,train,0.0,0.13155,0.17075,0.17228,0.13907,0.0,0.0638,0.07397,0.08569,0.08393,0.0,11.96839,16.387,16.69021,12.84357,0.0,6.03182,7.75484,8.961,8.01349
