alpha,task_group,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,proj_task_raw,proj_gen_raw,d_proj_task,d_proj_gen
0.0,train,0.17831,0.27483,0.0,0.0,15.96962,24.67783,0.0,0.0
0.0,heldout,0.20009,0.27517,0.0,0.0,17.7907,24.46334,0.0,0.0
0.0,all,0.18273,0.2749,0.0,0.0,16.33911,24.63431,0.0,0.0
0.5,train,0.2971,0.35291,0.11879,0.07807,26.52669,31.52302,10.55707,6.84518
0.5,heldout,0.30663,0.35073,0.10654,0.07556,27.14848,31.11232,9.35778,6.64898
0.5,all,0.29903,0.35247,0.1163,0.07756,26.65285,31.43969,10.31373,6.80537
1.0,train,0.40794,0.37641,0.22963,0.10158,37.30217,34.40399,21.33255,9.72616
1.0,heldout,0.41817,0.38142,0.21808,0.10625,38.04916,34.73518,20.25846,10.27184
1.0,all,0.41002,0.37743,0.22728,0.10252,37.45373,34.47119,21.11462,9.83688
2.0,train,0.42083,0.37631,0.24252,0.10147,38.63739,34.52653,22.66777,9.8487
2.0,heldout,0.43463,0.3836,0.23454,0.10843,39.7534,35.09263,21.9627,10.62929
2.0,all,0.42363,0.37779,0.2409,0.10288,38.86383,34.64139,22.52471,10.00708
4.0,train,0.4037,0.36888,0.22538,0.09405,36.47295,33.27262,20.50333,8.59478
4.0,heldout,0.41757,0.3753,0.21748,0.10013,37.70319,33.87021,19.91249,9.40687
4.0,all,0.40651,0.37019,0.22378,0.09528,36.72256,33.39387,20.38345,8.75955
