icl_example_index,token_role,k,activation_k,fv_k,feature_dim,target_dim,layer,train_sample_count,test_sample_count,pca_train_mse,pca_test_mse,fv_train_mse,fv_test_mse,fv_recon_floor_test_mse
1,pre_label_token,1,1,1,1,1,11,2600,910,164.2966766357422,152.45228576660156,0.17994123697280884,0.20905151963233948,0.17183154821395874
1,pre_label_token,2,2,2,2,2,11,2600,910,112.96414947509766,106.88591766357422,0.16074074804782867,0.2008710652589798,0.14868038892745972
1,pre_label_token,4,4,4,4,4,11,2600,910,76.62071228027344,77.53160858154297,0.14549103379249573,0.2052551805973053,0.12954093515872955
1,pre_label_token,8,8,8,8,8,11,2600,910,40.65346908569336,46.976837158203125,0.10689377784729004,0.20850983262062073,0.11675820499658585
1,pre_label_token,16,16,16,16,16,11,2600,910,21.369049072265625,27.052459716796875,0.08482597768306732,0.20486263930797577,0.09918902069330215
1,pre_label_token,32,32,16,32,16,11,2600,910,18.213382720947266,29.467029571533203,0.07249919325113297,0.21429443359375,0.09918902069330215
1,pre_label_token,64,64,16,64,16,11,2600,910,16.189184188842773,30.08745574951172,0.06459221243858337,0.21671800315380096,0.09918902069330215
1,pre_label_token,128,128,16,128,16,11,2600,910,14.153095245361328,31.330976486206055,0.056638699024915695,0.22157543897628784,0.09918902069330215
1,pre_label_token,256,256,16,256,16,11,2600,910,11.820196151733398,32.987796783447266,0.04752577841281891,0.22804740071296692,0.09918902069330215
1,pre_label_token,512,512,16,512,16,11,2600,910,9.554584503173828,35.69189453125,0.03867577761411667,0.23861049115657806,0.09918902069330215
1,pre_label_token,1024,1024,16,1024,16,11,2600,910,6.13346529006958,39.68318557739258,0.025311999022960663,0.25420132279396057,0.09918902069330215
1,first_label_token,1,1,1,1,1,11,2600,910,229.97305297851562,183.0562286376953,0.19597545266151428,0.21652305126190186,0.17183154821395874
1,first_label_token,2,2,2,2,2,11,2600,910,119.93822479248047,78.21019744873047,0.16414611041545868,0.18686926364898682,0.14868038892745972
1,first_label_token,4,4,4,4,4,11,2600,910,48.71909713745117,44.66436767578125,0.11824329197406769,0.1731584370136261,0.12954093515872955
1,first_label_token,8,8,8,8,8,11,2600,910,23.669231414794922,22.537748336791992,0.07372146099805832,0.1607772558927536,0.11675820499658585
1,first_label_token,16,16,16,16,16,11,2600,910,10.229968070983887,13.685270309448242,0.04131394997239113,0.1526470184326172,0.09918902069330215
1,first_label_token,32,32,16,32,16,11,2600,910,7.8866286277771,13.190247535705566,0.03216027095913887,0.15071330964565277,0.09918902069330215
