analysis,n_rows,n90_pcs,n95_pcs,stable_rank_raw,stable_rank_centered
cosine_M__natural_r_task,55,27,34,,
cosine_M__natural_pooled_perprompt,8250,322,553,3.65,7.87
cosine_M__natural_within_task_median,150,89,112,,
cosine_M__natural_task_mean_of_r,55,27,34,,
