protocol,setting,family,cos_diff,r2_diff,norm_ratio,cos_centroid_nat,r2_within_fam,baseline_cos_diff,shuffled_cos_diff,stratum,read_layer,write_layer
fixed,fixed,c_comment_style,0.2824134812111662,-0.0980725840545742,0.7041123766619185,0.3319098586056584,0.0019227620900145181,0.14319013408417822,-0.02985196274967843,comments / docs,5,24
fixed,fixed,docstring_quotes,0.5744870201152565,0.3035222857106228,0.7373153056503111,0.18298464769907602,0.024291973765663055,0.011040589757501981,0.0325501354833496,comments / docs,5,24
fixed,fixed,float_literals,0.3325000730549298,-0.6868527356362706,1.2254776955168842,0.6569380503090045,-0.006628789246519995,0.19117325635404328,-0.04621708482128526,literals,5,24
fixed,fixed,js_quotes,0.8055669682326627,0.4905636750843497,1.2035298625120385,0.8575031817436748,0.04179230337304196,-0.08606090338138189,0.03945469538311105,literals,5,24
fixed,fixed,js_semicolons,0.10537911939655131,-2.2033404557116287,1.593480330509701,0.07693732068159369,-0.019181299830860477,0.19377376639071744,0.07444164443803636,syntax / dialect,5,24
fixed,fixed,js_var,0.27728631318957675,-0.6314495089785535,1.1189140268853783,0.3100074229304638,0.002036464582356401,0.25712096348411284,-0.02143714128557083,syntax / dialect,5,24
fixed,fixed,line_wrap,0.3873314642284751,0.05732056684985909,0.6918065803406392,0.46804037076584537,0.027102772770512096,-0.02227058334362754,0.03539663496319655,formatting,5,24
fixed,fixed,operator_spaces,0.6358504426392847,0.4043055215883302,0.6363640730943922,0.8029826679769958,0.032586960810766175,0.20347946508789225,-0.035423653842709256,formatting,5,24
fixed,fixed,py2_except,0.2908529723492872,-0.16825636907139696,0.7936967061233218,0.25351029147170123,-0.038277624321014114,0.17753689861135255,-0.024466483118008475,syntax / dialect,5,24
fixed,fixed,py_const_naming,0.42855692174706156,0.17843170961927046,0.35624284595232697,0.4183805260495034,0.07265168228788821,0.12964247930600548,-0.0005848331109788431,naming,5,24
fixed,fixed,py_fstring,0.541387867614207,0.12695201108080034,0.949001424944013,0.7865585009332698,0.01790189314329005,0.18579789331403337,0.051024935134090565,literals,5,24
fixed,fixed,py_not_in,-0.01965745621638998,-2.5308297841977736,1.5713221790343797,0.5257655063715841,-0.06960340920483321,0.16643667885048208,0.12150431988099301,syntax / dialect,5,24
fixed,fixed,py_private,0.19252166597403486,-0.5013124295443954,0.9262634607586944,0.2147613481115644,-0.004823956556836206,0.005044744679002405,0.04018846891240658,naming,5,24
fixed,fixed,py_self_name,0.16988571041090925,-0.7504294830267475,1.0526601083340519,0.21993015675414868,-0.02032726672286822,0.16492321601111953,0.0031845760433314926,syntax / dialect,5,24
fixed,fixed,py_snake_camel,0.7582116824983209,0.5632694192517028,0.6504362853743352,0.9059275807126232,0.06735116557448073,-0.09768404389210773,0.028287855242234757,naming,5,24
fixed,fixed,py_ternary,0.3760684696035038,-0.186789264141332,0.9489705187980018,0.531194526034658,0.02346349409965498,0.1893119502976567,0.10546315369348402,syntax / dialect,5,24
fixed,fixed,rust_question,-0.06630428077675837,-0.7720551607903106,0.8148605269860311,0.2178959423580886,-0.009839460750318718,0.12542632204980836,-0.0028904049783494107,other languages,5,24
fixed,fixed,sql_join_style,0.2903370156973389,-0.07074003769902126,0.68408264473093,0.5390520310164232,-0.008269843771060437,0.101186796281168,-0.012262062300656794,other languages,5,24
fixed,fixed,trailing_commas,0.36952051445065226,0.1349639769260107,0.4092877581804371,0.39579566497802365,0.006956533135490384,-0.041568435729906705,0.023159596193857077,syntax / dialect,5,24
fixed,fixed,c_comment_style,0.3008530424669186,-0.03494267144098573,0.655049632798598,0.32229938978602113,0.0034621027456207543,0.14319013408417822,0.014608915079040377,comments / docs,6,24
fixed,fixed,docstring_quotes,0.5483762317443709,0.27741385055154055,0.7010282575763803,0.19300813194075814,0.023418407486856085,0.011040589757501981,0.021136825154159326,comments / docs,6,24
fixed,fixed,float_literals,0.32668720574459714,-0.9548518935977452,1.3570155145835607,0.6554660863170058,-0.011442075737375434,0.19117325635404328,-0.0781288621647484,literals,6,24
fixed,fixed,js_quotes,0.8079686411139068,0.5256029048414874,1.1646343391870044,0.8529753187304859,0.03967078668990631,-0.08606090338138189,0.054794940231151036,literals,6,24
fixed,fixed,js_semicolons,0.12750280309372986,-1.4841407634863115,1.352410035615063,0.009621763375193684,-0.011663982350794688,0.19377376639071744,-0.04698669912486814,syntax / dialect,6,24
fixed,fixed,js_var,0.28710718740774527,-0.3994233663428417,0.9812641605802604,0.30352361321363364,0.006193790067713811,0.25712096348411284,0.018482862264790515,syntax / dialect,6,24
fixed,fixed,line_wrap,0.3903430998035744,0.04487995777359233,0.7181963867943734,0.46794126816942466,0.027787104524121364,-0.02227058334362754,-0.047586126657129274,formatting,6,24
fixed,fixed,operator_spaces,0.6522028317583141,0.4251860798654036,0.6386952824557796,0.8056700022857741,0.03472717064182895,0.20347946508789225,0.019932074688552195,formatting,6,24
fixed,fixed,py2_except,0.34200133542143746,-0.4245375295976175,1.0778698311648436,0.25275609659144893,-0.0929410716022081,0.17753689861135255,-0.023274903966521918,syntax / dialect,6,24
fixed,fixed,py_const_naming,0.41378572595951535,0.1642662574955004,0.3304048557773034,0.41204936860219643,0.07118211588879642,0.12964247930600548,0.010227187945651214,naming,6,24
fixed,fixed,py_fstring,0.526134674132626,0.1356368007990052,0.9018751357888608,0.798694621692013,0.01892144219550773,0.18579789331403337,0.016826303868537316,literals,6,24
fixed,fixed,py_not_in,-0.014527504619620404,-1.9214216738736671,1.3717021741364435,0.5111914182168288,-0.05510324796242827,0.16643667885048208,-0.10376397530218529,syntax / dialect,6,24
fixed,fixed,py_private,0.18612255159045,-0.40489616407952567,0.8490989978463221,0.17839921489989202,-0.004769101736254999,0.005044744679002405,-0.046903456044145295,naming,6,24
fixed,fixed,py_self_name,0.21795599864968104,-0.7324384852949208,1.1010999861411324,0.2198015967643312,-0.024824551161351627,0.16492321601111953,0.0656324663091798,syntax / dialect,6,24
fixed,fixed,py_snake_camel,0.7800240284442314,0.5701233726812238,0.584284118693705,0.9103593893085101,0.06743839321540324,-0.09768404389210773,0.028548121767708722,naming,6,24
fixed,fixed,py_ternary,0.40718660268761486,-0.08011751842734105,0.9030882540617805,0.5402140612405527,0.02419957516954585,0.1893119502976567,0.11174339418925064,syntax / dialect,6,24
fixed,fixed,rust_question,-0.06264737853786741,-0.8896311285685132,0.8826334382600722,0.20830366420036658,-0.01427755647704032,0.12542632204980836,0.010383169008318026,other languages,6,24
fixed,fixed,sql_join_style,0.17712758566180084,-0.18002087866325867,0.6369047711175793,0.5925650143006999,-0.005478011054374399,0.101186796281168,0.025781400601913893,other languages,6,24
fixed,fixed,trailing_commas,0.350053419037114,0.11308024181378262,0.44730132063807737,0.33081259916795414,0.008110186779730744,-0.041568435729906705,0.028397968426361036,syntax / dialect,6,24
fixed,fixed,c_comment_style,0.3045058966783641,-0.07318955657019677,0.7118305800478988,0.3175541332419411,0.003131596584544649,0.14319013408417822,-0.008999746695049129,comments / docs,7,24
fixed,fixed,docstring_quotes,0.5344922589114521,0.25660463038461334,0.7050130624858376,0.20464281140877671,0.019708412749230186,0.011040589757501981,-0.08186482655356732,comments / docs,7,24
fixed,fixed,float_literals,0.3094837921824924,-1.0618859567873251,1.3854327567765303,0.6468154295216763,-0.011869768831597405,0.19117325635404328,0.03317423366885482,literals,7,24
fixed,fixed,js_quotes,0.8037093075315049,0.5149800566018388,1.1656051411783364,0.8538148760172468,0.04011894260497617,-0.08606090338138189,-0.01508688424547208,literals,7,24
fixed,fixed,js_semicolons,0.14558257937567315,-0.9897351219303547,1.1510324335941866,0.022378091583277474,-0.0049599865040066415,0.19377376639071744,-0.03299477138898799,syntax / dialect,7,24
fixed,fixed,js_var,0.3226841122836907,-0.6650113002503657,1.1996882950392118,0.3070510678497965,0.003417161444956851,0.25712096348411284,-0.01005057257344814,syntax / dialect,7,24
fixed,fixed,line_wrap,0.37994990107850424,0.02685647922719747,0.7227405778804963,0.4330130222666175,0.02812646799547469,-0.02227058334362754,-0.00013547300440884812,formatting,7,24
fixed,fixed,operator_spaces,0.637408703057765,0.40608920056472164,0.6232434579465534,0.8084948359914107,0.03680385178345902,0.20347946508789225,0.12578761614866676,formatting,7,24
fixed,fixed,py2_except,0.37092319235278387,-0.19348563527445006,0.9463097145269054,0.2851063820255472,-0.043380467981855464,0.17753689861135255,0.02622567549170246,syntax / dialect,7,24
fixed,fixed,py_const_naming,0.4294768529943782,0.16865542679987278,0.30379892948319814,0.42236235479110623,0.07190687435862597,0.12964247930600548,-0.018494640574243736,naming,7,24
fixed,fixed,py_fstring,0.5212310057461141,0.13015273668658522,0.8974344409570667,0.8166049163056153,0.017954927882869898,0.18579789331403337,-0.027804639426484253,literals,7,24
fixed,fixed,py_not_in,0.03944697673296738,-1.606719803308724,1.3076251453205263,0.5349082713732541,-0.04939159775642965,0.16643667885048208,0.05885446108753768,syntax / dialect,7,24
fixed,fixed,py_private,0.20986983082907393,-0.5901752800529652,1.0062495304354797,0.1653377489535287,-0.018350269070069647,0.005044744679002405,0.026536547454027372,naming,7,24
fixed,fixed,py_self_name,0.20661410350490328,-0.6433809954024308,1.0349077610742259,0.22010729722803823,-0.022501085340549842,0.16492321601111953,0.02184694107415991,syntax / dialect,7,24
fixed,fixed,py_snake_camel,0.7944188617276359,0.5553198462288899,0.5191344966798845,0.9122487897449837,0.06707400721532408,-0.09768404389210773,-0.01796624885737854,naming,7,24
fixed,fixed,py_ternary,0.4381966250144188,-0.1476212454589434,1.02098091412401,0.6000534585139689,0.02292471171122379,0.1893119502976567,0.06347154187849159,syntax / dialect,7,24
