family,read_span,write_span,read_pcs_11,read_pcs_50,read_pcs_200,write_pcs_11,write_pcs_50,write_pcs_200,nearest_read,cos_read,nearest_write,cos_write
py_snake_camel,0.8105560243745782,0.9309443450570387,0.17891401529851175,0.47106241690887085,0.8513526985063902,0.17525114483153512,0.33602918977709406,0.6890851819827877,js_camel_snake,-0.6527125124082787,js_camel_snake,-0.9107200034186564
js_camel_snake,0.7839105470378608,0.931423368518301,0.1342283226100624,0.399745328802817,0.7981151079164911,0.17325257347569614,0.313202147775174,0.6660533774838236,py_snake_camel,-0.6527125124082787,py_snake_camel,-0.9107200034186564
py_const_naming,0.6945556037106729,0.5672130284516588,0.2378483614431032,0.36693975177539195,0.7343165222795676,0.23573916437710074,0.35272241508899077,0.5610655895923488,sql_keyword_case,0.4620975794264582,sql_keyword_case,0.46914433842874853
py_class_naming,0.7659813047050142,0.85543938464344,0.1734953384640636,0.4872104128433464,0.7765613834560097,0.24513630552391785,0.41145113640083647,0.8000484896706278,comment_case,0.6380140121397135,comment_case,0.7921657215517061
py_private,0.34261309038472776,0.4501127713930308,0.15518085404394766,0.2997966739291501,0.5935002947046258,0.0911560345786154,0.24715685960045206,0.4427612436579578,py_tabs,0.1228109148058123,bash_test,-0.2402137352572035
py_bool_prefix,0.3546748802271385,0.5345510953274003,0.22498916264023436,0.38900455540962686,0.808857014682791,0.2533341236289525,0.35803224095071784,0.6214908694760606,js_hungarian,-0.14610141104488863,py_is_none,0.3632707223716073
py_loop_vars,0.5134962800596958,0.5274733279736937,0.23907903302651856,0.47296296652387393,0.8021229941008852,0.24129745256919868,0.363860883634521,0.68088277298118,py_abbrev,0.3728094340744541,py_abbrev,0.3479483185970623
js_hungarian,0.5030824420334948,0.4496383300246235,0.18099430659992521,0.49549372736093633,0.743563650907397,0.21532031753271216,0.35030389129638745,0.5382693788352245,py_abbrev,-0.3528995054308746,py_abbrev,-0.2589594084834183
py_abbrev,0.6206688043449577,0.5987004953500418,0.24050516595549037,0.5820229654579822,0.8408782985000116,0.11573114216350443,0.333419762756989,0.709329114839337,py_loop_vars,0.3728094340744541,py_loop_vars,0.3479483185970623
py_quotes,0.9626154170159368,0.9652087347293435,0.13542456296790883,0.7014917558644667,0.9629422096268035,0.1360105369556539,0.2815087765824201,0.7271278765961336,js_quotes,-0.94684772675011,js_quotes,-0.9547079324587447
js_quotes,0.9587016189203534,0.9637652006210525,0.11359172802563836,0.7334997165537464,0.9645387289154732,0.11350435495362735,0.2517192399774943,0.8100961721517442,py_quotes,-0.94684772675011,py_quotes,-0.9547079324587447
py_fstring,0.6093323268008772,0.5684052771168338,0.21401356712380892,0.4701382435888463,0.7823689891477483,0.16221209792069846,0.38005919584961073,0.5886346437457779,py2_print,0.3934996963650528,py2_print,0.40585486991630193
js_template,0.5925519315180315,0.5003152517635263,0.1795506156152485,0.4984721852598802,0.7966925802625967,0.10528695657717026,0.2868445710782655,0.49754648285341546,py_fstring,0.2679133306074153,py_fstring,0.3048383385335938
num_separators,0.42279528972901637,0.48022288230152665,0.27319212332573994,0.4125780619425211,0.5998401802730859,0.16591557855529146,0.35629992676467626,0.5512682677790314,float_literals,0.17399841967237156,js_camel_snake,0.19880400221634087
hex_constants,0.34745258411278207,0.38055056470486504,0.263910160775762,0.3620204088195092,0.5902254865227695,0.14813026624109057,0.3206483134055907,0.5505582686298438,py2_iter,0.15808492061235743,js_hungarian,0.18665982244469598
float_literals,0.5003029983852597,0.5675068687861408,0.26571765722594454,0.5006745065554679,0.6984661883384948,0.2603223565675992,0.5523106427790349,0.7214777805779661,trailing_commas,-0.2526061881287923,comma_space,0.21723404015469286
sql_bool_case,0.6793585451326859,0.6787169299959775,0.1878857023193648,0.48510806680104224,0.7757363086126224,0.14643921790175496,0.34507818871539975,0.6541767800070525,sql_keyword_case,-0.48914492528142883,sql_keyword_case,-0.49119065758281216
py2_print,0.5830832646589613,0.5999620924750128,0.2779794117062319,0.525445522842335,0.7869512868627194,0.14966724145365787,0.5551642327121021,0.7860332320132409,py_fstring,0.3934996963650528,py_fstring,0.40585486991630193
py2_iter,0.5639605079573964,0.5124150457795829,0.29006239862364513,0.5257149608188538,0.7530709450233156,0.12312244583466055,0.3269214234384378,0.5556670133832565,py2_except,0.32281976480616204,py2_print,0.3225653004072382
py2_except,0.5345683245660402,0.5713757577554964,0.16924126664907135,0.4222018071710369,0.663255380051887,0.13121031383366635,0.4967649322933158,0.758876108873425,py2_iter,0.32281976480616204,sql_join_style,0.3281306666477522
js_var,0.4143662791045836,0.42772221495300233,0.10091808364485748,0.3741119949752038,0.6500899187582693,0.10317485641783318,0.30780733635825336,0.468092151308587,js_template,0.23443381034243918,js_template,0.21347607589730988
js_arrow,0.3765123589477092,0.42671077471379376,0.17280219245857303,0.3474774942589911,0.585543418508683,0.18894934480695005,0.37182837460173646,0.5816483045924324,js_var,0.15118925647547538,c_comment_style,0.19268982927796846
js_semicolons,0.4416436121283225,0.5640521930061757,0.13940177375286586,0.36545039193715667,0.6897260353758352,0.14344877631677228,0.4590154814909423,0.7296071438414077,trailing_commas,0.21302800480907497,trailing_commas,0.3015153746007644
js_strict_eq,0.49408245632185194,0.6303247400633271,0.09772778109601596,0.38604137228318935,0.6266568644833428,0.12490908959466676,0.3378460715773553,0.6209752773520058,py_indent,0.20537472579408714,py_is_none,0.38896425573261395
trailing_commas,0.5247079329198612,0.5799312371229511,0.3295614573126263,0.5656701122407534,0.7892946475344447,0.21846696390248502,0.48376935612230854,0.7173990821107844,float_literals,-0.2526061881287923,js_semicolons,0.3015153746007644
py_paren_if,0.4310887426626804,0.393122691733991,0.32067062289361764,0.44939067909953734,0.7334492924266393,0.296053333967115,0.5199557577220044,0.7133473184575777,py_indent,0.16377440711941924,py_not_in,0.259464245537357
py_type_hints,0.49366457556822,0.36656611693870156,0.593564951841882,0.7621907178257066,0.8659697045457176,0.19615176466495846,0.40016155798146896,0.6251346965429186,operator_spaces,-0.2567597216293125,operator_spaces,-0.15304306562772743
py_optional,0.5131276858175672,0.5419926405465765,0.2349988126932517,0.3350214030455299,0.6652321585214388,0.1675723086717522,0.3346271486618062,0.5419015858904533,py_builtin_generics,0.36668155001881,py_builtin_generics,0.4278120699727584
py_builtin_generics,0.5626793925127075,0.6753257208344274,0.17876736618408703,0.36945944296741984,0.7146818606678983,0.20602599158358462,0.39267168371902816,0.6931491940756884,py_optional,0.36668155001881,py_class_naming,-0.5208019430356164
py_comprehension,0.5480858471307198,0.6145593653068324,0.3586467166602422,0.575304625811689,0.8169695982304259,0.30940984386932574,0.6953755480251058,0.8474490639902398,py_ternary,0.4396891977599967,py_ternary,0.47807877132532745
py_not_in,0.29755127602477227,0.47349811177420204,0.17676286941086553,0.36592197750382777,0.6064698349026244,0.21915307570302273,0.4471476758626425,0.6410444697702408,early_return,-0.15107147760108153,py_paren_if,0.259464245537357
py_is_none,0.43580131164566877,0.6271685009758692,0.29379417393234986,0.5177136958243944,0.6907588528001994,0.1328425568161344,0.30668559765965975,0.5953472063140874,js_strict_eq,0.1846107194986097,js_strict_eq,0.38896425573261395
py_ternary,0.6085599986400139,0.6099781689157893,0.5092516769347728,0.6493334797020245,0.8145168638408374,0.46409842096533155,0.6409187866619094,0.7751989025870853,py_comprehension,0.4396891977599967,py_comprehension,0.47807877132532745
early_return,0.47699755041712166,0.4517038944862327,0.3291738749763177,0.504925822909174,0.7425759238309232,0.19384553288530004,0.42176497471730007,0.6189761639296755,py_ternary,0.20981192109115213,py_with_open,0.2485471770461939
py_join_concat,0.4612463879874006,0.42224941917688863,0.2495920775976662,0.47036527086854857,0.7180548895992567,0.17659424953486844,0.44529569932675395,0.6542776497547357,js_template,0.25841970114096774,py2_except,-0.18451625706173813
py_with_open,0.43146072003735186,0.5850432822112772,0.3615133243460519,0.5196300713633667,0.6726172688111702,0.2546859713607457,0.682041502233176,0.8153536842800362,py2_except,0.19632231949463036,py_comprehension,0.4016488379663179
py_enumerate,0.4047366035165163,0.23975391498631826,0.2620655743985548,0.4641043970655231,0.7043105875484521,0.19001293632631666,0.30140763269328813,0.5827961524977742,trailing_commas,0.20573655882886205,py2_iter,-0.10783109964269387
py_self_name,0.42895657963144707,0.4070936362168501,0.2465680578134843,0.4743043346528257,0.6363418213392914,0.19942046743129782,0.3560276814131072,0.5092905176365807,float_literals,0.19435536434501058,operator_spaces,0.20449860619934584
py_indent,0.5391585288077063,0.3851817616522154,0.22171327221695258,0.4455999630175396,0.7292545835542518,0.06486095649616812,0.2610586142653781,0.4576186578722665,py_tabs,0.3209724464836801,py_tabs,0.2593140123593526
py_tabs,0.5244832589382732,0.40429829758594044,0.2822537984374097,0.4548662307281708,0.6599610932587959,0.2487183610979457,0.5224411367846646,0.656778928434603,py_indent,0.3209724464836801,py_indent,0.2593140123593526
operator_spaces,0.741275989229348,0.6868774655509682,0.36242170425925857,0.5708916255808968,0.8338166151630356,0.3937798833663736,0.588785770529485,0.7716375630823532,comma_space,0.6649187411471308,comma_space,0.6091206442171606
comma_space,0.7356884359652403,0.7016684299342211,0.28204812704776233,0.6353670475015563,0.8282669516319486,0.2734887599254719,0.5655055004621333,0.786699901129897,operator_spaces,0.6649187411471308,operator_spaces,0.6091206442171606
