family,style,k,n,mean,ci,median,pos,top1
py_enumerate,alt,0,200,1.7128,0.593,2.25,0.775,0.775
py_enumerate,alt,1,200,3.0966,0.6416,3.6875,0.785,0.775
py_enumerate,alt,2,200,3.2478,0.5114,3.875,0.795,0.78
py_enumerate,alt,3,200,4.2156,0.4863,4.375,0.88,0.875
py_enumerate,alt,4,200,4.5973,0.4195,5.0,0.925,0.91
py_self_name,nat,0,200,9.1445,0.1044,9.1875,1.0,1.0
py_self_name,nat,1,200,11.9791,0.1351,12.0313,1.0,0.88
py_self_name,nat,2,200,12.3391,0.2248,12.3438,1.0,0.945
py_self_name,nat,3,200,12.5714,0.2033,12.6875,1.0,0.92
py_self_name,nat,4,200,12.6793,0.2069,12.7812,1.0,0.93
py_self_name,alt,0,200,-9.1445,0.1044,-9.1875,0.0,0.0
py_self_name,alt,1,200,4.8142,0.1768,4.6875,0.995,0.905
py_self_name,alt,2,200,5.6781,0.4016,5.25,0.995,0.955
py_self_name,alt,3,200,5.718,0.3824,6.0937,1.0,0.94
py_self_name,alt,4,200,5.8659,0.3929,6.0,1.0,0.93
py_indent,nat,0,200,2.9516,0.0785,3.0,1.0,1.0
py_indent,nat,1,200,7.7938,0.1696,7.625,1.0,1.0
py_indent,nat,2,200,10.6847,0.2994,10.5,1.0,1.0
py_indent,nat,3,200,11.7088,0.3826,11.75,1.0,1.0
py_indent,nat,4,200,11.1855,0.4522,11.1563,1.0,1.0
py_indent,alt,0,200,-2.9516,0.0785,-3.0,0.0,0.0
py_indent,alt,1,200,5.6347,0.1315,5.625,1.0,1.0
py_indent,alt,2,200,8.1084,0.2189,8.1562,0.99,0.99
py_indent,alt,3,200,8.9537,0.2957,9.25,1.0,1.0
py_indent,alt,4,200,8.6616,0.4314,9.25,1.0,1.0
py_tabs,nat,0,200,6.4206,0.2273,6.125,1.0,1.0
py_tabs,nat,1,200,10.1819,0.1308,10.25,1.0,1.0
py_tabs,nat,2,200,11.9053,0.2072,12.0313,1.0,1.0
py_tabs,nat,3,200,12.0922,0.2197,12.1875,1.0,1.0
py_tabs,nat,4,200,12.1813,0.2494,12.3125,1.0,1.0
py_tabs,alt,0,200,-6.4231,0.2272,-6.125,0.0,0.0
py_tabs,alt,1,200,5.5128,0.1334,5.5,1.0,1.0
py_tabs,alt,2,200,6.9378,0.1984,7.125,0.99,0.99
py_tabs,alt,3,200,6.8369,0.3761,7.625,0.925,0.93
py_tabs,alt,4,200,6.6488,0.4349,7.5,0.91,0.885
c_braces,nat,0,200,1.785,0.1198,1.8125,0.97,0.94
c_braces,nat,1,200,3.1941,0.2461,2.5,0.99,0.965
c_braces,nat,2,200,5.0975,0.3242,5.3125,0.99,0.97
c_braces,nat,3,200,5.2884,0.3334,5.5,0.98,0.93
c_braces,nat,4,200,5.3219,0.2877,5.125,0.995,0.95
c_braces,alt,0,200,-1.7825,0.1198,-1.8125,0.02,0.005
c_braces,alt,1,200,0.8441,0.1403,0.625,0.89,0.875
c_braces,alt,2,200,3.3137,0.2042,3.3125,0.99,0.97
c_braces,alt,3,200,3.6341,0.2234,3.5625,0.99,0.95
c_braces,alt,4,200,3.6728,0.2252,3.625,0.995,0.94
operator_spaces,nat,0,200,6.7209,0.3199,6.3125,0.99,0.94
operator_spaces,nat,1,200,8.4548,0.3985,7.9375,0.99,0.965
operator_spaces,nat,2,200,8.515,0.3751,8.625,0.99,0.915
operator_spaces,nat,3,200,8.6327,0.3791,8.4375,1.0,0.91
operator_spaces,nat,4,200,9.2089,0.3692,9.25,1.0,0.95
operator_spaces,alt,0,200,-6.7203,0.3198,-6.3125,0.005,0.005
operator_spaces,alt,1,200,0.3964,0.3448,0.5,0.6,0.57
operator_spaces,alt,2,200,1.3775,0.3381,1.3437,0.75,0.625
operator_spaces,alt,3,200,1.6983,0.3076,1.8437,0.8,0.685
operator_spaces,alt,4,200,2.1869,0.3486,2.125,0.815,0.75
comma_space,nat,0,200,6.2819,0.2989,6.375,0.99,0.855
comma_space,nat,1,200,6.9508,0.2746,7.0,1.0,0.85
comma_space,nat,2,200,7.9247,0.3543,7.875,0.99,0.885
comma_space,nat,3,200,8.1377,0.3512,8.2813,0.995,0.905
comma_space,nat,4,200,8.3375,0.344,8.4531,0.98,0.925
comma_space,alt,0,200,-6.2828,0.299,-6.375,0.01,0.005
comma_space,alt,1,200,-1.5839,0.3829,-1.3125,0.265,0.255
comma_space,alt,2,200,0.4492,0.4477,1.0,0.6,0.55
comma_space,alt,3,200,1.2503,0.3894,1.625,0.715,0.635
comma_space,alt,4,200,1.8295,0.3693,2.2813,0.775,0.68
line_wrap,nat,0,200,-8.9141,0.3051,-9.3125,0.01,0.0
line_wrap,nat,1,200,-2.1013,0.4173,-2.375,0.22,0.095
line_wrap,nat,2,200,1.0748,0.413,1.125,0.64,0.49
line_wrap,nat,3,200,2.1928,0.344,1.9688,0.825,0.665
line_wrap,nat,4,200,2.7592,0.371,2.4375,0.86,0.745
line_wrap,alt,0,200,8.9134,0.3051,9.3125,0.99,0.935
line_wrap,alt,1,200,7.4362,0.5159,7.75,0.96,0.605
line_wrap,alt,2,200,7.8186,0.4772,8.375,0.98,0.715
line_wrap,alt,3,200,7.1839,0.511,7.5313,0.965,0.655
line_wrap,alt,4,200,7.3511,0.4395,7.7187,0.965,0.71
blank_lines,nat,0,200,-2.8172,0.1407,-2.8437,0.005,0.005
blank_lines,nat,1,200,2.3244,0.124,2.375,0.975,0.935
blank_lines,nat,2,200,3.2238,0.169,3.25,0.98,0.94
blank_lines,nat,3,200,3.0181,0.2161,3.1875,0.945,0.9
blank_lines,nat,4,200,2.1506,0.2484,2.25,0.84,0.705
blank_lines,alt,0,200,2.8172,0.1408,2.8437,0.995,0.955
blank_lines,alt,1,200,4.7856,0.1785,4.875,1.0,0.975
blank_lines,alt,2,200,5.1838,0.2103,5.0,1.0,0.97
blank_lines,alt,3,200,4.9559,0.2218,4.875,1.0,0.985
blank_lines,alt,4,200,4.1366,0.1903,4.0,1.0,0.905
docstring_style,nat,0,200,2.68,0.1821,3.0,0.97,0.875
docstring_style,nat,1,200,8.3147,0.3129,8.375,0.99,0.985
docstring_style,nat,2,200,9.6906,0.3238,9.75,0.995,0.98
docstring_style,nat,3,200,10.0231,0.2716,10.125,1.0,0.995
docstring_style,nat,4,200,9.9381,0.3085,10.2813,0.995,0.98
docstring_style,alt,0,200,-2.68,0.182,-3.0,0.025,0.02
docstring_style,alt,1,200,6.4728,0.2735,6.25,1.0,0.995
docstring_style,alt,2,200,8.1494,0.2915,8.25,0.995,0.99
docstring_style,alt,3,200,8.1916,0.2925,8.1875,1.0,0.995
docstring_style,alt,4,200,8.0934,0.2792,8.1875,1.0,0.985
docstring_quotes,nat,0,200,2.0464,0.1932,2.125,0.96,0.005
docstring_quotes,nat,1,200,7.4262,0.2091,7.4375,1.0,0.885
docstring_quotes,nat,2,200,8.8372,0.2755,9.125,1.0,0.915
docstring_quotes,nat,3,200,9.3656,0.2283,9.25,1.0,0.93
docstring_quotes,nat,4,200,9.0894,0.2348,9.125,1.0,0.84
docstring_quotes,alt,0,200,-2.0464,0.1932,-2.125,0.04,0.0
docstring_quotes,alt,1,200,2.3956,0.3553,3.25,0.66,0.55
docstring_quotes,alt,2,200,5.2878,0.2925,5.625,0.995,0.885
docstring_quotes,alt,3,200,5.8281,0.3162,5.875,0.995,0.875
docstring_quotes,alt,4,200,5.6553,0.2875,5.625,1.0,0.815
comment_case,nat,0,200,1.8983,0.2225,1.625,0.96,0.16
comment_case,nat,1,198,5.4743,0.3264,6.0469,0.9949,0.4394
comment_case,nat,2,198,6.7692,0.2577,6.9688,1.0,0.5354
comment_case,nat,3,198,7.2403,0.2618,7.2813,0.9949,0.5657
comment_case,nat,4,198,7.3363,0.3099,7.1875,0.9949,0.5303
comment_case,alt,0,200,-1.898,0.2225,-1.625,0.035,0.0
comment_case,alt,1,198,2.5148,0.3577,2.1875,0.9141,0.399
comment_case,alt,2,198,3.6019,0.2871,3.25,0.9646,0.5303
comment_case,alt,3,198,4.3901,0.3235,4.1563,0.9697,0.5556
comment_case,alt,4,198,4.456,0.3788,4.5,0.9394,0.5101
comment_language,nat,0,200,6.5019,0.3405,6.2578,0.995,0.325
comment_language,nat,1,199,9.182,0.4823,8.5,1.0,0.5477
comment_language,nat,2,199,10.5957,0.5167,11.0,1.0,0.6281
comment_language,nat,3,199,11.0417,0.5936,11.125,1.0,0.5678
comment_language,nat,4,199,11.3578,0.5857,11.5625,1.0,0.593
comment_language,alt,0,200,-5.4269,0.5065,-5.8437,0.065,0.035
comment_language,alt,1,199,5.4563,0.3395,5.5625,0.9799,0.4824
comment_language,alt,2,199,6.1009,0.3412,6.1875,0.9849,0.4975
comment_language,alt,3,199,6.3783,0.3972,6.5,0.995,0.4573
comment_language,alt,4,199,6.5239,0.3405,6.625,0.995,0.5678
c_comment_style,nat,0,200,5.0433,0.1312,5.0,1.0,0.305
c_comment_style,nat,1,200,8.4744,0.1693,8.625,1.0,0.885
c_comment_style,nat,2,200,8.9741,0.1884,8.9687,1.0,0.9
c_comment_style,nat,3,200,9.0541,0.1913,9.2187,1.0,0.88
c_comment_style,nat,4,200,9.0362,0.2979,9.25,1.0,0.85
c_comment_style,alt,0,200,-5.0433,0.1312,-5.0,0.0,0.0
c_comment_style,alt,1,200,2.4269,0.3044,3.125,0.8,0.705
c_comment_style,alt,2,200,4.1359,0.2825,4.25,0.93,0.845
c_comment_style,alt,3,200,4.5997,0.3318,5.125,0.93,0.81
c_comment_style,alt,4,200,4.6834,0.3348,5.1875,0.96,0.8
sql_keyword_case,nat,0,200,4.2812,0.0531,4.3125,1.0,0.28
sql_keyword_case,nat,1,200,8.1081,0.2881,8.625,1.0,0.945
sql_keyword_case,nat,2,200,6.2072,0.3679,7.25,1.0,0.615
sql_keyword_case,nat,3,200,7.7112,0.2313,7.875,1.0,0.84
sql_keyword_case,nat,4,200,7.7781,0.2839,7.75,1.0,0.94
sql_keyword_case,alt,0,200,-4.2812,0.0531,-4.3125,0.0,0.0
sql_keyword_case,alt,1,200,4.3784,0.1672,4.75,0.995,0.935
sql_keyword_case,alt,2,200,4.0106,0.1849,4.1875,0.995,0.5
sql_keyword_case,alt,3,200,4.3541,0.1961,4.25,0.99,0.57
sql_keyword_case,alt,4,200,5.8713,0.255,6.2187,1.0,0.845
sql_join_style,nat,0,200,4.7562,0.26,4.75,0.995,0.955
sql_join_style,nat,1,200,7.9787,0.2319,8.0,0.995,0.985
sql_join_style,nat,2,200,7.8519,0.3264,8.25,1.0,0.975
sql_join_style,nat,3,200,6.6559,0.3676,7.0,0.97,0.905
sql_join_style,nat,4,200,7.0675,0.297,7.25,0.98,0.945
sql_join_style,alt,0,200,-4.7556,0.26,-4.75,0.005,0.0
sql_join_style,alt,1,200,1.4631,0.2836,1.75,0.815,0.815
sql_join_style,alt,2,200,1.5831,0.273,1.5625,0.8,0.8
sql_join_style,alt,3,200,2.1359,0.2646,2.25,0.855,0.835
sql_join_style,alt,4,200,3.1094,0.2823,3.5,0.905,0.88
r_assignment,nat,0,200,2.4328,0.066,2.4375,0.995,0.995
r_assignment,nat,1,200,3.1025,0.1121,3.125,1.0,0.99
r_assignment,nat,2,200,5.8478,0.2668,5.375,1.0,0.98
r_assignment,nat,3,200,5.6641,0.239,5.375,1.0,0.98
r_assignment,nat,4,200,6.0134,0.2668,5.5625,1.0,0.98
r_assignment,alt,0,200,-2.4328,0.066,-2.4375,0.005,0.0
r_assignment,alt,1,200,2.6119,0.109,2.625,1.0,0.99
r_assignment,alt,2,200,6.2405,0.3808,5.625,1.0,0.985
r_assignment,alt,3,200,6.1264,0.3841,5.4375,1.0,0.985
r_assignment,alt,4,200,6.4192,0.425,6.0,0.995,0.975
rust_question,nat,0,200,4.4134,0.5521,4.1875,0.87,0.71
rust_question,nat,1,200,6.7506,0.5135,6.9375,0.96,0.85
rust_question,nat,2,200,7.14,0.4716,7.0,0.98,0.885
rust_question,nat,3,200,7.7653,0.539,7.875,0.96,0.855
rust_question,nat,4,200,8.2722,0.5082,8.4375,0.985,0.86
rust_question,alt,0,200,-4.4156,0.5522,-4.1875,0.13,0.025
rust_question,alt,1,200,1.2781,0.6173,2.0625,0.645,0.605
rust_question,alt,2,200,0.8378,0.6672,1.875,0.625,0.565
rust_question,alt,3,200,2.7136,0.5714,3.5,0.79,0.74
rust_question,alt,4,200,3.5875,0.4827,4.125,0.855,0.82
bash_test,nat,0,200,-1.4684,0.1694,-1.625,0.085,0.065
bash_test,nat,1,200,4.1253,0.2976,3.875,0.97,0.915
bash_test,nat,2,200,6.0134,0.374,5.875,0.975,0.93
bash_test,nat,3,200,5.8094,0.3203,5.625,0.985,0.94
bash_test,nat,4,200,5.5419,0.281,5.1875,0.995,0.955
bash_test,alt,0,200,1.4672,0.1695,1.625,0.91,0.83
bash_test,alt,1,200,2.1219,0.3892,2.75,0.865,0.795
bash_test,alt,2,200,3.1709,0.5433,3.75,0.865,0.81
bash_test,alt,3,200,4.0134,0.4537,4.375,0.91,0.88
bash_test,alt,4,200,3.9022,0.4666,4.0,0.885,0.835
bash_subst,nat,0,200,2.6931,0.3248,2.5625,0.91,0.105
bash_subst,nat,1,200,4.9956,0.4062,4.6563,0.99,0.335
bash_subst,nat,2,200,5.3177,0.4115,5.0625,0.995,0.27
bash_subst,nat,3,200,7.1012,0.4095,6.8438,0.995,0.42
bash_subst,nat,4,200,8.0072,0.4077,7.875,0.995,0.46
bash_subst,alt,0,200,-2.6931,0.3248,-2.5625,0.09,0.01
bash_subst,alt,1,200,1.2278,0.4633,1.75,0.715,0.28
bash_subst,alt,2,200,1.3923,0.4424,1.5,0.71,0.21
bash_subst,alt,3,200,2.3331,0.5174,2.5312,0.785,0.355
bash_subst,alt,4,200,2.0428,0.5948,2.375,0.745,0.38
css_shorthand,nat,0,200,-1.978,0.6169,-2.3125,0.255,0.115
css_shorthand,nat,1,200,-0.0763,0.4447,0.0625,0.5,0.315
css_shorthand,nat,2,200,1.125,0.4425,1.25,0.685,0.43
css_shorthand,nat,3,200,1.8269,0.3555,1.75,0.805,0.555
css_shorthand,nat,4,200,2.4831,0.403,2.375,0.855,0.59
css_shorthand,alt,0,200,1.9781,0.617,2.3125,0.73,0.595
css_shorthand,alt,1,200,2.7953,0.4439,2.875,0.84,0.595
css_shorthand,alt,2,200,3.4619,0.4799,3.3125,0.85,0.625
css_shorthand,alt,3,200,3.5356,0.4938,3.4062,0.86,0.69
css_shorthand,alt,4,200,3.5491,0.4882,3.8125,0.875,0.665
php_array,nat,0,200,0.1338,0.3399,0.375,0.55,0.43
php_array,nat,1,200,1.2578,0.4465,1.1875,0.64,0.47
php_array,nat,2,200,2.1516,0.4951,2.3125,0.745,0.535
php_array,nat,3,200,2.9098,0.4815,2.75,0.77,0.605
php_array,nat,4,200,3.2744,0.5028,3.1562,0.83,0.595
php_array,alt,0,200,-0.1334,0.3399,-0.375,0.435,0.175
php_array,alt,1,200,2.7867,0.3701,2.5937,0.895,0.74
php_array,alt,2,200,3.7575,0.3278,3.75,0.93,0.815
php_array,alt,3,200,4.4245,0.3317,4.125,0.975,0.885
php_array,alt,4,200,4.9612,0.3304,4.5313,0.995,0.905
