family,style,k,n,mean,ci,median,pos,top1
py_bool_prefix,nat,2,200,2.3892,0.4831,2.375,0.75,0.155
py_bool_prefix,nat,3,200,2.0831,0.5174,1.6563,0.745,0.14
py_bool_prefix,nat,4,200,2.3877,0.4886,2.375,0.78,0.16
py_bool_prefix,alt,0,200,1.1084,0.5228,0.875,0.575,0.015
py_bool_prefix,alt,1,200,2.1317,0.5703,1.6563,0.66,0.195
py_bool_prefix,alt,2,200,1.0633,0.5285,0.875,0.57,0.105
py_bool_prefix,alt,3,200,1.5945,0.5044,1.3125,0.685,0.115
py_bool_prefix,alt,4,200,1.5762,0.5483,0.9062,0.615,0.105
py_loop_vars,nat,0,200,3.5784,0.5305,4.5,0.79,0.515
py_loop_vars,nat,1,200,7.5242,0.7819,8.75,0.88,0.305
py_loop_vars,nat,2,200,6.8836,0.6296,7.5313,0.91,0.615
py_loop_vars,nat,3,200,8.5189,0.6994,9.0938,0.95,0.69
py_loop_vars,nat,4,200,9.628,0.7551,10.6875,0.955,0.7
py_loop_vars,alt,0,200,-3.5781,0.5305,-4.5,0.205,0.16
py_loop_vars,alt,1,200,-2.1849,0.7033,-3.7812,0.295,0.18
py_loop_vars,alt,2,200,0.0092,0.5088,-0.4531,0.44,0.15
py_loop_vars,alt,3,200,-2.5094,0.8422,-3.125,0.375,0.185
py_loop_vars,alt,4,200,1.0523,0.5702,1.0,0.615,0.37
js_hungarian,nat,0,200,-0.6923,0.7194,-1.5625,0.375,0.195
js_hungarian,nat,1,200,4.66,0.5027,4.2813,0.915,0.35
js_hungarian,nat,2,200,5.2226,0.6353,4.375,0.89,0.365
js_hungarian,nat,3,200,5.3603,0.5568,5.125,0.935,0.305
js_hungarian,nat,4,200,5.2331,0.5462,5.2188,0.92,0.26
js_hungarian,alt,0,200,0.6952,0.7194,1.5625,0.62,0.24
js_hungarian,alt,1,200,0.7788,0.456,0.6875,0.59,0.435
js_hungarian,alt,2,200,4.1056,0.5436,4.0,0.865,0.575
js_hungarian,alt,3,200,4.5525,0.4878,4.6406,0.905,0.57
js_hungarian,alt,4,200,4.838,0.4886,4.625,0.915,0.575
py_abbrev,nat,0,200,-0.9995,0.4042,-1.0,0.355,0.06
py_abbrev,nat,1,200,0.5524,0.453,-0.1875,0.44,0.115
py_abbrev,nat,2,200,0.9527,0.3982,0.625,0.62,0.14
py_abbrev,nat,3,200,1.6081,0.457,0.9375,0.67,0.18
py_abbrev,nat,4,200,2.1623,0.4338,1.4375,0.8,0.195
py_abbrev,alt,0,200,1.0004,0.4044,1.0,0.635,0.12
py_abbrev,alt,1,200,2.1517,0.4125,2.25,0.825,0.16
py_abbrev,alt,2,200,2.2981,0.3825,2.125,0.795,0.175
py_abbrev,alt,3,200,3.1376,0.4224,2.7188,0.88,0.21
py_abbrev,alt,4,200,3.3518,0.4043,2.75,0.92,0.225
py_quotes,nat,0,200,-1.3178,0.2352,-1.8125,0.14,0.105
py_quotes,nat,1,200,2.6678,0.3554,2.2813,0.93,0.69
py_quotes,nat,2,200,4.1656,0.463,4.25,0.9,0.72
py_quotes,nat,3,200,4.5152,0.438,4.8125,0.93,0.75
py_quotes,nat,4,200,4.652,0.4452,4.75,0.915,0.775
py_quotes,alt,0,200,1.3184,0.2352,1.8125,0.85,0.19
py_quotes,alt,1,200,2.3352,0.4687,2.0,0.77,0.57
py_quotes,alt,2,200,4.4681,0.4952,4.5,0.9,0.725
py_quotes,alt,3,200,4.7022,0.5002,4.8125,0.915,0.715
py_quotes,alt,4,200,5.2455,0.4728,5.6562,0.93,0.765
js_quotes,nat,0,200,-0.8028,0.1853,-0.5469,0.34,0.1
js_quotes,nat,1,200,2.9423,0.359,2.2813,0.915,0.685
js_quotes,nat,2,200,4.293,0.3974,3.9375,0.935,0.69
js_quotes,nat,3,200,4.6761,0.416,4.5,0.93,0.63
js_quotes,nat,4,200,5.3905,0.4143,5.5,0.955,0.755
js_quotes,alt,0,200,0.8028,0.1853,0.5469,0.615,0.465
js_quotes,alt,1,200,3.4869,0.3364,2.875,0.99,0.725
js_quotes,alt,2,200,4.417,0.3371,4.4375,0.98,0.72
js_quotes,alt,3,200,4.7475,0.3547,4.6875,0.985,0.67
js_quotes,alt,4,200,5.4017,0.3493,5.5,0.99,0.765
py_fstring,nat,0,200,-1.7413,0.3922,-0.875,0.255,0.155
py_fstring,nat,1,200,2.8163,0.3988,3.125,0.83,0.77
py_fstring,nat,2,200,4.4031,0.4341,4.875,0.915,0.89
py_fstring,nat,3,200,4.3387,0.4311,4.75,0.91,0.875
py_fstring,nat,4,200,4.3034,0.4091,4.5,0.91,0.865
py_fstring,alt,0,200,1.7178,0.3941,0.875,0.74,0.57
py_fstring,alt,1,200,3.7741,0.3837,4.0,0.92,0.865
py_fstring,alt,2,200,4.5841,0.4227,4.375,0.95,0.915
py_fstring,alt,3,200,5.0725,0.3988,5.125,0.955,0.915
py_fstring,alt,4,200,4.9825,0.4081,5.125,0.955,0.865
js_template,nat,0,200,-0.1022,0.3932,-0.0625,0.48,0.18
js_template,nat,1,200,4.5886,0.4329,4.0313,0.935,0.78
js_template,nat,2,200,5.1837,0.4773,5.2187,0.93,0.75
js_template,nat,3,200,5.7947,0.4704,5.5625,0.97,0.78
js_template,nat,4,200,5.6516,0.4594,5.5312,0.955,0.815
js_template,alt,0,200,0.1016,0.3938,0.0625,0.505,0.21
js_template,alt,1,200,3.2578,0.4119,3.5,0.875,0.79
js_template,alt,2,200,3.6769,0.4741,3.9062,0.855,0.76
js_template,alt,3,200,4.5769,0.4302,4.375,0.96,0.79
js_template,alt,4,200,4.8434,0.4228,4.5,0.975,0.845
num_separators,nat,0,200,5.6273,0.2914,5.625,1.0,0.595
num_separators,nat,1,200,7.3633,0.3325,7.25,1.0,0.86
num_separators,nat,2,200,7.6627,0.3117,7.375,1.0,0.82
num_separators,nat,3,200,7.8853,0.3334,7.875,1.0,0.85
num_separators,nat,4,200,7.9194,0.2949,7.75,1.0,0.87
num_separators,alt,0,200,-5.6259,0.2916,-5.625,0.0,0.0
num_separators,alt,1,200,-0.4239,0.4039,-0.4375,0.42,0.365
num_separators,alt,2,200,0.0295,0.3684,-0.25,0.455,0.405
num_separators,alt,3,200,0.5309,0.3872,0.25,0.565,0.485
num_separators,alt,4,200,0.2972,0.3481,0.25,0.52,0.49
hex_constants,nat,0,200,6.7391,0.7727,6.5,0.89,0.72
hex_constants,nat,1,200,7.0537,0.8078,7.0,0.87,0.71
hex_constants,nat,2,200,7.3121,0.8807,7.875,0.865,0.69
hex_constants,nat,3,200,6.7138,0.8132,5.8125,0.92,0.7
hex_constants,nat,4,200,5.5036,0.8186,3.75,0.85,0.61
hex_constants,alt,0,200,-6.7375,0.7727,-6.5,0.11,0.04
hex_constants,alt,1,200,0.7916,0.5077,1.125,0.655,0.64
