layer,alpha,mean_acc_all,median_acc_all,mean_acc_train,mean_acc_heldout
0,0.5,0.0136,0.0067,0.012,0.02
0,1.0,0.1494,0.1267,0.1478,0.1557
0,2.0,0.1703,0.1067,0.1639,0.1957
0,4.0,0.108,0.0467,0.1012,0.1348
0,best,0.1949,0.1467,0.1891,0.2176
1,0.5,0.0104,0.0067,0.0081,0.0195
1,1.0,0.1377,0.1,0.1377,0.1376
1,2.0,0.1812,0.1,0.1773,0.1962
1,4.0,0.1247,0.06,0.1172,0.1543
1,best,0.1939,0.1267,0.1904,0.2076
2,0.5,0.0156,0.0067,0.0124,0.0281
2,1.0,0.1296,0.1067,0.1265,0.1414
2,2.0,0.1804,0.0933,0.1741,0.2052
2,4.0,0.1314,0.06,0.1268,0.1495
2,best,0.1911,0.1267,0.1844,0.2176
3,0.5,0.0152,0.0067,0.0115,0.0295
3,1.0,0.1214,0.08,0.1173,0.1376
3,2.0,0.1823,0.1133,0.1781,0.199
3,4.0,0.1373,0.06,0.1331,0.1538
3,best,0.1894,0.12,0.185,0.2067
4,0.5,0.0101,0.0,0.0095,0.0124
4,1.0,0.0721,0.0533,0.0688,0.0848
4,2.0,0.1428,0.08,0.14,0.1538
4,4.0,0.116,0.0533,0.1112,0.1352
4,best,0.1479,0.08,0.1447,0.1605
5,0.5,0.0101,0.0,0.008,0.0186
5,1.0,0.0604,0.0333,0.0573,0.0724
5,2.0,0.1282,0.0733,0.1246,0.1424
5,4.0,0.1053,0.0333,0.0978,0.1348
5,best,0.1354,0.0733,0.1292,0.1595
6,0.5,0.0088,0.0,0.0059,0.02
6,1.0,0.0489,0.02,0.0439,0.0686
6,2.0,0.1169,0.06,0.1137,0.1295
6,4.0,0.1082,0.0267,0.1028,0.1295
6,best,0.1309,0.0667,0.1278,0.1433
7,0.5,0.0048,0.0,0.0044,0.0067
7,1.0,0.033,0.0133,0.0308,0.0419
7,2.0,0.0958,0.0533,0.0922,0.11
7,4.0,0.0903,0.0333,0.0848,0.1119
