layer,n_tasks,mean_a0.5,mean_a1.0,mean_a2.0,mean_a4.0,mean_best,train_a2.0,heldout_a2.0,train_best,heldout_best
0,69,0.0082,0.4005,0.5703,0.5622,0.5962,0.5641,0.5948,0.5914,0.6152
1,69,0.0069,0.393,0.5675,0.5666,0.5929,0.5604,0.5957,0.5875,0.6138
5,69,0.0011,0.0985,0.4573,0.5005,0.5072,0.4527,0.4752,0.5,0.5357
6,69,0.0009,0.0597,0.403,0.4746,0.4777,0.3998,0.4157,0.4699,0.5081
7,69,0.0004,0.0315,0.345,0.4515,0.4531,0.3468,0.3381,0.4473,0.4757
ref_fullmeanL6_best,69,,,,,0.4471,,,,
ref_real6,69,,,,,0.6295,,,,
