property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,24,8,8.0,32.0,0.0,0.535,0.936,0.016,1.0,0.0,0.184,0.195,0.101,199,0.056,0.974,0.979,0.015,199,0.005,0.01,0.419
ampersand,20,20,16.0,16.0,0.0,0.0,0.128,0.761,0.333,0.667,0.979,0.979,0.014,144,0.0,0.972,1.0,0.007,144,0.028,0.0,0.348
contractions,6,16,0.5,32.0,0.063,0.043,0.12,0.78,0.16,0.83,0.098,0.654,0.006,174,0.85,0.121,0.84,0.006,174,0.855,0.081,0.069
curly_quotes,24,24,16.0,32.0,0.013,0.131,0.308,0.674,0.316,0.684,0.503,0.659,0.036,167,0.236,0.969,1.0,0.024,167,0.031,0.006,0.072
double_space,16,8,32.0,16.0,0.0,0.0,0.658,0.196,0.722,0.278,0.848,0.955,0.01,200,0.111,0.864,1.0,0.01,200,0.136,0.0,0.9
em_dash,24,20,32.0,32.0,0.0,0.0,0.464,0.536,0.473,0.527,0.936,1.0,0.051,99,0.064,0.805,1.0,0.172,99,0.195,0.012,0.035
num_words,20,20,32.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.765,0.873,0.0,81,0.123,0.537,0.935,0.012,81,0.425,0.074,0.148
ordinal_words,20,8,16.0,1.0,0.052,0.0,0.169,0.831,0.169,0.759,0.66,1.0,0.03,200,0.34,0.0,0.0,0.005,200,0.889,0.115,0.01
oxford_comma,20,16,16.0,16.0,0.0,0.0,0.5,0.455,0.591,0.364,0.955,0.985,0.0,67,0.03,0.672,1.0,0.0,67,0.328,0.134,0.485
percent_sign,8,4,8.0,32.0,0.0,0.0,0.695,0.288,0.831,0.169,0.913,0.94,0.01,104,0.029,0.951,0.97,0.01,104,0.019,0.077,0.437
quote_punct,16,16,32.0,2.0,0.033,0.762,0.796,0.053,0.965,0.035,0.981,0.981,0.176,125,0.0,0.926,0.991,0.032,125,0.066,0.017,0.902
sentence_caps,16,2,4.0,16.0,0.149,0.227,0.702,0.03,0.965,0.03,0.293,0.309,0.045,200,0.052,0.938,0.978,0.03,200,0.041,0.0,0.862
us_uk,20,12,1.0,0.25,0.014,0.162,0.15,0.833,0.233,0.767,0.021,0.107,0.0,146,0.808,0.181,1.0,0.014,146,0.819,0.017,0.22
