variant,n_shots,spearman_rho,spearman_p,pearson_r,pearson_p
L13_minus_gm,0,0.3751,1.493e-03,0.4126,4.268e-04
L13_minus_gm,1,0.1317,2.807e-01,0.1043,3.939e-01
L13_minus_gm,2,-0.1731,1.549e-01,-0.2396,4.738e-02
L13_minus_gm,3,-0.2632,2.889e-02,-0.3547,2.789e-03
L13_minus_gm,4,-0.3093,9.717e-03,-0.4220,3.042e-04
L13_minus_gm,5,-0.3088,9.835e-03,-0.3885,9.720e-04
L13_minus_gm,6,-0.3862,1.047e-03,-0.4243,2.798e-04
L13_minus_gm,pooled,0.4038,2.287e-20,0.4858,5.747e-30
L13_cos_gm,0,0.1010,4.089e-01,0.1288,2.917e-01
L13_cos_gm,1,-0.1001,4.134e-01,-0.1211,3.215e-01
L13_cos_gm,2,0.0628,6.081e-01,0.0386,7.531e-01
L13_cos_gm,3,0.1222,3.171e-01,0.1008,4.100e-01
L13_cos_gm,4,0.1727,1.558e-01,0.1874,1.232e-01
L13_cos_gm,5,0.1649,1.757e-01,0.1574,1.965e-01
L13_cos_gm,6,0.2467,4.104e-02,0.2354,5.153e-02
L13_cos_gm,pooled,0.5449,1.047e-38,0.6189,2.155e-52
meanL9-20_minus_gm,0,0.3252,6.408e-03,0.3728,1.607e-03
meanL9-20_minus_gm,1,0.0129,9.160e-01,-0.0231,8.503e-01
meanL9-20_minus_gm,2,-0.2786,2.045e-02,-0.3764,1.436e-03
meanL9-20_minus_gm,3,-0.3988,6.886e-04,-0.5162,5.635e-06
meanL9-20_minus_gm,4,-0.4266,2.574e-04,-0.5573,6.584e-07
meanL9-20_minus_gm,5,-0.4595,7.134e-05,-0.5615,5.196e-07
meanL9-20_minus_gm,6,-0.5246,3.711e-06,-0.5933,7.785e-08
meanL9-20_minus_gm,pooled,0.3681,6.076e-17,0.4486,2.715e-25
