protocol,carrier_pool,block,lambda,rotation_pooled_r2,rotscale_pooled_r2,rot_scale,pooled_r2,coord_r2,pooled_r2_trainref,perprompt_coord_r2,trainmean_pooled_r2,n_train,n_test
T_task_uA,all,11-13,0.01,0.4546,0.5441,1.7627,0.5876,0.5258,0.6085,,-0.0533,77,19
T_task_uA,train,11-13,0.01,0.4546,0.544,1.7626,0.5876,0.5258,0.6085,,-0.0533,77,19
P_perprompt_raw,none,12,31622.7766,,,,0.5767,0.5267,0.5981,0.2775,-0.0533,77,19
