selection,inject_layer,chosen_lambda,n_heads,overlap_with_37head_FV,jaccard_with_FV,layer_histogram
L3,3,0.005,117,11,0.0769,L0:5 L1:4 L2:7 L3:7 L4:5 L5:1 L6:8 L7:2 L8:3 L9:7 L10:6 L11:3 L12:4 L13:2 L14:5 L15:3 L16:3 L17:2 L18:2 L19:2 L20:2 L21:4 L22:6 L23:4 L24:4 L25:8 L26:4 L27:4
L7,7,0.005,107,12,0.0909,L0:9 L1:3 L2:5 L3:11 L4:5 L5:7 L6:9 L7:4 L8:5 L9:5 L10:5 L11:5 L12:4 L13:3 L14:2 L15:1 L16:1 L17:2 L18:1 L20:4 L22:2 L23:2 L24:4 L25:2 L26:3 L27:3
