layer,test_perprompt,test_centroid,train_centroid
0,0.2787,0.3543,0.9014
1,0.3536,0.4082,0.8798
2,0.3704,0.4303,0.9092
3,0.4323,0.4908,0.9441
4,0.4653,0.5229,0.9628
5,0.4858,0.5451,0.9736
6,0.5158,0.5768,0.9838
7,0.5288,0.5920,0.9881
8,0.5439,0.6070,0.9915
9,0.5501,0.6156,0.9930
10,0.5541,0.6216,0.9940
11,0.5560,0.6261,0.9947
12,0.5574,0.6305,0.9954
13,0.5550,0.6325,0.9957
14,0.5519,0.6324,0.9959
15,0.5517,0.6356,0.9963
16,0.5440,0.6318,0.9965
17,0.5411,0.6327,0.9968
18,0.5360,0.6314,0.9969
19,0.5477,0.6099,0.9907
20,0.5543,0.6177,0.9922
21,0.5493,0.6143,0.9927
22,0.5461,0.6125,0.9929
23,0.5441,0.6118,0.9933
24,0.5408,0.6101,0.9940
25,0.5383,0.6094,0.9943
26,0.5340,0.6072,0.9946
27,0.5303,0.6049,0.9948
