layer,best_alpha,alpha_pinned,r2_train_insample_uniform,r2_train_unseenprompts_uniform,r2_train_unseenprompts_oracle,r2_test_uniform,r2_test_weighted
0,3162.28,False,0.6701,0.6170,0.7276,0.2153,0.2631
1,10000,False,0.6475,0.6103,0.7276,0.2646,0.3141
2,10000,False,0.6742,0.6319,0.7276,0.2776,0.3279
3,10000,False,0.7035,0.6602,0.7276,0.3198,0.3692
4,10000,False,0.7223,0.6778,0.7276,0.3436,0.3933
5,10000,False,0.7354,0.6887,0.7276,0.3597,0.4103
6,10000,False,0.7508,0.7009,0.7276,0.3838,0.4354
7,10000,False,0.7584,0.7059,0.7276,0.3942,0.4465
8,10000,False,0.7680,0.7115,0.7276,0.4077,0.4603
9,10000,False,0.7741,0.7136,0.7276,0.4140,0.4667
10,10000,False,0.7784,0.7147,0.7276,0.4184,0.4713
11,10000,False,0.7823,0.7144,0.7276,0.4203,0.4732
12,10000,False,0.7863,0.7149,0.7276,0.4229,0.4762
13,10000,False,0.7885,0.7140,0.7276,0.4216,0.4754
14,10000,False,0.7905,0.7135,0.7276,0.4201,0.4743
15,10000,False,0.7939,0.7140,0.7276,0.4222,0.4775
16,10000,False,0.7964,0.7121,0.7276,0.4168,0.4725
17,10000,False,0.7992,0.7109,0.7276,0.4151,0.4714
18,10000,False,0.8017,0.7097,0.7276,0.4116,0.4681
19,31622.8,False,0.7678,0.7119,0.7276,0.4116,0.4655
20,31622.8,False,0.7723,0.7137,0.7276,0.4172,0.4712
21,31622.8,False,0.7745,0.7133,0.7276,0.4138,0.4679
22,31622.8,False,0.7763,0.7128,0.7276,0.4115,0.4656
23,31622.8,False,0.7783,0.7126,0.7276,0.4101,0.4642
24,31622.8,False,0.7814,0.7128,0.7276,0.4080,0.4619
25,31622.8,False,0.7833,0.7124,0.7276,0.4065,0.4606
26,31622.8,False,0.7852,0.7120,0.7276,0.4038,0.4581
27,31622.8,False,0.7859,0.7114,0.7276,0.4013,0.4556
