condition,n_pcs,alpha,task_group,mean_acc,median_acc
baseline,0,-,train,0.0006,0.0
baseline,0,-,heldout,0.0024,0.0
baseline,0,-,all,0.001,0.0
full,,0.5,train,0.0084,0.0
full,,0.5,heldout,0.0229,0.0
full,,0.5,all,0.0113,0.0
full,,1.0,train,0.0508,0.02
full,,1.0,heldout,0.0728,0.0267
full,,1.0,all,0.0553,0.02
full,,2.0,train,0.1088,0.0533
full,,2.0,heldout,0.1328,0.0633
full,,2.0,all,0.1137,0.0533
full,,4.0,train,0.0918,0.0333
full,,4.0,heldout,0.1143,0.0234
full,,4.0,all,0.0963,0.0267
pc40,40,0.5,train,0.0051,0.0
pc40,40,0.5,heldout,0.0067,0.0
pc40,40,0.5,all,0.0054,0.0
pc40,40,1.0,train,0.0313,0.0067
pc40,40,1.0,heldout,0.0376,0.0067
pc40,40,1.0,all,0.0326,0.0067
pc40,40,2.0,train,0.0798,0.0467
pc40,40,2.0,heldout,0.1124,0.04
pc40,40,2.0,all,0.0864,0.0467
pc40,40,4.0,train,0.0505,0.02
pc40,40,4.0,heldout,0.0743,0.0133
pc40,40,4.0,all,0.0554,0.02
sel_final_lam0.01,25,0.5,train,0.001,0.0
sel_final_lam0.01,25,0.5,heldout,0.0048,0.0
sel_final_lam0.01,25,0.5,all,0.0017,0.0
sel_final_lam0.01,25,1.0,train,0.0047,0.0
sel_final_lam0.01,25,1.0,heldout,0.0048,0.0
sel_final_lam0.01,25,1.0,all,0.0047,0.0
sel_final_lam0.01,25,2.0,train,0.0507,0.0267
sel_final_lam0.01,25,2.0,heldout,0.0319,0.0133
sel_final_lam0.01,25,2.0,all,0.0469,0.02
sel_final_lam0.01,25,4.0,train,0.0619,0.0333
sel_final_lam0.01,25,4.0,heldout,0.0628,0.0166
sel_final_lam0.01,25,4.0,all,0.0621,0.0333
sel_lam0.01,24,0.5,train,0.0018,0.0
sel_lam0.01,24,0.5,heldout,0.0043,0.0
sel_lam0.01,24,0.5,all,0.0023,0.0
sel_lam0.01,24,1.0,train,0.0072,0.0
sel_lam0.01,24,1.0,heldout,0.0067,0.0
sel_lam0.01,24,1.0,all,0.0071,0.0
sel_lam0.01,24,2.0,train,0.0473,0.0267
sel_lam0.01,24,2.0,heldout,0.0257,0.02
sel_lam0.01,24,2.0,all,0.0429,0.0267
sel_lam0.01,24,4.0,train,0.0599,0.04
sel_lam0.01,24,4.0,heldout,0.0662,0.02
sel_lam0.01,24,4.0,all,0.0612,0.04
sel_lam0.05,15,0.5,train,0.0027,0.0
sel_lam0.05,15,0.5,heldout,0.0043,0.0
sel_lam0.05,15,0.5,all,0.003,0.0
sel_lam0.05,15,1.0,train,0.0042,0.0
sel_lam0.05,15,1.0,heldout,0.0052,0.0
sel_lam0.05,15,1.0,all,0.0045,0.0
sel_lam0.05,15,2.0,train,0.0321,0.02
sel_lam0.05,15,2.0,heldout,0.0233,0.01
sel_lam0.05,15,2.0,all,0.0303,0.02
sel_lam0.05,15,4.0,train,0.0492,0.0267
sel_lam0.05,15,4.0,heldout,0.0562,0.0166
sel_lam0.05,15,4.0,all,0.0506,0.0267
sel_lam0.2,5,0.5,train,0.0016,0.0
sel_lam0.2,5,0.5,heldout,0.0033,0.0
sel_lam0.2,5,0.5,all,0.0019,0.0
sel_lam0.2,5,1.0,train,0.0023,0.0
sel_lam0.2,5,1.0,heldout,0.0033,0.0
sel_lam0.2,5,1.0,all,0.0025,0.0
sel_lam0.2,5,2.0,train,0.0116,0.0067
sel_lam0.2,5,2.0,heldout,0.0114,0.0034
sel_lam0.2,5,2.0,all,0.0116,0.0067
sel_lam0.2,5,4.0,train,0.0222,0.0067
sel_lam0.2,5,4.0,heldout,0.041,0.0134
sel_lam0.2,5,4.0,all,0.026,0.0067
sel_lam0.5,2,0.5,train,0.0011,0.0
sel_lam0.5,2,0.5,heldout,0.0024,0.0
sel_lam0.5,2,0.5,all,0.0014,0.0
sel_lam0.5,2,1.0,train,0.0016,0.0
sel_lam0.5,2,1.0,heldout,0.0029,0.0
sel_lam0.5,2,1.0,all,0.0018,0.0
sel_lam0.5,2,2.0,train,0.0055,0.0
sel_lam0.5,2,2.0,heldout,0.0052,0.0
sel_lam0.5,2,2.0,all,0.0054,0.0
sel_lam0.5,2,4.0,train,0.0132,0.0
sel_lam0.5,2,4.0,heldout,0.0214,0.0
sel_lam0.5,2,4.0,all,0.0149,0.0
