task,group,baseline,full,pc40_40pc,sel_final_lam0.01_25pc,sel_lam0.01_24pc,sel_lam0.05_15pc,sel_lam0.2_5pc,sel_lam0.5_2pc
french_noun_gender,train,0.0,0.0,0.0733,0.0067,0.0067,0.0067,0.0067,0.0
german-english,train,0.0,0.3867,0.3533,0.2067,0.16,0.2067,0.1267,0.06
german_noun_gender,train,0.0,0.0,0.0133,0.0333,0.0133,0.02,0.0067,0.0
gerund_to_base,heldout,0.0067,0.28,0.3,0.1133,0.1333,0.18,0.1667,0.0733
gerund_to_past,train,0.0,0.12,0.08,0.1067,0.0867,0.08,0.04,0.02
hypernym_category,train,0.0,0.0533,0.0333,0.0867,0.1067,0.08,0.0133,0.0067
initials_two_words,heldout,0.0,0.0333,0.0267,0.0,0.0067,0.0067,0.0,0.0
iso_date_to_month,train,0.0,0.02,0.0067,0.0133,0.0333,0.0267,0.0,0.0
iso_date_year_plus_one,train,0.0,0.0,0.0067,0.0,0.0067,0.0,0.0,0.0
landmark-country,train,0.0,0.02,0.0467,0.0533,0.0333,0.0133,0.02,0.0133
language_identification,train,0.0,0.0133,0.04,0.02,0.0267,0.0,0.0067,0.0
larger_of_pair,train,0.0,0.0467,0.0267,0.04,0.0333,0.0733,0.0467,0.0067
larger_than_1000,train,0.0,0.02,0.0267,0.0733,0.0467,0.0533,0.0333,0.0133
lowercase_first_letter,train,0.0,0.1667,0.0867,0.0333,0.02,0.02,0.0,0.0
lowercase_word,train,0.0,0.6667,0.32,0.1533,0.1533,0.12,0.1333,0.0533
national_parks,train,0.0,0.0533,0.16,0.1533,0.14,0.0733,0.04,0.0333
natural_manmade,train,0.0,0.0067,0.0,0.0067,0.0,0.0,0.0,0.0
next_item,train,0.0067,0.08,0.08,0.1867,0.16,0.0667,0.0267,0.0267
next_month_of_date,train,0.0,0.0267,0.0467,0.08,0.0267,0.06,0.0533,0.0
next_number_digits,train,0.0,0.26,0.1867,0.1533,0.1333,0.16,0.0467,0.02
number_word_to_digits,train,0.0,0.2533,0.1733,0.0533,0.0333,0.08,0.0267,0.0067
park-country,train,0.0,0.0667,0.1,0.06,0.0867,0.0533,0.0733,0.0533
past_to_base,heldout,0.0067,0.2733,0.2333,0.0933,0.1267,0.0867,0.0733,0.0733
person-instrument,train,0.0,0.0133,0.0333,0.04,0.04,0.02,0.0133,0.0
person-sport,train,0.0,0.02,0.0333,0.0533,0.02,0.0267,0.0267,0.0067
person_place_thing,heldout,0.0,0.0133,0.0133,0.0133,0.0067,0.0,0.0067,0.0
plural_to_singular,train,0.0067,0.42,0.16,0.1867,0.1067,0.1467,0.0867,0.1
pos_label,heldout,0.0,0.0067,0.0,0.0333,0.02,0.0067,0.0067,0.0
present-past,train,0.0,0.0867,0.06,0.1667,0.1333,0.16,0.0333,0.0267
prev_number_digits,train,0.0,0.04,0.08,0.0867,0.08,0.0467,0.0067,0.02
product-company,train,0.0,0.0267,0.0267,0.0067,0.04,0.0133,0.0067,0.0067
sentiment,train,0.0,0.0467,0.0133,0.0333,0.04,0.0467,0.0,0.0
singular-plural,train,0.0,0.6067,0.4533,0.3933,0.3533,0.1533,0.02,0.0067
singular_or_plural,train,0.0,0.0133,0.0133,0.02,0.0333,0.0333,0.0067,0.0
smaller_of_pair,heldout,0.0,0.06,0.0067,0.06,0.0333,0.04,0.0533,0.0
spanish-english,heldout,0.0067,0.4667,0.3333,0.2467,0.2333,0.1867,0.0867,0.0867
spanish_noun_gender,train,0.0,0.0133,0.0467,0.0067,0.0,0.0067,0.0,0.0
starts_with_vowel,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
third_person_to_base,train,0.0,0.34,0.2133,0.1267,0.1467,0.1333,0.1,0.0867
titlecase_phrase,train,0.0,0.0067,0.0067,0.0067,0.0067,0.0067,0.0,0.0
uppercase_word,heldout,0.0,0.2533,0.12,0.0067,0.0067,0.0067,0.0067,0.0
us-city-state,train,0.0067,0.0533,0.1133,0.0733,0.08,0.06,0.02,0.0133
verb_tense_label,train,0.0,0.0,0.0133,0.0,0.0067,0.0,0.0,0.0
verb_to_third_person,train,0.0,0.2467,0.12,0.18,0.16,0.0667,0.02,0.0067
word_polarity,heldout,0.0,0.02,0.0533,0.02,0.02,0.02,0.0,0.0
