task,group,baseline,full,pc40_40pc,sel_final_lam0.01_25pc,sel_lam0.01_24pc,sel_lam0.05_15pc,sel_lam0.2_5pc,sel_lam0.5_2pc
adjective_to_adverb,train,0.0,0.1067,0.16,0.0667,0.0933,0.0267,0.0133,0.0067
adjective_to_noun,train,0.0,0.2067,0.1533,0.06,0.0733,0.0933,0.04,0.0333
ag_news,heldout,0.0,0.0,0.0067,0.0133,0.0067,0.0,0.0,0.0
agent_noun_to_verb,train,0.0,0.1733,0.1267,0.0667,0.04,0.0333,0.04,0.0267
animal_class,train,0.0,0.1133,0.12,0.22,0.2067,0.2133,0.08,0.0333
animal_plant_object,train,0.0,0.0333,0.0267,0.0333,0.0467,0.04,0.02,0.0067
antonym,train,0.0067,0.0533,0.0533,0.02,0.0133,0.0067,0.0067,0.0067
article_choice,train,0.0,0.0267,0.0267,0.0267,0.0667,0.0333,0.0,0.0
capitalize,train,0.0,0.2667,0.0467,0.0133,0.0133,0.0067,0.0067,0.0067
capitalize_first_letter,train,0.0,0.1067,0.0467,0.0333,0.02,0.02,0.0,0.0
city-country,train,0.0,0.1067,0.1267,0.04,0.0533,0.0733,0.0267,0.02
compound_first,train,0.0,0.14,0.1,0.0133,0.0467,0.02,0.04,0.0467
concrete_abstract,train,0.0,0.0,0.0133,0.0267,0.0267,0.0067,0.0,0.0
contains_letter_e,train,0.0,0.0333,0.1,0.0467,0.04,0.0333,0.0467,0.0067
country-capital,train,0.0067,0.2467,0.38,0.2733,0.2733,0.02,0.0067,0.0
day_after_textual_date,train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ends_with_ing,heldout,0.0,0.0667,0.0933,0.0533,0.0467,0.04,0.02,0.0067
english-french,heldout,0.0,0.1,0.0067,0.0,0.0067,0.0067,0.0,0.0
english-italian,train,0.0,0.1467,0.0333,0.0133,0.02,0.02,0.0,0.0
english-portuguese,train,0.0,0.1867,0.02,0.0533,0.0667,0.0867,0.0,0.0
english-spanish,train,0.0,0.1733,0.0867,0.0867,0.0933,0.0933,0.0,0.0
first_digit,heldout,0.0067,0.0533,0.0133,0.0133,0.02,0.0133,0.0267,0.02
first_three_letters,train,0.0,0.1533,0.0267,0.0067,0.0067,0.0133,0.0,0.0
french-english,heldout,0.0067,0.4067,0.3733,0.24,0.2733,0.2133,0.1333,0.06
