analysis,n_rows,n90_pcs,n95_pcs,stable_rank_raw,stable_rank_centered
dot_unnorm_r_task,55,18,25,,
dot_unnorm_pooled_perprompt,8250,36,82,2.29,3.83
dot_unnorm_within_task_median,150,57,81,,
dot_unnorm_task_mean_of_r,55,18,25,,
