task,group,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0,d_cos_gen_a0.0,d_cos_gen_a0.5,d_cos_gen_a1.0,d_cos_gen_a2.0,d_cos_gen_a4.0,d_proj_task_a0.0,d_proj_task_a0.5,d_proj_task_a1.0,d_proj_task_a2.0,d_proj_task_a4.0,d_proj_gen_a0.0,d_proj_gen_a0.5,d_proj_gen_a1.0,d_proj_gen_a2.0,d_proj_gen_a4.0
adjective_to_adverb,train,0.0,0.01277,0.09247,0.0944,0.09885,0.0,-0.02204,0.0354,0.0196,0.02553,0.0,-2.65129,21.34068,27.64747,26.53352,0.0,-11.50862,7.44251,9.38762,8.6793
adjective_to_noun,train,0.0,-0.0164,0.01444,0.07099,0.10336,0.0,-0.04332,-0.02298,0.02541,0.06019,0.0,-7.59466,-3.838,11.86379,25.83775,0.0,-14.4368,-13.31045,0.69047,15.49034
adverb_to_adjective,train,0.0,-0.02166,0.07223,0.08772,0.10613,0.0,-0.04375,0.02872,0.04403,0.07203,0.0,-5.09934,23.64935,31.5983,35.85766,0.0,-10.32044,13.26913,21.13129,27.83836
ag_news,train,0.0,0.07404,0.06998,0.09542,0.00703,0.0,-0.03512,-0.00718,0.00993,0.00315,0.0,25.17026,17.75336,29.53162,3.81413,0.0,0.57983,0.56358,10.55396,3.44195
agent_noun_to_verb,train,0.0,0.01014,0.04308,0.10065,0.11328,0.0,-0.01945,-0.009,0.0364,0.05167,0.0,-1.98435,4.31918,25.20252,33.38884,0.0,-9.5519,-8.48226,9.60825,18.4846
animal_class,train,0.0,0.09957,0.12864,0.11071,0.1163,0.0,0.07669,0.09326,0.08382,0.08747,0.0,23.50184,36.92908,27.88447,31.08668,0.0,17.87449,28.14505,21.26782,23.97513
animal_plant_object,train,0.0,0.09007,0.13883,0.13081,0.12939,0.0,0.0586,0.08876,0.07546,0.07165,0.0,23.30625,36.71175,33.21395,34.20713,0.0,15.56262,24.31757,19.55269,19.90891
antonym,train,0.0,0.00062,-0.0041,0.04196,0.08019,0.0,-0.00745,-0.02465,0.01467,0.04967,0.0,-0.99023,-5.44781,8.68724,25.95503,0.0,-3.02596,-10.5543,2.09177,18.68533
article_choice,train,0.0,0.05513,0.06448,0.07085,0.07971,0.0,0.03759,0.03782,0.03406,0.0408,0.0,10.64604,10.85941,11.5222,14.31963,0.0,6.08979,3.97417,2.23193,4.58347
capitalize,train,0.0,0.01433,0.09772,0.11418,0.12083,0.0,0.00609,0.0644,0.0661,0.06977,0.0,2.68705,20.7057,23.27957,29.05996,0.0,0.57509,12.46659,11.51675,16.64866
capitalize_first_letter,train,0.0,0.02572,0.05577,0.04973,0.06982,0.0,-0.0305,0.00753,0.00127,0.00659,0.0,2.6544,6.66109,5.34706,10.69997,0.0,-11.49422,-6.03829,-7.38951,-5.34344
