alpha,task_group,cos_task_raw,cos_gen_raw,d_cos_task,d_cos_gen,proj_task_raw,proj_gen_raw,d_proj_task,d_proj_gen
0.0,train,0.39163,0.46575,0.0,0.0,93.76114,111.42285,0.0,0.0
0.0,heldout,0.38668,0.46808,0.0,0.0,92.93639,112.4286,0.0,0.0
0.0,all,0.39065,0.46621,0.0,0.0,93.59791,111.6219,0.0,0.0
0.5,train,0.42295,0.46733,0.03132,0.00158,99.72814,109.96855,5.96699,-1.45429
0.5,heldout,0.41614,0.46336,0.02947,-0.00472,98.97273,109.87886,6.03635,-2.54973
0.5,all,0.42161,0.46654,0.03095,0.00034,99.57863,109.9508,5.98072,-1.6711
1.0,train,0.44655,0.47301,0.05492,0.00727,104.79463,110.63971,11.03349,-0.78313
1.0,heldout,0.44635,0.47364,0.05968,0.00556,106.50037,112.54679,13.56398,0.1182
1.0,all,0.44651,0.47314,0.05586,0.00693,105.13223,111.01716,11.53432,-0.60475
2.0,train,0.45473,0.47313,0.06309,0.00738,107.70935,111.79898,13.94821,0.37613
2.0,heldout,0.45227,0.47541,0.06559,0.00733,108.02622,113.23513,15.08983,0.80653
2.0,all,0.45424,0.47358,0.06359,0.00737,107.77207,112.08321,14.17416,0.46131
4.0,train,0.46282,0.48194,0.07119,0.01619,112.27318,116.50967,18.51204,5.08683
4.0,heldout,0.46292,0.48576,0.07625,0.01768,112.80783,118.04171,19.87145,5.61311
4.0,all,0.46284,0.48269,0.07219,0.01649,112.379,116.81289,18.78109,5.19099
