layer,cos_task_a0.0,cos_task_a0.5,cos_task_a1.0,cos_task_a2.0,cos_task_a4.0,d_cos_task_a0.0,d_cos_task_a0.5,d_cos_task_a1.0,d_cos_task_a2.0,d_cos_task_a4.0
0,0.17569,0.17569,0.17569,0.17569,0.17569,0.0,0.0,0.0,0.0,0.0
1,0.21363,0.21677,0.21765,0.21802,0.21815,0.0,0.00314,0.00402,0.00438,0.00452
2,0.24233,0.2444,0.2451,0.24534,0.24542,0.0,0.00206,0.00277,0.00301,0.00309
3,0.16835,0.17513,0.1767,0.17747,0.17788,0.0,0.00678,0.00834,0.00912,0.00953
4,0.18823,0.19598,0.19791,0.19868,0.19894,0.0,0.00774,0.00968,0.01044,0.01071
5,0.19147,0.19265,0.19492,0.19606,0.1968,0.0,0.00117,0.00345,0.00459,0.00532
6,0.21138,0.21375,0.21767,0.21899,0.21961,0.0,0.00237,0.00629,0.00761,0.00822
7,0.22824,0.21783,0.22206,0.22309,0.22362,0.0,-0.01041,-0.00619,-0.00515,-0.00462
8,0.19822,0.19393,0.2015,0.20316,0.20368,0.0,-0.00429,0.00328,0.00494,0.00546
9,0.27989,0.26261,0.26481,0.26636,0.26714,0.0,-0.01728,-0.01509,-0.01354,-0.01276
10,0.28833,0.27891,0.27982,0.27915,0.27974,0.0,-0.00943,-0.00851,-0.00919,-0.00859
11,0.30756,0.30102,0.30056,0.29864,0.2984,0.0,-0.00654,-0.007,-0.00891,-0.00916
12,0.31009,0.30265,0.30308,0.30115,0.30048,0.0,-0.00744,-0.00701,-0.00895,-0.00961
13,0.29229,0.29565,0.30122,0.29986,0.29919,0.0,0.00336,0.00893,0.00757,0.00689
14,0.33761,0.34769,0.34422,0.34121,0.34101,0.0,0.01008,0.0066,0.0036,0.0034
15,0.32252,0.33241,0.32832,0.32374,0.32368,0.0,0.00988,0.0058,0.00122,0.00116
16,0.32857,0.34592,0.34469,0.34231,0.33849,0.0,0.01735,0.01611,0.01374,0.00992
17,0.34368,0.36569,0.36673,0.36688,0.36928,0.0,0.02201,0.02306,0.02321,0.0256
18,0.35391,0.37612,0.3735,0.37097,0.37401,0.0,0.02221,0.01959,0.01706,0.02009
19,0.35995,0.38289,0.37977,0.38005,0.38496,0.0,0.02294,0.01982,0.0201,0.02502
20,0.35626,0.38397,0.38673,0.38679,0.39944,0.0,0.02771,0.03047,0.03053,0.04318
21,0.34065,0.37253,0.37841,0.38096,0.39219,0.0,0.03188,0.03776,0.04031,0.05154
22,0.34094,0.37001,0.3845,0.39455,0.4101,0.0,0.02907,0.04355,0.0536,0.06916
23,0.36332,0.38611,0.40145,0.41211,0.42615,0.0,0.02279,0.03812,0.04879,0.06283
24,0.39065,0.42161,0.44651,0.45424,0.46284,0.0,0.03095,0.05586,0.06359,0.07219
25,0.3857,0.41538,0.44554,0.4507,0.4542,0.0,0.02968,0.05985,0.065,0.0685
26,0.40881,0.4218,0.44808,0.45354,0.45701,0.0,0.01298,0.03926,0.04473,0.0482
27,0.10598,0.09301,0.10563,0.10428,0.10688,0.0,-0.01297,-0.00035,-0.0017,0.0009
