property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_coherentonly,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_coherentonly,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,20,6,32.0,32.0,0.0,0.357,0.88,0.016,0.99,0.0,0.372,0.685,0.747,0.457,199,0.083,0.95,0.979,0.984,0.03,199,0.005,0.01,0.377
ampersand,20,24,32.0,32.0,0.0,0.0,0.12,0.761,0.325,0.667,0.979,1.0,1.0,0.021,144,0.0,0.979,0.979,1.0,0.0,144,0.021,0.0,0.326
contractions,24,24,32.0,32.0,0.052,0.034,0.12,0.78,0.16,0.83,0.649,0.649,1.0,0.0,174,0.351,0.224,0.224,0.951,0.0,174,0.764,0.08,0.069
curly_quotes,6,24,1.0,32.0,0.0,0.102,0.306,0.674,0.312,0.684,0.018,0.018,0.176,0.006,167,0.898,0.611,0.927,1.0,0.341,167,0.073,0.006,0.072
double_space,16,6,16.0,8.0,0.0,0.92,0.655,0.196,0.715,0.278,0.975,0.98,0.99,0.005,200,0.01,0.905,0.91,1.0,0.005,200,0.09,0.0,0.9
em_dash,24,20,32.0,32.0,0.0,0.0,0.433,0.536,0.433,0.527,1.0,1.0,1.0,0.0,99,0.0,0.97,0.99,1.0,0.02,99,0.01,0.01,0.03
num_words,24,20,32.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.864,0.864,1.0,0.0,81,0.136,0.519,0.519,1.0,0.0,81,0.481,0.074,0.148
ordinal_words,24,16,32.0,16.0,0.04,0.0,0.169,0.831,0.169,0.759,0.545,0.58,1.0,0.06,200,0.42,0.1,0.102,0.714,0.015,200,0.858,0.115,0.01
oxford_comma,16,24,32.0,4.0,0.0,0.209,0.5,0.455,0.591,0.364,1.0,1.0,1.0,0.0,67,0.0,0.552,0.552,1.0,0.0,67,0.448,0.134,0.478
percent_sign,20,10,16.0,32.0,0.0,0.317,0.695,0.288,0.831,0.169,1.0,1.0,1.0,0.0,104,0.0,0.942,0.951,1.0,0.01,104,0.049,0.077,0.433
quote_punct,20,24,16.0,8.0,0.048,0.808,0.744,0.053,0.917,0.035,0.856,1.0,1.0,0.144,125,0.0,0.904,0.911,0.974,0.008,125,0.065,0.016,0.888
sentence_caps,10,2,32.0,32.0,0.0,0.825,0.695,0.03,0.96,0.03,0.865,0.994,1.0,0.13,200,0.006,0.9,0.905,1.0,0.005,200,0.095,0.0,0.845
us_uk,24,24,32.0,32.0,0.021,0.021,0.15,0.833,0.233,0.767,0.678,0.683,0.99,0.007,146,0.31,0.815,0.85,0.992,0.041,146,0.143,0.017,0.217
