icl_example_index,token_role,layer,feature_dim,target_dim,best_alpha,cv_mse,alpha_pinned,train_sample_count,test_sample_count,train_mse,test_mse,train_mean_squared_l2,test_mean_squared_l2
2,pre_label_token,0,4096,4096,0.1,0.21920011937618256,True,3400,1190,0.19782809913158417,0.21711736246317376,810.303955078125,889.3127494747899
2,pre_label_token,1,4096,4096,31622776.60168379,0.21914297342300415,False,3400,1190,0.19440051913261414,0.2178640702191521,796.2645263671875,892.3712578781513
2,pre_label_token,2,4096,4096,100000000.0,0.2191736102104187,True,3400,1190,0.19653351604938507,0.21749618434104598,805.0012817382812,890.8644038865547
2,pre_label_token,3,4096,4096,31622776.60168379,0.21910008788108826,False,3400,1190,0.19378945231437683,0.21819174149457146,793.7616577148438,893.7133469012605
2,pre_label_token,4,4096,4096,100000000.0,0.21917344629764557,True,3400,1190,0.19656012952327728,0.21744514753838548,805.1102905273438,890.655350577731
2,pre_label_token,5,4096,4096,100000000.0,0.21921604871749878,True,3400,1190,0.19666440784931183,0.21733929129207835,805.5374145507812,890.2217305672269
2,pre_label_token,6,4096,4096,100000000.0,0.21923145651817322,True,3400,1190,0.1965818852186203,0.21737173064416196,805.1994018554688,890.3546087184874
2,pre_label_token,7,4096,4096,100000000.0,0.21922822296619415,True,3400,1190,0.19655553996562958,0.21734886810559184,805.0916137695312,890.2609834558823
2,pre_label_token,8,4096,4096,100000000.0,0.21923761069774628,True,3400,1190,0.19657838344573975,0.2173408668582179,805.1851196289062,890.2281972163865
2,pre_label_token,9,4096,4096,100000000.0,0.2192240059375763,True,3400,1190,0.1965576410293579,0.21732645916337726,805.10009765625,890.1691636029411
2,pre_label_token,10,4096,4096,100000000.0,0.21926189959049225,True,3400,1190,0.19658565521240234,0.21728026446174173,805.21484375,889.9799698004201
2,pre_label_token,11,4096,4096,100000000.0,0.21927529573440552,True,3400,1190,0.19660507142543793,0.21726727846289884,805.2943725585938,889.9267988445379
2,pre_label_token,12,4096,4096,100000000.0,0.21925747394561768,True,3400,1190,0.1965848058462143,0.21727319124366054,805.2113647460938,889.9509782037815
2,pre_label_token,13,4096,4096,100000000.0,0.2192607969045639,True,3400,1190,0.19657254219055176,0.21726925473253267,805.1611328125,889.9348542542017
2,pre_label_token,14,4096,4096,100000000.0,0.2192591428756714,True,3400,1190,0.1966048926115036,0.21726292522013688,805.2936401367188,889.9089220063025
2,pre_label_token,15,4096,4096,100000000.0,0.21925358474254608,True,3400,1190,0.19660909473896027,0.2172661228340213,805.3108520507812,889.9219866071429
