method,lambda,scale,heldout_r2_testmean,heldout_r2_trainmean,heldout_perprompt_r2,heldout_centered_cos,train_r2
trainmean_baseline,,,-0.0835,0.0,-0.0835,0.0,0.0
rotation,,,0.4566,0.4985,0.4188,0.8017,0.7947
rotation+scale,,1.657,0.5878,0.6196,0.484,0.8017,0.9428
ridge,0.01,,0.641,0.6687,0.5311,0.8269,1.0
