k,lambda_linear,scale_rot,linear_r2,linear_perprompt_r2,rotation_r2,rotation_perprompt_r2,rotscale_r2,rotscale_perprompt_r2,write_pca_ceiling_r2,read_pca_recon_r2,read_train_var_frac,linear_train_r2,rotscale_train_r2
1,316.2277660168379,1.995,0.1375,0.1295,0.0822,0.08,0.1379,0.1293,0.151,0.1649,0.1598,0.2181,0.2185
2,316.2277660168379,1.891,0.1813,0.1701,0.1171,0.1136,0.1813,0.169,0.2087,0.2039,0.2628,0.3236,0.3227
3,316.2277660168379,1.797,0.2255,0.2126,0.1565,0.1521,0.223,0.2089,0.2829,0.2611,0.3523,0.3951,0.3906
4,316.2277660168379,1.776,0.2727,0.2567,0.1964,0.1905,0.2702,0.2516,0.3364,0.3121,0.408,0.4468,0.4422
6,316.2277660168379,1.748,0.3329,0.3126,0.2433,0.2352,0.3275,0.3026,0.4091,0.3677,0.4865,0.5168,0.5109
8,1000.0,1.733,0.3489,0.3316,0.274,0.2641,0.3634,0.3334,0.4528,0.4079,0.5547,0.553,0.572
12,1000.0,1.704,0.3948,0.3747,0.3205,0.3068,0.4201,0.3801,0.5141,0.4623,0.6594,0.6251,0.6576
16,316.2277660168379,1.701,0.4872,0.4518,0.3678,0.3513,0.4814,0.4336,0.5656,0.5101,0.7412,0.7449,0.7364
24,316.2277660168379,1.672,0.519,0.4788,0.393,0.3724,0.5114,0.4538,0.6152,0.5386,0.8617,0.8381,0.8275
32,100.0,1.664,0.5691,0.5088,0.4158,0.3903,0.5382,0.4675,0.6508,0.5677,0.9378,0.9311,0.8917
54,0.01,1.657,0.641,0.5311,0.4566,0.4188,0.5878,0.484,0.7117,0.616,1.0,1.0,0.9428
