family,n_pairs,mean,median,p5,p95,min,max
read_feature_all,2346,0.7267,0.7118,0.6007,0.9011,0.4775,0.9986
fv_all,2346,0.3926,0.3548,0.1716,0.743,0.0499,0.9951
read_feature_cfpairs,69,0.7263,0.718,0.5905,0.8725,0.5191,0.9226
fv_cfpairs,69,0.3827,0.3466,0.1783,0.6577,0.0499,0.7944
