layer,input_ex1,input_ex2,input_ex3,input_ex4,input_ex5,input_ex6,cue_ex1,cue_ex2,cue_ex3,cue_ex4,cue_ex5,cue_ex6,target_ex1,target_ex2,target_ex3,target_ex4,target_ex5,target_ex6,query_cue
0,-0.1185,-0.1235,-0.1118,-0.1147,-0.1226,-0.1144,-0.1131,-0.1131,-0.1131,-0.1131,-0.1131,-0.1131,0.2477,0.2453,0.2482,0.2491,0.2506,0.2480,-0.1131
1,-0.0678,-0.0566,-0.0471,-0.0796,-0.0846,-0.0657,-0.0810,-0.0072,0.0422,0.0620,0.0793,0.0971,0.3019,0.3039,0.3095,0.3124,0.3136,0.3207,0.1489
2,-0.0804,-0.0606,-0.0518,-0.0541,-0.0547,-0.0444,-0.0773,-0.0433,0.0144,0.0382,0.0500,0.0699,0.3729,0.3722,0.3824,0.3853,0.3946,0.4029,0.0854
3,-0.0554,-0.0667,-0.0564,-0.0585,-0.0612,-0.0459,-0.1052,0.0202,0.0838,0.1265,0.1015,0.1625,0.3925,0.3875,0.4023,0.4028,0.4135,0.4242,0.1665
4,-0.0547,-0.0592,-0.0462,-0.0440,-0.0421,-0.0235,-0.0720,0.1828,0.2426,0.2842,0.3029,0.3215,0.4329,0.4517,0.4652,0.4674,0.4750,0.4843,0.3049
5,-0.0640,-0.0668,-0.0528,-0.0511,-0.0518,-0.0312,-0.0389,0.3021,0.3938,0.4397,0.4658,0.4813,0.4559,0.4857,0.4987,0.5021,0.5104,0.5190,0.4898
6,-0.0799,-0.0935,-0.0764,-0.0698,-0.1462,-0.1010,-0.0436,0.3366,0.4219,0.4649,0.4904,0.5022,0.4712,0.5026,0.5182,0.5215,0.5316,0.5404,0.4745
7,-0.0905,-0.0756,-0.0542,-0.0392,-0.1112,-0.0733,-0.0238,0.3543,0.4450,0.4905,0.5189,0.5345,0.4642,0.5290,0.5542,0.5567,0.5678,0.5756,0.5209
8,-0.0529,-0.0915,-0.1126,-0.0753,-0.0963,-0.0596,-0.0323,0.3385,0.4547,0.5039,0.5316,0.5516,0.4825,0.5432,0.5690,0.5731,0.5833,0.5908,0.5234
9,-0.0612,-0.1086,-0.1077,-0.0552,-0.0684,-0.0410,-0.0383,0.3797,0.5149,0.5681,0.5974,0.6149,0.4997,0.5486,0.5820,0.5891,0.5994,0.6057,0.5827
10,-0.0619,-0.1021,-0.0904,-0.0407,-0.0559,-0.0277,-0.0406,0.3923,0.5395,0.5884,0.6177,0.6292,0.5047,0.5534,0.5852,0.5945,0.6059,0.6118,0.5867
11,-0.0790,-0.1162,-0.0666,-0.0337,-0.0533,-0.0293,-0.0549,0.3897,0.5478,0.5971,0.6266,0.6403,0.5111,0.5600,0.5896,0.5994,0.6120,0.6170,0.5673
12,-0.0984,-0.1135,-0.0226,0.0098,-0.0080,0.0119,-0.0536,0.4147,0.5610,0.6056,0.6320,0.6434,0.5138,0.5654,0.5961,0.6025,0.6158,0.6194,0.5418
13,-0.1041,-0.1209,-0.0296,0.0146,0.0108,0.0298,-0.0797,0.4466,0.5880,0.6283,0.6526,0.6635,0.5152,0.5714,0.6035,0.6129,0.6196,0.6219,0.5570
14,-0.1130,-0.1495,-0.0620,-0.0180,-0.0222,-0.0021,-0.1083,0.4471,0.5899,0.6238,0.6453,0.6560,0.5150,0.5726,0.6043,0.6137,0.6243,0.6201,0.5403
15,-0.1267,-0.1677,-0.0785,-0.0378,-0.0486,-0.0271,-0.0465,0.4442,0.5877,0.6238,0.6403,0.6503,0.4986,0.5717,0.6029,0.6112,0.6217,0.6165,0.5326
16,-0.1396,-0.1228,-0.0879,-0.0466,-0.0623,-0.0298,-0.0492,0.4527,0.5984,0.6349,0.6565,0.6567,0.5007,0.5704,0.6035,0.6125,0.6241,0.6164,0.5324
17,-0.0665,-0.1513,-0.1174,-0.0752,-0.0899,-0.0546,-0.0724,0.4487,0.5859,0.6255,0.6465,0.6584,0.5012,0.5677,0.6014,0.6095,0.6211,0.6240,0.5049
18,-0.0703,-0.0950,-0.1504,-0.1036,-0.1245,-0.0856,-0.0895,0.4478,0.5858,0.6211,0.6418,0.6518,0.5014,0.5674,0.6022,0.6089,0.6205,0.6242,0.4782
19,-0.0905,-0.1365,-0.1978,-0.1438,-0.1644,-0.1276,-0.1335,0.4444,0.5820,0.6153,0.6325,0.6427,0.4999,0.5648,0.5997,0.6064,0.6178,0.6217,0.4530
20,-0.1072,-0.1615,-0.1779,-0.1572,-0.1747,-0.1370,-0.1027,0.4328,0.5747,0.6112,0.6313,0.6414,0.4997,0.5577,0.5980,0.6043,0.6158,0.6193,0.4831
21,-0.1116,-0.1652,-0.1956,-0.1614,-0.1793,-0.1408,-0.1253,0.4256,0.5719,0.6102,0.6309,0.6413,0.4983,0.5594,0.5982,0.6056,0.6182,0.6230,0.4791
22,-0.1213,-0.1823,-0.1638,-0.1475,-0.2031,-0.1649,-0.1489,0.4112,0.5638,0.6008,0.6222,0.6320,0.4952,0.5550,0.5925,0.5989,0.6131,0.6173,0.4539
23,-0.1253,-0.1728,-0.1704,-0.1574,-0.1733,-0.1774,-0.1616,0.4108,0.5562,0.5955,0.6181,0.6279,0.4933,0.5528,0.5889,0.5957,0.6099,0.6144,0.4351
24,-0.1349,-0.1786,-0.1862,-0.1748,-0.1918,-0.1597,-0.1757,0.4077,0.5531,0.5886,0.6113,0.6216,0.4923,0.5511,0.5847,0.5935,0.6069,0.6124,0.4155
25,-0.1410,-0.1823,-0.1924,-0.1787,-0.1957,-0.1652,-0.1862,0.4035,0.5503,0.5828,0.6038,0.6149,0.4920,0.5483,0.5832,0.5895,0.6033,0.6088,0.4774
26,-0.1472,-0.1133,-0.1983,-0.1846,-0.2016,-0.1741,-0.1950,0.3979,0.5471,0.5795,0.6018,0.6086,0.4890,0.5461,0.5810,0.5859,0.6001,0.6049,0.4720
27,-0.1524,-0.1120,-0.2002,-0.1891,-0.2082,-0.1832,-0.2097,0.3875,0.5394,0.5732,0.5953,0.5982,0.4851,0.5415,0.5776,0.5801,0.5954,0.6002,0.4584
28,-0.1625,-0.1305,-0.2372,-0.2311,-0.2508,-0.2255,-0.2249,0.3763,0.5285,0.5639,0.5868,0.5998,0.4801,0.5362,0.5733,0.5749,0.5903,0.5947,0.4446
