family,arm,alpha,layer,n,dircos,proj_frac,proj_frac_mean,cos_w,norm_ratio,cf_cos_w
sql_bool_case,read,0.5,20,40,0.6212877631187439,0.35760655999183655,0.4655945301055908,0.3928752541542053,0.4745252728462219,0.45895832777023315
sql_bool_case,read,0.5,21,40,0.728151798248291,0.3789753019809723,0.42883405089378357,0.5561080574989319,0.44327035546302795,0.6052672266960144
sql_bool_case,read,0.5,22,40,0.7241213321685791,0.38695424795150757,2.16204833984375,0.5301726460456848,0.45346173644065857,0.572608470916748
sql_bool_case,read,0.5,23,40,0.8597171902656555,0.44541865587234497,0.5382401943206787,0.7623098492622375,0.47111383080482483,0.7837187647819519
sql_bool_case,read,0.5,24,40,0.8677763938903809,0.4413859248161316,0.4137602746486664,0.7683268189430237,0.4633675515651703,0.7975302934646606
sql_bool_case,read,0.5,25,40,0.9076706171035767,0.4223451018333435,0.40952277183532715,0.8156805038452148,0.43461909890174866,0.8584470748901367
sql_bool_case,read,0.5,26,40,0.8947068452835083,0.42112597823143005,0.41668766736984253,0.7871965169906616,0.44893306493759155,0.8433806300163269
sql_bool_case,read,0.5,27,40,0.8595991134643555,0.38529521226882935,0.3853984475135803,0.7476447224617004,0.4383975863456726,0.8514543771743774
sql_bool_case,read,0.5,28,40,0.8717489242553711,0.4876660108566284,0.4518043100833893,0.7441853284835815,0.47028547525405884,0.8124046325683594
sql_bool_case,read,1.0,20,40,0.7189372777938843,0.7449861168861389,1.0180244445800781,0.48283249139785767,0.7363418340682983,0.45895832777023315
sql_bool_case,read,1.0,21,40,0.8114690780639648,0.8353044390678406,0.953109085559845,0.6469064354896545,0.7846994400024414,0.6052672266960144
sql_bool_case,read,1.0,22,40,0.8068251609802246,0.8392309546470642,3.9323666095733643,0.6137509942054749,0.7870400547981262,0.572608470916748
sql_bool_case,read,1.0,23,40,0.9099434614181519,0.9625678062438965,1.0839173793792725,0.8129230737686157,0.9378454089164734,0.7837187647819519
sql_bool_case,read,1.0,24,40,0.9183034896850586,0.9632565975189209,0.8569121360778809,0.8224462270736694,0.9427644610404968,0.7975302934646606
sql_bool_case,read,1.0,25,40,0.9683923721313477,0.9638561606407166,0.9863885641098022,0.8740331530570984,0.9661682844161987,0.8584470748901367
sql_bool_case,read,1.0,26,40,0.9705129861831665,0.9682715535163879,0.9865314364433289,0.8565305471420288,0.9695799946784973,0.8433806300163269
sql_bool_case,read,1.0,27,40,0.9800475835800171,0.9743673801422119,0.9860771894454956,0.8564082980155945,0.9792159795761108,0.8514543771743774
sql_bool_case,read,1.0,28,40,0.9822432398796082,0.9779818058013916,0.9979265928268433,0.8061589002609253,0.9846005439758301,0.8124046325683594
sql_bool_case,read,2.0,20,40,0.6206867098808289,1.4312431812286377,2.18892240524292,0.4692689776420593,1.4867687225341797,0.45895832777023315
