property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,20,6,32.0,32.0,0.0,0.397,0.936,0.016,1.0,0.0,0.685,0.747,0.457,199,0.083,0.979,0.984,0.03,199,0.005,0.01,0.419
ampersand,20,24,32.0,32.0,0.0,0.0,0.128,0.761,0.333,0.667,1.0,1.0,0.021,144,0.0,0.979,1.0,0.0,144,0.021,0.0,0.348
contractions,24,24,32.0,32.0,0.065,0.041,0.12,0.78,0.16,0.83,0.649,1.0,0.0,174,0.351,0.224,0.951,0.0,174,0.764,0.081,0.069
curly_quotes,6,24,1.0,32.0,0.0,0.113,0.308,0.674,0.316,0.684,0.018,0.176,0.006,167,0.898,0.927,1.0,0.341,167,0.073,0.006,0.072
double_space,16,6,16.0,8.0,0.0,0.925,0.658,0.196,0.722,0.278,0.98,0.99,0.005,200,0.01,0.91,1.0,0.005,200,0.09,0.0,0.9
em_dash,24,20,32.0,32.0,0.0,0.0,0.464,0.536,0.473,0.527,1.0,1.0,0.0,99,0.0,0.99,1.0,0.02,99,0.01,0.012,0.035
num_words,24,20,32.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.864,1.0,0.0,81,0.136,0.519,1.0,0.0,81,0.481,0.074,0.148
ordinal_words,24,16,32.0,16.0,0.041,0.0,0.169,0.831,0.169,0.759,0.58,1.0,0.06,200,0.42,0.102,0.714,0.015,200,0.858,0.115,0.01
oxford_comma,16,24,32.0,4.0,0.0,0.215,0.5,0.455,0.591,0.364,1.0,1.0,0.0,67,0.0,0.552,1.0,0.0,67,0.448,0.134,0.485
percent_sign,20,10,16.0,32.0,0.0,0.317,0.695,0.288,0.831,0.169,1.0,1.0,0.0,104,0.0,0.951,1.0,0.01,104,0.049,0.077,0.437
quote_punct,20,24,16.0,8.0,0.05,0.842,0.796,0.053,0.965,0.035,1.0,1.0,0.144,125,0.0,0.911,0.974,0.008,125,0.065,0.017,0.902
sentence_caps,10,2,32.0,32.0,0.0,0.833,0.702,0.03,0.965,0.03,0.994,1.0,0.13,200,0.006,0.905,1.0,0.005,200,0.095,0.0,0.862
us_uk,24,24,32.0,32.0,0.021,0.026,0.15,0.833,0.233,0.767,0.683,0.99,0.007,146,0.31,0.85,0.992,0.041,146,0.143,0.017,0.22
