property,direction,layer,alpha,strict,unscorable,incoherent,n
all_caps,alt,2,32.0,0.106,0.064,0.217,60
all_caps,alt,4,32.0,0.273,0.073,0.083,60
all_caps,alt,6,32.0,0.667,0.02,0.15,60
all_caps,alt,8,32.0,0.673,0.02,0.183,60
all_caps,alt,10,8.0,0.481,0.077,0.133,60
all_caps,alt,12,16.0,0.4,0.12,0.167,60
all_caps,alt,16,32.0,0.912,0.088,0.433,60
all_caps,alt,20,32.0,0.625,0.094,0.467,60
all_caps,alt,24,16.0,0.404,0.149,0.217,60
all_caps,nat,2,32.0,0.595,0.119,0.3,60
all_caps,nat,4,16.0,0.755,0.038,0.117,60
all_caps,nat,6,32.0,1.0,0.0,0.017,60
all_caps,nat,8,8.0,0.864,0.034,0.017,60
all_caps,nat,10,16.0,0.915,0.034,0.017,60
all_caps,nat,12,16.0,0.915,0.034,0.017,60
all_caps,nat,16,2.0,0.845,0.052,0.033,60
all_caps,nat,20,32.0,1.0,0.0,0.033,60
all_caps,nat,24,16.0,1.0,0.0,0.017,60
ampersand,alt,2,0.5,0.0,0.741,0.1,60
ampersand,alt,4,0.5,0.0,0.655,0.083,60
ampersand,alt,6,0.5,0.0,0.685,0.1,60
ampersand,alt,8,0.5,0.0,0.649,0.05,60
ampersand,alt,10,0.5,0.0,0.618,0.083,60
ampersand,alt,12,32.0,0.302,0.698,0.117,60
ampersand,alt,16,32.0,0.32,0.68,0.167,60
ampersand,alt,20,32.0,1.0,0.0,0.0,60
ampersand,alt,24,16.0,1.0,0.0,0.017,60
ampersand,nat,2,0.5,0.259,0.741,0.1,60
ampersand,nat,4,0.5,0.345,0.655,0.083,60
ampersand,nat,6,0.5,0.315,0.685,0.1,60
ampersand,nat,8,32.0,0.4,0.6,0.083,60
ampersand,nat,10,8.0,0.345,0.655,0.083,60
ampersand,nat,12,32.0,0.561,0.439,0.05,60
ampersand,nat,16,32.0,0.789,0.211,0.05,60
ampersand,nat,20,32.0,1.0,0.0,0.0,60
ampersand,nat,24,32.0,0.983,0.017,0.0,60
contractions,alt,2,16.0,0.1,0.85,0.0,60
contractions,alt,4,16.0,0.133,0.85,0.0,60
contractions,alt,6,0.5,0.117,0.833,0.0,60
contractions,alt,8,4.0,0.067,0.9,0.0,60
contractions,alt,10,4.0,0.15,0.85,0.0,60
contractions,alt,12,2.0,0.1,0.867,0.0,60
contractions,alt,16,32.0,0.133,0.867,0.0,60
contractions,alt,20,8.0,0.288,0.678,0.017,60
contractions,alt,24,32.0,0.627,0.373,0.017,60
contractions,nat,2,1.0,0.05,0.867,0.0,60
contractions,nat,4,2.0,0.017,0.867,0.0,60
contractions,nat,6,32.0,0.083,0.867,0.0,60
contractions,nat,8,8.0,0.083,0.883,0.0,60
contractions,nat,10,8.0,0.033,0.917,0.0,60
contractions,nat,12,0.5,0.033,0.883,0.0,60
contractions,nat,16,32.0,0.083,0.85,0.0,60
contractions,nat,20,8.0,0.183,0.767,0.0,60
contractions,nat,24,32.0,0.22,0.78,0.017,60
curly_quotes,alt,2,0.5,0.0,0.966,0.033,60
curly_quotes,alt,4,0.5,0.017,0.917,0.0,60
curly_quotes,alt,6,1.0,0.017,0.897,0.033,60
curly_quotes,alt,8,2.0,0.0,0.966,0.017,60
curly_quotes,alt,10,4.0,0.0,0.966,0.017,60
curly_quotes,alt,12,2.0,0.017,0.898,0.017,60
curly_quotes,alt,16,1.0,0.017,0.95,0.0,60
curly_quotes,alt,20,32.0,0.034,0.949,0.017,60
curly_quotes,alt,24,1.0,0.033,0.9,0.0,60
curly_quotes,nat,2,16.0,0.053,0.947,0.05,60
curly_quotes,nat,4,8.0,0.017,0.967,0.0,60
curly_quotes,nat,6,8.0,0.053,0.93,0.05,60
curly_quotes,nat,8,16.0,0.085,0.915,0.017,60
curly_quotes,nat,10,0.5,0.033,0.95,0.0,60
curly_quotes,nat,12,1.0,0.034,0.949,0.017,60
curly_quotes,nat,16,32.0,0.136,0.864,0.017,60
curly_quotes,nat,20,8.0,0.067,0.933,0.0,60
curly_quotes,nat,24,32.0,0.941,0.059,0.433,60
double_space,alt,2,0.5,0.0,0.15,0.0,60
double_space,alt,4,32.0,0.483,0.241,0.033,60
double_space,alt,6,8.0,0.65,0.15,0.0,60
double_space,alt,8,32.0,0.847,0.136,0.017,60
double_space,alt,10,32.0,0.814,0.186,0.017,60
double_space,alt,12,32.0,0.983,0.017,0.0,60
double_space,alt,16,16.0,0.983,0.0,0.017,60
double_space,alt,20,16.0,1.0,0.0,0.0,60
double_space,alt,24,8.0,1.0,0.0,0.0,60
double_space,nat,2,1.0,0.9,0.1,0.0,60
double_space,nat,4,8.0,0.917,0.083,0.0,60
double_space,nat,6,8.0,0.95,0.05,0.0,60
double_space,nat,8,2.0,0.783,0.217,0.0,60
double_space,nat,10,8.0,0.983,0.017,0.017,60
double_space,nat,12,1.0,0.817,0.183,0.0,60
double_space,nat,16,8.0,1.0,0.0,0.0,60
double_space,nat,20,1.0,0.933,0.067,0.0,60
double_space,nat,24,4.0,0.983,0.017,0.033,60
em_dash,alt,2,0.5,0.0,1.0,0.15,60
em_dash,alt,4,0.5,0.0,0.942,0.133,60
em_dash,alt,6,0.5,0.02,0.961,0.15,60
em_dash,alt,8,2.0,0.0,0.979,0.2,60
em_dash,alt,10,0.5,0.022,0.933,0.25,60
em_dash,alt,12,0.5,0.0,1.0,0.167,60
em_dash,alt,16,2.0,0.019,0.943,0.117,60
em_dash,alt,20,32.0,0.585,0.415,0.117,60
em_dash,alt,24,32.0,0.983,0.017,0.0,60
em_dash,nat,2,1.0,0.0,1.0,0.183,60
em_dash,nat,4,4.0,0.042,0.958,0.2,60
em_dash,nat,6,16.0,0.037,0.963,0.1,60
em_dash,nat,8,8.0,0.113,0.868,0.117,60
em_dash,nat,10,16.0,0.021,0.958,0.2,60
em_dash,nat,12,8.0,0.039,0.941,0.15,60
em_dash,nat,16,32.0,0.073,0.927,0.083,60
em_dash,nat,20,32.0,0.967,0.033,0.0,60
em_dash,nat,24,32.0,1.0,0.0,0.0,60
num_words,alt,2,32.0,0.15,0.75,0.0,60
num_words,alt,4,4.0,0.033,0.85,0.0,60
num_words,alt,6,16.0,0.102,0.763,0.017,60
num_words,alt,8,32.0,0.356,0.627,0.017,60
num_words,alt,10,32.0,0.383,0.617,0.0,60
num_words,alt,12,32.0,0.407,0.593,0.017,60
num_words,alt,16,32.0,0.433,0.567,0.0,60
num_words,alt,20,32.0,0.833,0.167,0.0,60
num_words,alt,24,32.0,0.967,0.033,0.0,60
num_words,nat,2,2.0,0.169,0.695,0.017,60
num_words,nat,4,1.0,0.167,0.75,0.0,60
num_words,nat,6,1.0,0.133,0.767,0.0,60
num_words,nat,8,1.0,0.15,0.733,0.0,60
num_words,nat,10,32.0,0.276,0.724,0.033,60
num_words,nat,12,32.0,0.15,0.85,0.0,60
num_words,nat,16,8.0,0.25,0.733,0.0,60
num_words,nat,20,32.0,0.542,0.458,0.017,60
num_words,nat,24,32.0,0.633,0.367,0.0,60
ordinal_words,alt,2,16.0,0.133,0.867,0.0,60
ordinal_words,alt,4,1.0,0.117,0.883,0.0,60
ordinal_words,alt,6,4.0,0.133,0.867,0.0,60
ordinal_words,alt,8,4.0,0.183,0.817,0.0,60
ordinal_words,alt,10,0.5,0.183,0.817,0.0,60
ordinal_words,alt,12,4.0,0.133,0.867,0.0,60
ordinal_words,alt,16,32.0,0.232,0.768,0.067,60
ordinal_words,alt,20,32.0,0.436,0.564,0.083,60
