icl_example_index,token_role,layer,best_alpha,rank90,energy_at_k,sv1,sv_k,gate_rel_fv,gate_rel_pp,selfcons_max_rel,trunc_resid_mean,trunc_resid_max,preimage_norm_mean,n_rows
1,pre_label_token,0,0.1,1,0.9999999999920908,1.7205995517244332e-09,1.7205995517244332e-09,0.0,0.0,4.1675398279039655e-06,0.999882698059082,1.0000001192092896,355.1200866699219,4590
1,pre_label_token,1,316227.7660168379,7,0.9007207877949079,0.6493179798126221,0.3079893887042999,0.0,0.0,7.698049557802733e-07,0.717632532119751,0.9707528352737427,33.42781448364258,4590
1,pre_label_token,2,316227.7660168379,8,0.916591510824725,0.6550878286361694,0.2088046669960022,0.0,0.0,1.002548629003286e-06,0.6943881511688232,0.9648641347885132,38.73574447631836,4590
1,pre_label_token,3,31622.776601683792,37,0.900702314896389,1.7348968982696533,0.13923661410808563,0.0,0.0,2.018334043896175e-06,0.5377123355865479,0.9066020250320435,38.07120132446289,4590
1,pre_label_token,4,100000.0,11,0.9091177883687364,1.0394195318222046,0.32707300782203674,0.0,0.0,8.893583753888379e-07,0.6427881121635437,0.9410988688468933,42.297367095947266,4590
1,pre_label_token,5,100000.0,11,0.9042341605597588,1.0383120775222778,0.3327808678150177,0.0,0.0,9.824880180531181e-07,0.6428593993186951,0.9409749507904053,47.48103332519531,4590
1,pre_label_token,6,100000.0,11,0.903105023454433,1.0301076173782349,0.333495169878006,0.0,0.0,1.1699795550157432e-06,0.6427422165870667,0.9412989020347595,51.762046813964844,4590
1,pre_label_token,7,100000.0,11,0.9002569648843248,1.0147303342819214,0.34197890758514404,0.0,0.0,9.520582580080372e-07,0.6425180435180664,0.9420881271362305,53.27656173706055,4590
1,pre_label_token,8,100000.0,12,0.9152637001404771,1.008924961090088,0.299709677696228,0.0,0.0,9.89750333246775e-07,0.6300725340843201,0.941538393497467,55.86262512207031,4590
1,pre_label_token,9,100000.0,12,0.9156664026277709,1.0154179334640503,0.3017246723175049,0.0,0.0,1.09122618141555e-06,0.6300342082977295,0.9416528344154358,58.807899475097656,4590
