analysis,n_rows,n90_pcs,n95_pcs,stable_rank_raw,stable_rank_centered
dot_r_task,55,18,26,,
dot_pooled_perprompt,8250,41,93,2.42,4.24
dot_within_task_median,150,58,83,,
dot_task_mean_of_r,55,19,26,,
