family,target,context,layer,alpha,n,success,lo,hi,target_rate,judge_ok,unscorable,margin,n_evidence,baseline,ceiling
docstring_quotes,nat,alt,2,0.5,49,0.0612,0.021,0.1652,0.0816,0.9796,0.1224,-1.8495,6.0816,0.0,0.835
docstring_quotes,nat,alt,2,1.0,49,0.8776,0.7576,0.9427,0.8776,1.0,0.1224,8.4821,6.0816,0.0,0.835
docstring_quotes,nat,alt,2,2.0,49,0.8776,0.7576,0.9427,0.8776,1.0,0.1224,9.9911,6.0816,0.0,0.835
docstring_quotes,nat,alt,2,4.0,49,0.7551,0.6191,0.854,0.7755,0.9796,0.2245,9.852,6.0816,0.0,0.835
docstring_quotes,nat,alt,4,0.5,49,0.1633,0.0851,0.2904,0.1633,1.0,0.102,-1.6505,6.0816,0.0,0.835
docstring_quotes,nat,alt,4,1.0,49,0.8571,0.7333,0.929,0.8571,1.0,0.1429,8.4643,6.0816,0.0,0.835
docstring_quotes,nat,alt,4,2.0,49,0.8367,0.7096,0.9149,0.8571,0.9796,0.1429,9.8329,6.0816,0.0,0.835
docstring_quotes,nat,alt,4,4.0,49,0.5714,0.4327,0.6998,0.5714,0.9592,0.4286,7.7704,6.0816,0.0,0.835
docstring_quotes,nat,alt,6,0.5,49,0.2041,0.1148,0.3364,0.2245,0.9796,0.0816,-1.4541,6.0816,0.0,0.835
docstring_quotes,nat,alt,6,1.0,49,0.898,0.7824,0.9556,0.898,1.0,0.102,8.5421,6.0816,0.0,0.835
docstring_quotes,nat,alt,6,2.0,49,0.898,0.7824,0.9556,0.9184,0.9796,0.0816,10.0434,6.0816,0.0,0.835
docstring_quotes,nat,alt,6,4.0,49,0.8367,0.7096,0.9149,0.8367,1.0,0.1633,10.2181,6.0816,0.0,0.835
docstring_quotes,nat,alt,8,0.5,49,0.2857,0.1785,0.4241,0.2857,0.9388,0.1633,-0.9592,6.0816,0.0,0.835
docstring_quotes,nat,alt,8,1.0,49,0.8571,0.7333,0.929,0.8571,1.0,0.1429,7.6671,6.0816,0.0,0.835
docstring_quotes,nat,alt,8,2.0,49,0.898,0.7824,0.9556,0.898,1.0,0.102,9.9133,6.0816,0.0,0.835
docstring_quotes,nat,alt,8,4.0,49,0.8776,0.7576,0.9427,0.8776,1.0,0.1224,9.8418,6.0816,0.0,0.835
docstring_quotes,nat,alt,10,0.5,49,0.2041,0.1148,0.3364,0.2041,1.0,0.2041,-0.9821,6.0816,0.0,0.835
docstring_quotes,nat,alt,10,1.0,49,0.9184,0.8081,0.9678,0.9184,1.0,0.0816,7.6314,6.0816,0.0,0.835
docstring_quotes,nat,alt,10,2.0,49,0.9184,0.8081,0.9678,0.9388,0.9796,0.0612,9.9184,6.0816,0.0,0.835
docstring_quotes,nat,alt,10,4.0,49,0.8571,0.7333,0.929,0.898,0.9592,0.102,9.8839,6.0816,0.0,0.835
docstring_quotes,nat,alt,12,0.5,49,0.2449,0.146,0.3809,0.2449,0.9388,0.1429,-0.8776,6.0816,0.0,0.835
