layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
0,0.88939,0.25965,3.31938,0.93139,0.28093,3.38626,0.96122,0.29996,3.39498,0.96854,0.31689,3.42857,0.99441,0.33032,3.45932,1.00891,0.34384,3.47614,1.01343,0.35353,3.48031,1.02351,0.35754,3.49060,1.02372,0.35983,3.49446,1.03450,0.36161,3.48788,1.02644,0.36343
1,1.41315,0.54989,5.03656,1.53139,0.68102,5.15689,1.56292,0.71986,5.18854,1.55586,0.73644,5.23390,1.57173,0.74299,5.26649,1.57410,0.74686,5.27695,1.56210,0.74603,5.27902,1.56607,0.74189,5.28606,1.55887,0.73665,5.28757,1.56721,0.73580,5.27850,1.55666,0.73498
2,2.13724,0.82597,6.46904,2.12331,1.02352,6.54526,2.18147,1.16583,6.59643,2.17200,1.23568,6.64746,2.18356,1.26991,6.68908,2.18004,1.29356,6.68917,2.15542,1.29805,6.67584,2.14879,1.29516,6.67899,2.13420,1.29377,6.67115,2.14832,1.29702,6.66376,2.13230,1.29688
3,2.60818,1.19318,7.98302,2.69177,1.74849,8.44901,2.81341,1.94142,8.62819,2.81425,1.98328,8.69475,2.81547,1.97063,8.72441,2.79975,1.94663,8.69970,2.76161,1.91340,8.68402,2.74432,1.88244,8.67787,2.72827,1.86064,8.66171,2.73647,1.84543,8.64388,2.70567,1.82754
4,3.30710,1.80199,9.83595,3.53899,2.95398,11.16288,3.73363,3.25615,11.46867,3.77651,3.27613,11.60521,3.80145,3.27724,11.68973,3.80196,3.26535,11.72540,3.78399,3.24823,11.77320,3.77355,3.22915,11.79259,3.76667,3.21781,11.81636,3.78136,3.20125,11.82532,3.75282,3.17723
5,3.67779,2.24907,12.07000,4.07634,4.30433,13.76872,4.43824,4.57477,14.18428,4.56797,4.51679,14.38717,4.65840,4.48820,14.49034,4.68071,4.44709,14.51439,4.66696,4.41256,14.56456,4.66304,4.37216,14.57092,4.65742,4.34446,14.58038,4.67165,4.31421,14.57926,4.63775,4.27575
6,4.13420,2.45303,14.21297,4.77857,4.54755,17.24888,5.38821,5.46442,18.34372,5.56474,5.61482,18.79362,5.65365,5.68196,19.03403,5.68286,5.70262,19.08409,5.65639,5.70082,19.13679,5.63320,5.68480,19.18533,5.61220,5.66517,19.15401,5.61504,5.64415,19.13013,5.57696,5.62393
7,4.22756,2.62159,16.28762,5.12222,5.15091,20.04418,5.66262,5.90440,21.36820,5.73725,5.98377,21.83184,5.81176,5.87727,22.09996,5.81229,5.76440,22.16130,5.78675,5.66789,22.20052,5.76030,5.59090,22.26160,5.74192,5.54433,22.19962,5.73661,5.49420,22.12059,5.69405,5.44364
8,4.58147,3.02691,18.16465,5.55106,5.88144,22.19809,6.30377,6.78691,23.50448,6.43938,6.66885,23.72960,6.51339,6.49933,23.81041,6.48069,6.36599,23.75020,6.44462,6.27519,23.66088,6.40344,6.19590,23.60384,6.37420,6.13231,23.48191,6.37026,6.06020,23.35371,6.32656,5.99306
9,5.00002,3.75918,20.11900,6.16128,7.19045,24.58456,7.05166,8.25977,25.88063,7.16331,8.17273,26.05650,7.23293,7.97532,26.04306,7.21257,7.79334,25.87632,7.18375,7.64736,25.70385,7.15311,7.51946,25.56775,7.12555,7.41502,25.39776,7.12950,7.31070,25.21484,7.08954,7.21338
10,5.21262,3.92508,21.44258,6.42333,7.55084,26.25577,7.47300,8.25582,27.29467,7.53167,8.23073,27.19522,7.56267,8.15437,26.99812,7.51355,8.06936,26.71449,7.45611,7.96474,26.46987,7.40777,7.86369,26.28411,7.37085,7.76515,26.06223,7.37538,7.65483,25.84118,7.32131,7.53512
11,5.59843,4.10171,23.01036,7.32469,8.35768,28.38574,8.53505,9.19852,28.99578,8.55639,9.03710,28.76901,8.59185,8.86560,28.58346,8.54623,8.73272,28.31069,8.47720,8.58211,28.08815,8.41894,8.46326,27.92695,8.36595,8.35387,27.72294,8.36267,8.23602,27.51041,8.28729,8.12827
12,5.59788,4.29598,24.26661,7.74890,8.98310,29.79295,8.73794,9.48321,30.08268,8.70560,9.09444,29.82791,8.73507,8.83931,29.64878,8.67079,8.66490,29.38036,8.57349,8.47857,29.14672,8.51246,8.33604,28.97873,8.43266,8.21437,28.75773,8.42442,8.09667,28.50862,8.34634,7.99526
13,6.36622,5.27897,26.24687,8.83131,10.55252,31.70334,9.65282,11.17174,31.80234,9.58474,10.90700,31.46611,9.63752,10.72421,31.23367,9.58470,10.60750,30.92998,9.49779,10.46335,30.67815,9.44261,10.34749,30.50756,9.37783,10.23745,30.26382,9.36636,10.12105,29.99923,9.29044,10.03946
14,6.67039,5.46624,27.11135,9.31380,10.70194,32.21277,9.85047,11.27937,32.15678,9.72277,11.08945,31.76984,9.78027,10.91188,31.53815,9.73427,10.76968,31.20918,9.64240,10.61494,30.94763,9.58176,10.48505,30.75443,9.51546,10.36272,30.50172,9.49659,10.23942,30.22785,9.41368,10.14393
15,6.88848,6.20952,28.32211,10.35072,11.22633,33.25217,10.65275,11.82988,33.36735,10.57425,11.72272,33.16326,10.66500,11.56243,33.00971,10.62973,11.40566,32.72283,10.54033,11.22931,32.47377,10.47408,11.08158,32.28345,10.41114,10.94441,32.02883,10.38429,10.80329,31.74637,10.29549,10.68759
16,7.39673,6.89647,29.95259,10.78160,12.41070,34.52839,11.12743,13.04318,34.56247,11.01690,12.94173,34.28788,11.08012,12.77228,34.06424,11.02647,12.58956,33.72808,10.92861,12.39713,33.44198,10.85685,12.23430,33.23450,10.79045,12.07879,32.95628,10.77103,11.91826,32.64943,10.68227,11.79744
17,7.61052,7.58994,31.73871,11.51048,13.89861,36.46265,11.74946,14.42430,36.70730,11.67320,14.27596,36.50320,11.77022,14.06623,36.27769,11.73751,13.83366,35.91619,11.65035,13.58946,35.58577,11.58398,13.38902,35.34859,11.50787,13.20259,35.03692,11.48766,13.02116,34.68348,11.39515,12.88148
18,7.66713,7.76627,32.46979,11.71005,14.47907,37.10549,11.88279,14.95323,37.35435,11.81917,14.81678,37.15945,11.90702,14.61207,36.94678,11.86431,14.36980,36.58103,11.77731,14.12250,36.26027,11.71176,13.92774,36.03281,11.62722,13.74732,35.71812,11.61216,13.56885,35.37461,11.50868,13.43338
19,8.07323,8.40145,34.00969,12.54268,15.40794,38.67672,12.60186,15.89487,38.87075,12.49478,15.83036,38.65244,12.54432,15.66516,38.39516,12.47890,15.42913,37.96619,12.36506,15.17676,37.59989,12.28173,14.97607,37.34311,12.17546,14.78364,36.98922,12.15181,14.59820,36.61317,12.04095,14.45454
20,8.20401,8.93367,34.83715,13.01978,16.32876,40.07708,13.28642,17.04109,40.43107,13.18598,17.07228,40.19062,13.22829,16.93331,39.91268,13.15681,16.69848,39.43839,13.03472,16.45294,39.04912,12.95058,16.25293,38.77486,12.83216,16.04535,38.41924,12.79946,15.84845,38.06684,12.68201,15.69866
21,8.19613,8.93970,35.19909,13.08159,16.37129,40.36875,13.28607,17.04490,40.62761,13.17464,17.10472,40.35257,13.20704,16.97232,40.05739,13.12898,16.72915,39.55237,13.00218,16.48148,39.14468,12.90484,16.26028,38.85664,12.78133,16.04646,38.48839,12.75018,15.84297,38.14607,12.63441,15.68092
22,8.21906,8.88665,35.29771,13.05478,16.36763,40.31520,13.26557,17.12091,40.54372,13.15051,17.20416,40.26957,13.17790,17.08774,39.96195,13.09195,16.84519,39.42439,12.97202,16.60461,39.00483,12.86392,16.38044,38.69232,12.74448,16.16527,38.31379,12.70586,15.95927,37.96096,12.59313,15.79613
23,8.65326,9.38855,35.85673,13.72171,16.89794,40.97974,13.87843,17.79172,41.27099,13.74268,17.90811,41.00341,13.75571,17.79510,40.68284,13.66393,17.54991,40.13020,13.53030,17.31538,39.70178,13.41438,17.09522,39.36673,13.29375,16.88248,38.98287,13.25169,16.68035,38.62150,13.13872,16.52316
24,9.03955,9.88038,36.36957,14.44097,18.01794,41.84266,14.62792,18.94668,42.18624,14.52917,19.10417,41.94631,14.57973,19.00916,41.65201,14.54340,18.77353,41.12755,14.44706,18.53914,40.73718,14.36673,18.31963,40.42931,14.26179,18.10842,40.06280,14.23104,17.90095,39.73299,14.11559,17.74483
25,8.57045,9.46828,35.47002,14.12738,17.71530,41.07084,14.40419,18.66380,41.47200,14.31303,18.79771,41.27746,14.37080,18.69239,41.00222,14.34611,18.45434,40.51141,14.25346,18.22314,40.13334,14.16926,17.99865,39.82274,14.06704,17.79014,39.45058,14.03874,17.57431,39.12805,13.92445,17.43138
26,7.64804,8.65666,33.33596,13.04331,16.53294,38.99306,13.32006,17.51653,39.37393,13.25208,17.66331,39.17078,13.31397,17.57265,38.89426,13.28915,17.33570,38.40593,13.19285,17.10618,38.02605,13.11491,16.87767,37.72465,13.00877,16.66256,37.36015,12.97859,16.45226,37.04960,12.87110,16.31038
27,6.32284,6.15569,30.33039,11.10141,13.08190,36.20666,11.41352,14.08670,36.67067,11.37163,14.37075,36.54845,11.44242,14.37868,36.32632,11.41065,14.21123,35.89447,11.31180,14.03318,35.55523,11.24755,13.83195,35.28020,11.13246,13.64589,34.94065,11.10619,13.47620,34.64645,11.00068,13.35209
