icl_example_index,token_role,k,activation_k,fv_k,feature_dim,target_dim,layer,train_sample_count,test_sample_count,pca_train_mse,pca_test_mse,fv_train_mse,fv_test_mse,fv_recon_floor_test_mse
1,pre_label_token,1,1,1,1,1,11,2600,1170,164.29664611816406,127.24484252929688,0.17994122207164764,0.19752617180347443,0.16646045446395874
1,pre_label_token,2,2,2,2,2,11,2600,1170,112.96415710449219,89.2855453491211,0.16074076294898987,0.18899522721767426,0.14539842307567596
1,pre_label_token,4,4,4,4,4,11,2600,1170,76.62073516845703,63.98957824707031,0.14549104869365692,0.1903786063194275,0.12788845598697662
1,pre_label_token,8,8,8,8,8,11,2600,1170,40.65346145629883,39.799652099609375,0.10689377784729004,0.19385579228401184,0.11612202972173691
1,pre_label_token,16,16,16,16,16,11,2600,1170,21.369043350219727,24.190786361694336,0.08482597023248672,0.1948072910308838,0.10031197965145111
1,pre_label_token,32,32,16,32,16,11,2600,1170,18.213382720947266,26.95743179321289,0.07249919325113297,0.20561446249485016,0.10031197965145111
1,pre_label_token,64,64,16,64,16,11,2600,1170,16.189186096191406,27.61777114868164,0.06459221988916397,0.20819392800331116,0.10031197965145111
1,pre_label_token,128,128,16,128,16,11,2600,1170,14.153096199035645,28.837175369262695,0.05663871020078659,0.2129572182893753,0.10031197965145111
1,pre_label_token,256,256,16,256,16,11,2600,1170,11.82019329071045,30.28375816345215,0.04752577468752861,0.21860791742801666,0.10031197965145111
1,pre_label_token,512,512,16,512,16,11,2600,1170,9.554815292358398,32.69054412841797,0.03867664933204651,0.22800947725772858,0.10031197965145111
1,pre_label_token,1024,1024,16,1024,16,11,2600,1170,6.157681941986084,36.4288444519043,0.025406599044799805,0.24261216819286346,0.10031197965145111
1,first_label_token,1,1,1,1,1,11,2600,1170,229.97308349609375,146.57217407226562,0.19597545266151428,0.20224465429782867,0.16646045446395874
1,first_label_token,2,2,2,2,2,11,2600,1170,119.93839263916016,67.50121307373047,0.16414615511894226,0.17835836112499237,0.14539842307567596
1,first_label_token,4,4,4,4,4,11,2600,1170,48.719181060791016,39.22400665283203,0.11824339628219604,0.1661936193704605,0.12788845598697662
