property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_coherentonly,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_coherentonly,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,16,6,32.0,32.0,0.005,0.191,0.88,0.016,0.99,0.0,0.447,0.832,0.873,0.462,199,0.047,0.95,0.984,0.984,0.035,199,0.0,0.01,0.377
ampersand,20,20,16.0,32.0,0.0,0.0,0.12,0.761,0.325,0.667,0.972,1.0,1.0,0.028,144,0.0,0.993,1.0,1.0,0.007,144,0.0,0.0,0.326
contractions,24,16,32.0,32.0,0.046,0.029,0.12,0.78,0.16,0.83,0.471,0.474,0.953,0.006,174,0.503,0.121,0.124,0.778,0.023,174,0.841,0.08,0.069
curly_quotes,20,24,32.0,32.0,0.0,0.108,0.306,0.674,0.312,0.684,0.06,0.061,0.588,0.024,167,0.896,0.605,1.0,1.0,0.395,167,0.0,0.006,0.072
double_space,10,6,32.0,8.0,0.0,0.91,0.655,0.196,0.715,0.278,0.905,0.923,1.0,0.02,200,0.077,0.925,0.93,1.0,0.005,200,0.07,0.0,0.9
em_dash,20,20,32.0,32.0,0.0,0.0,0.433,0.536,0.433,0.527,1.0,1.0,1.0,0.0,99,0.0,1.0,1.0,1.0,0.0,99,0.0,0.01,0.03
num_words,20,20,16.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.951,0.951,1.0,0.0,81,0.049,0.642,0.642,1.0,0.0,81,0.358,0.074,0.148
ordinal_words,24,16,16.0,16.0,0.05,0.005,0.169,0.831,0.169,0.759,0.915,0.924,1.0,0.01,200,0.076,0.085,0.087,0.63,0.025,200,0.862,0.115,0.01
oxford_comma,16,12,16.0,8.0,0.0,0.254,0.5,0.455,0.591,0.364,0.985,1.0,1.0,0.015,67,0.0,0.448,0.448,0.938,0.0,67,0.522,0.134,0.478
percent_sign,8,8,32.0,32.0,0.01,0.048,0.695,0.288,0.831,0.169,0.942,0.942,1.0,0.0,104,0.058,0.981,0.99,1.0,0.01,104,0.01,0.077,0.433
quote_punct,16,24,32.0,8.0,0.024,0.792,0.744,0.053,0.917,0.035,0.992,1.0,1.0,0.008,125,0.0,0.92,0.935,0.975,0.016,125,0.041,0.016,0.888
sentence_caps,10,2,32.0,32.0,0.145,0.845,0.695,0.03,0.96,0.03,0.89,1.0,1.0,0.11,200,0.0,0.935,0.94,1.0,0.005,200,0.06,0.0,0.845
us_uk,24,24,16.0,32.0,0.034,0.027,0.15,0.833,0.233,0.767,0.664,0.669,0.96,0.007,146,0.303,0.726,0.774,0.981,0.062,146,0.212,0.017,0.217
