task,n_shots,arm,correct,copy_query,copy_demo_target,copy_demo_input,in_pool_wrong,input_variant,other
first_three_letters,6,cf,57,4,1,0,9,21,58
french-english,6,own,80,4,0,0,3,3,60
french-english,6,cf,85,4,0,0,5,3,53
french_noun_gender,6,own,17,0,7,2,0,0,124
french_noun_gender,6,cf,85,0,45,0,0,0,20
german-english,6,own,79,4,0,0,7,4,56
german-english,6,cf,96,1,0,0,9,0,44
german_noun_gender,6,own,8,4,29,1,0,4,104
german_noun_gender,6,cf,65,1,60,0,3,1,20
gerund_to_base,6,own,42,45,0,0,3,12,48
gerund_to_base,6,cf,106,3,0,0,4,13,24
gerund_to_past,6,own,3,28,0,0,1,69,49
gerund_to_past,6,cf,92,29,0,0,0,10,19
hypernym_category,6,own,1,24,0,0,0,15,110
hypernym_category,6,cf,59,0,1,0,2,1,87
initials_two_words,6,own,1,0,1,0,1,16,131
initials_two_words,6,cf,90,0,2,0,29,0,29
iso_date_to_month,6,own,53,0,4,0,3,1,89
iso_date_to_month,6,cf,145,0,2,0,0,0,3
iso_date_year_plus_one,6,own,9,2,1,0,83,14,41
iso_date_year_plus_one,6,cf,131,0,0,0,11,2,6
landmark-country,6,own,2,5,0,0,2,27,114
landmark-country,6,cf,75,0,8,0,39,1,27
language_identification,6,own,0,5,3,0,0,5,137
language_identification,6,cf,111,0,24,0,1,0,14
larger_of_pair,6,own,67,1,4,0,26,1,51
larger_of_pair,6,cf,85,0,0,0,23,0,42
larger_than_1000,6,own,48,0,32,0,0,0,70
larger_than_1000,6,cf,72,0,64,0,0,0,14
lowercase_first_letter,6,own,2,17,6,0,0,14,111
lowercase_first_letter,6,cf,99,1,7,0,32,0,11
lowercase_word,6,own,120,0,0,0,2,6,22
lowercase_word,6,cf,144,0,0,0,1,4,1
national_parks,6,own,0,0,5,0,3,30,112
national_parks,6,cf,83,0,13,0,43,0,11
natural_manmade,6,own,28,2,23,3,0,1,93
natural_manmade,6,cf,97,2,23,0,0,3,25
next_item,6,own,10,24,11,3,35,0,67
next_item,6,cf,75,8,4,1,28,2,32
next_month_of_date,6,own,6,0,34,0,24,10,76
next_month_of_date,6,cf,77,0,30,0,37,0,6
next_number_digits,6,own,11,76,4,4,26,0,29
next_number_digits,6,cf,132,1,1,0,6,0,10
number_word_to_digits,6,own,67,0,0,0,18,2,63
number_word_to_digits,6,cf,110,0,0,0,7,0,33
park-country,6,own,1,1,5,0,3,16,124
park-country,6,cf,76,0,6,0,48,0,20
past_to_base,6,own,35,49,0,0,3,17,46
past_to_base,6,cf,114,9,0,0,3,12,12
person-instrument,6,own,9,0,25,0,0,0,116
person-instrument,6,cf,39,0,46,0,5,0,60
person-sport,6,own,3,0,2,0,0,3,142
person-sport,6,cf,101,0,20,0,5,0,24
person_place_thing,6,own,7,7,5,4,0,4,123
person_place_thing,6,cf,90,0,22,0,0,1,37
plural_to_singular,6,own,32,56,0,0,0,14,48
plural_to_singular,6,cf,120,13,0,0,2,7,8
pos_label,6,own,5,1,13,1,0,3,127
