layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-2.832196,-0.930928,-2.832196,0.178653,0.000000,-0.930928,0.178949,-0.000000,-0.250000
1,-2.832196,-0.930928,-2.814450,0.178887,0.017746,-0.923531,0.178939,0.007397,0.416805
2,-2.832196,-0.930928,-2.741696,0.177785,0.090500,-0.880252,0.178446,0.050676,0.559950
3,-2.832196,-0.930928,-2.735299,0.178113,0.096897,-0.888989,0.178361,0.041939,0.432822
4,-2.832196,-0.930928,-2.319719,0.184327,0.512478,-0.716031,0.177988,0.214897,0.419329
5,-2.832196,-0.930928,0.216401,0.184781,3.048597,0.264173,0.169095,1.195101,0.392017
6,-2.832196,-0.930928,0.015625,0.185644,2.847821,0.142522,0.169567,1.073450,0.376937
7,-2.832196,-0.930928,0.644195,0.183433,3.476391,0.301032,0.165556,1.231960,0.354379
8,-2.832196,-0.930928,2.126102,0.186237,4.958298,0.951944,0.167409,1.882872,0.379742
9,-2.832196,-0.930928,0.867768,0.179213,3.699964,0.477592,0.164253,1.408520,0.380685
10,-2.832196,-0.930928,0.297482,0.189720,3.129678,0.175669,0.172370,1.106597,0.353582
11,-2.832196,-0.930928,0.375772,0.193781,3.207968,0.109296,0.173955,1.040224,0.324263
12,-2.832196,-0.930928,-1.202129,0.190861,1.630068,-0.229492,0.175530,0.701436,0.430311
13,-2.832196,-0.930928,-1.709097,0.186121,1.123100,-0.321421,0.176335,0.609507,0.542701
14,-2.832196,-0.930928,-2.258314,0.173635,0.573882,-0.742834,0.171196,0.188094,0.327757
15,-2.832196,-0.930928,-2.194184,0.174913,0.638012,-0.675319,0.171386,0.255609,0.400633
16,-2.832196,-0.930928,-2.747621,0.177446,0.084575,-0.822846,0.177586,0.108082,1.277940
17,-2.832196,-0.930928,-2.787565,0.177753,0.044632,-0.898081,0.178049,0.032847,0.735954
18,-2.832196,-0.930928,-2.799930,0.178222,0.032266,-0.903987,0.178602,0.026941,0.834968
19,-2.832196,-0.930928,-2.810356,0.178476,0.021841,-0.913317,0.178881,0.017611,0.806343
20,-2.832196,-0.930928,-2.824420,0.178712,0.007776,-0.923874,0.178963,0.007054,0.907081
21,-2.832196,-0.930928,-2.833753,0.178819,-0.001557,-0.930169,0.179084,0.000759,-0.487292
22,-2.832196,-0.930928,-2.833268,0.178785,-0.001072,-0.930651,0.179094,0.000277,-0.258462
23,-2.832196,-0.930928,-2.831325,0.178749,0.000871,-0.929199,0.179056,0.001729,1.984782
24,-2.832196,-0.930928,-2.831451,0.178673,0.000746,-0.929846,0.178996,0.001082,1.451269
25,-2.832196,-0.930928,-2.832097,0.178701,0.000099,-0.929971,0.179004,0.000957,9.664085
26,-2.832196,-0.930928,-2.831850,0.178635,0.000346,-0.930618,0.178948,0.000310,0.895153
27,-2.832196,-0.930928,-2.832048,0.178638,0.000148,-0.930638,0.178942,0.000290,1.955173
28,-2.832196,-0.930928,-2.832196,0.178653,0.000000,-0.930928,0.178949,-0.000000,-0.250000
