layer,clean_mean,ablate_mean,steer_mean,steer_sem,steer_gain,steer_ablate_mean,steer_ablate_sem,steer_ablate_gain,retention
0,-2.832196,-3.714527,-2.832196,0.178653,0.000000,-3.714527,0.157508,0.000000,4.000000
1,-2.832196,-3.714527,-2.826050,0.178784,0.006146,-3.714771,0.157481,-0.000244,-0.039704
2,-2.832196,-3.714527,-2.791801,0.178651,0.040395,-3.692116,0.157253,0.022412,0.554805
3,-2.832196,-3.714527,-2.770636,0.178819,0.061560,-3.675435,0.157320,0.039092,0.635030
4,-2.832196,-3.714527,-2.659939,0.180753,0.172258,-3.641984,0.157464,0.072543,0.421130
5,-2.832196,-3.714527,-1.667936,0.188775,1.164260,-3.295159,0.156296,0.419368,0.360201
6,-2.832196,-3.714527,-1.696817,0.187661,1.135379,-3.273777,0.155998,0.440750,0.388196
7,-2.832196,-3.714527,-1.543081,0.187197,1.289115,-3.195906,0.155377,0.518621,0.402308
8,-2.832196,-3.714527,-0.759733,0.194534,2.072464,-3.065661,0.155913,0.648866,0.313089
9,-2.832196,-3.714527,-1.508499,0.188550,1.323698,-3.166986,0.156903,0.547542,0.413646
10,-2.832196,-3.714527,-1.666662,0.193248,1.165534,-3.348290,0.158605,0.366237,0.314223
11,-2.832196,-3.714527,-1.613011,0.194348,1.219186,-3.329854,0.158181,0.384673,0.315517
12,-2.832196,-3.714527,-2.069343,0.189630,0.762854,-3.443109,0.158414,0.271418,0.355794
13,-2.832196,-3.714527,-2.536139,0.183086,0.296057,-3.573147,0.158057,0.141381,0.477546
14,-2.832196,-3.714527,-2.718598,0.179678,0.113598,-3.648035,0.157793,0.066492,0.585328
15,-2.832196,-3.714527,-2.697899,0.179773,0.134297,-3.635102,0.157700,0.079425,0.591412
16,-2.832196,-3.714527,-2.815093,0.178839,0.017103,-3.699898,0.157512,0.014629,0.855329
17,-2.832196,-3.714527,-2.824087,0.178913,0.008109,-3.707589,0.157652,0.006938,0.855584
18,-2.832196,-3.714527,-2.828303,0.179075,0.003893,-3.713801,0.157842,0.000726,0.186466
19,-2.832196,-3.714527,-2.830118,0.179080,0.002079,-3.715787,0.157821,-0.001260,-0.606292
20,-2.832196,-3.714527,-2.833354,0.178867,-0.001158,-3.717608,0.157717,-0.003081,2.660939
21,-2.832196,-3.714527,-2.835314,0.178863,-0.003118,-3.718948,0.157712,-0.004421,1.417968
22,-2.832196,-3.714527,-2.834463,0.178846,-0.002267,-3.718631,0.157692,-0.004104,1.810747
23,-2.832196,-3.714527,-2.833737,0.178800,-0.001541,-3.717305,0.157623,-0.002778,1.802961
24,-2.832196,-3.714527,-2.833777,0.178776,-0.001580,-3.717133,0.157606,-0.002606,1.649231
25,-2.832196,-3.714527,-2.833843,0.178771,-0.001646,-3.717269,0.157599,-0.002742,1.665294
26,-2.832196,-3.714527,-2.832417,0.178676,-0.000221,-3.715075,0.157530,-0.000548,2.477434
27,-2.832196,-3.714527,-2.832553,0.178666,-0.000356,-3.714642,0.157494,-0.000115,0.323808
28,-2.832196,-3.714527,-2.832196,0.178653,0.000000,-3.714527,0.157508,0.000000,4.000000
