protocol,setting,family,cos_diff,r2_diff,norm_ratio,cos_centroid_nat,r2_within_fam
lofo,lofo|us_uk,us_uk,0.7673122809785896,0.1293354663472458,1.4451269091722683,0.6305153813715423,-0.003347308102816582
lofo,lofo|ise_ize,ise_ize,0.6853460342950561,0.356020203861001,1.0225091741294194,0.4612839800921551,0.004217965300735926
lofo,lofo|contractions,contractions,0.19822440385973664,-0.9069404129332805,1.1709696568519214,0.28322166817795075,0.005803668428044251
lofo,lofo|num_words,num_words,0.6567820455419654,-0.9961764286741703,1.85157871611837,0.549799586087937,0.005444551307511203
lofo,lofo|ordinal_words,ordinal_words,0.4675983700043565,0.21524560311033658,0.5259304582611208,0.5039640708187922,0.02576254220541807
lofo,lofo|uk_vocab,uk_vocab,0.5093244866351561,0.24942931702008253,0.609235024948613,0.6335029175891063,-0.001528736814293996
lofo,lofo|unit_abbr,unit_abbr,0.2573103307610364,-0.13660887164132385,0.7076629458946431,0.18565544098909936,-0.004437300355628171
lofo,lofo|title_abbr,title_abbr,0.2391240809638426,-1.8165673452000908,1.607973112558231,0.2646099491200882,-0.009787969327883506
lofo,lofo|zh_simp_trad,zh_simp_trad,0.23666656177722292,0.0031683920101356344,0.4665418963682062,0.16777387692090004,0.0019243767759720143
lofo,lofo|pt_acordo_eu,pt_acordo_eu,0.6306546034491658,-0.3986315594878169,1.5230428532258267,0.7838579159512329,-0.004892617718978087
lofo,lofo|pt_br_eu,pt_br_eu,0.4656299425064205,0.21411007877118293,0.5176026717723593,0.7286436346539672,-0.010925244022888192
lofo,lofo|es_rae2010,es_rae2010,0.1644354519085527,-4.812413338937456,2.3643109840198187,0.464441140153114,-0.002303716666319122
fixed,fixed,num_words,0.6382009171368364,0.36186019966526906,0.8513680134932718,0.518284129200733,0.006683088907619705
fixed,fixed,pt_acordo_eu,0.4433901690838953,0.10336763227712864,0.748721480552476,0.7404290559852261,-6.495290561825406e-05
fixed,fixed,title_abbr,0.24165999586987658,-0.30876574156713166,0.8476016557439627,0.23541272066403995,-0.0019346474508104006
fixed,fixed,uk_vocab,0.4197740270686113,0.1707583525886286,0.3459371716861396,0.5660183593805284,0.0020018182401142504
