protocol,family,axis,axis_mates_in_train,cos_centroid_mean,cos_diff_mean,cv_r2,lam,r2_centroid_trainmean,r2_diff,r2_testmean,r2_trainmean,r2_within,read_layer,setting,shuffled_cos_diff,shuffled_r2_trainmean,write_layer
lofo,us_uk,british,2,0.5051444730802624,0.43579521395171333,0.027378472587375587,100.0,0.20995145572247942,-0.08422805470292194,-0.1534710895304754,0.03125119570063717,-0.0030878797418334436,0,lofo|us_uk,-0.010861508805205028,0.00025447910497911064,24
lofo,ise_ize,british,2,0.20531344840018728,0.5007618926021752,0.030867691856002643,100.0,0.04164646525262139,0.250696028745265,-0.3712127443138986,0.009548891793957015,-0.002325238954711706,0,lofo|ise_ize,-0.04787289015503367,-0.00018959178788247044,24
lofo,contractions,-,0,-0.013242877228989347,-0.0033840740478663263,0.03434967395352281,100.0,-0.03196739544719951,-0.37508291437026564,-0.37395648839892237,-0.009263582209945387,-0.00239410889564895,0,lofo|contractions,0.03815420988197653,-0.0022090182117444623,24
lofo,num_words,digits,2,0.441088994495482,0.42859106601205793,0.018663495539375848,100.0,0.18796034742530432,-1.898306765165934,-0.33736882161612214,0.054926895461562375,-0.009855870469477557,0,lofo|num_words,0.10507555652494566,-0.0004112701556857612,24
lofo,ordinal_words,digits,2,0.4285526810419353,0.4749457934611875,0.019820694844479982,100.0,0.16979670256749857,0.21818755356860664,-0.6913908089557301,0.08152599104336777,0.009630950265442473,0,lofo|ordinal_words,-0.053885272544880264,-0.0011502587593952285,24
lofo,uk_vocab,british,2,0.3576575673563426,0.28745546563784574,0.027862685690170128,100.0,0.09775002997058913,0.08263030909445723,-0.26230902037343906,0.020040790100163353,-0.0024187964441344523,0,lofo|uk_vocab,0.012804578030353366,0.00028700325070885047,24
lofo,unit_abbr,digits,2,0.08569614660879525,0.13990442376305326,0.03361377303018844,100.0,-0.0002385492276277823,-0.04308361854698339,-0.9432727481354706,-0.0018755406240995587,-0.00416092605738938,0,lofo|unit_abbr,0.04228645044358618,-0.0010747132657435987,24
lofo,title_abbr,-,0,0.07839600495743192,0.10230190334434941,0.033505795122498246,100.0,-0.010675262850257772,-0.744327520888675,-0.4394026198844023,-0.0038715836193303765,-0.003388417460191473,0,lofo|title_abbr,-0.06688866292143943,-0.0015151083042999058,24
lofo,zh_simp_trad,chinese,0,0.037628132734817854,0.24095835402789406,0.03575966035702751,100.0,-0.002279298380941208,0.03916879597231737,-0.36035839900117983,-0.0007460734895339272,0.0008335155958800744,0,lofo|zh_simp_trad,0.05156748759686501,3.678085682956578e-05,24
lofo,pt_acordo_eu,portuguese,1,0.7286304377668943,0.17983716306331357,0.0195607396126222,100.0,0.3147546323626611,-0.0007041942887699992,-0.24289655020532464,0.08020362884256516,-0.0025253103923521536,0,lofo|pt_acordo_eu,-0.019101951054118993,0.0005485040987935896,24
lofo,pt_br_eu,portuguese,1,0.6951227262629942,0.07060907163750137,0.01814337258605275,100.0,0.3114785925811937,-0.0178285661534745,-0.19880365856768045,0.07045210791707912,-0.0019395770315853156,0,lofo|pt_br_eu,-0.005997045570997912,-0.0022367565348819785,24
lofo,es_rae2010,-,0,0.3127650154408357,-0.03466418149694528,0.027426169265019954,100.0,0.09807068723605594,-2.351936320808986,-0.501624122300979,0.03296236825631893,-0.005123236119591867,0,lofo|es_rae2010,-0.017226159256340547,-0.0005987556114026571,24
fixed,ALL,-,-1,0.35395995352630033,0.2656451016643663,0.003854014007791867,100.0,0.1215948642740512,-0.4840915738042326,-0.037887176773255815,0.031084582112373527,-0.0031574022412315106,0,fixed,-0.034400006446298134,-0.0016446104914222825,24
