protocol,family,axis,axis_mates_in_train,cos_centroid_mean,cos_diff_mean,cv_r2,lam,r2_centroid_trainmean,r2_diff,r2_testmean,r2_trainmean,r2_within,read_layer,setting,shuffled_cos_diff,shuffled_r2_trainmean,write_layer
lofo,us_uk,british,2,0.6221095562217414,0.7673122809785896,0.06213897457927637,10.0,0.3834862343819053,0.1293354663472458,-0.12067663992396782,0.05879378790976819,-0.003347308102816582,12,lofo|us_uk,-0.0031936779590033865,-0.016940832796299654,24
lofo,ise_ize,british,2,0.45922778780996554,0.6853460342950561,0.06391217632638398,10.0,0.21027855248637317,0.356020203861001,-0.2997009922404126,0.06120308942641861,0.004217965300735926,12,lofo|ise_ize,-0.07231905251915925,-0.016385257018868504,24
lofo,contractions,-,0,0.3020172287094375,0.19822440385973664,0.06492892940098625,10.0,0.08375357393667116,-0.9069404129332805,-0.3214248842921361,0.02932441922074913,0.005803668428044251,12,lofo|contractions,-0.02396046503048912,0.005580779731134022,24
lofo,num_words,digits,2,0.49375894747125326,0.6567820455419654,0.04907150761068005,10.0,0.24376537714017965,-0.9961764286741703,-0.3027826031387655,0.07936780087398299,0.005444551307511203,12,lofo|num_words,0.10711493809261845,0.00023561037081953895,24
lofo,ordinal_words,digits,2,0.4531642654459007,0.4675983700043565,0.05416961096354896,10.0,0.20566885294981352,0.21524560311033658,-0.6431575641165928,0.1077180346076465,0.02576254220541807,12,lofo|ordinal_words,-0.04860350814218912,-0.03792153292634248,24
lofo,uk_vocab,british,2,0.6177456586654237,0.5093244866351561,0.05983150372251837,10.0,0.36992209591638603,0.24942931702008253,-0.1825139848612074,0.08198749149611995,-0.001528736814293996,12,lofo|uk_vocab,0.007802455506886996,-0.0034336061234416793,24
lofo,unit_abbr,digits,2,0.16132238702019572,0.2573103307610364,0.07152580425294361,10.0,-0.03016597268287513,-0.13660887164132385,-0.9705608374439019,-0.01594421382229827,-0.004437300355628171,12,lofo|unit_abbr,-0.059433657705671036,-0.02164614165470291,24
lofo,title_abbr,-,0,0.2410205382777818,0.2391240809638426,0.07099105504066115,10.0,0.02760734949054444,-1.8165673452000908,-0.42545648350717014,0.005854763836885435,-0.009787969327883506,12,lofo|title_abbr,0.004521074973765702,-0.005959868769340737,24
lofo,zh_simp_trad,chinese,0,0.16575265450552068,0.23666656177722292,0.06999095424332469,10.0,0.0042927201013419625,0.0031683920101356344,-0.3558493844511297,0.0025709778181088883,0.0019243767759720143,12,lofo|zh_simp_trad,0.07818872814181763,-0.011849196399002393,24
lofo,pt_acordo_eu,portuguese,1,0.795453816352143,0.6306546034491658,0.042880399086154465,10.0,0.6149294280033705,-0.3986315594878169,-0.13907379820635812,0.1570368862174062,-0.004892617718978087,12,lofo|pt_acordo_eu,0.024585460711643484,-0.0061502254839032044,24
lofo,pt_br_eu,portuguese,1,0.7516700583400922,0.4656299425064205,0.04416837295453546,10.0,0.5538841320438868,0.21411007877118293,-0.13749152293128697,0.11799330954137677,-0.010925244022888192,12,lofo|pt_br_eu,0.03891455929849593,-0.006152651274794918,24
lofo,es_rae2010,-,0,0.4788033638481498,0.1644354519085527,0.058352785843909696,10.0,0.22761577582314074,-4.812413338937456,-0.4249781904148793,0.08232192458812992,-0.002303716666319122,12,lofo|es_rae2010,-0.05587903951978267,-0.005105935106553883,24
fixed,ALL,-,-1,0.4966609123431347,0.43575627728980487,0.022778822720621095,100.0,0.2364327517177326,0.10907371428845336,-0.003165764211937594,0.06349861777479504,0.0014638814414402734,12,fixed,-0.010327741750410055,-0.0028413242163627395,24
