quantity,mean,lo,hi
baseline,0.6338,0.593,0.6746
uniq_own_mean,0.1676,0.1261,0.2142
uniq_own_zero,0.2026,0.1492,0.2605
uniq_cf_mean,0.6245,0.5835,0.6671
carrier_mean,0.6227,0.5798,0.6665
carrier_zero,0.1379,0.1014,0.1786
span2_own_mean,0.1432,0.106,0.1842
span2_cf_mean,0.6072,0.5662,0.6492
full_own_mean,0.2419,0.1975,0.2876
full_own_zero,0.0126,0.0048,0.0245
full_cf_mean,0.6163,0.5734,0.6575
full_cf_zero,0.4758,0.418,0.5336
full_baseline,0.6389,0.5995,0.6791
cos_uniq_own_cf,-0.0209,-0.0732,0.0319
cos_fv_carrier,0.6309,0.6122,0.65
uniq_share_fv_norm2,0.5954,0.5704,0.6196
meanabl_shift_ratio_full,0.4769,0.4537,0.5006
meanabl_shift_ratio_uniq,1.0679,0.9983,1.1509
drop_uniq_own_mean,0.4662,0.421,0.5135
drop_uniq_cf_mean,0.0093,-0.004,0.0225
drop_uniq_own_minus_cf_mean,0.4569,0.4109,0.5043
n_tasks_uniq_own_drop_gt_cf,69.0,,
n_tasks,69.0,,
