task,group,cf_task,baseline,uniq_own_mean,uniq_own_zero,uniq_cf_mean,carrier_mean,carrier_zero,span2_own_mean,span2_cf_mean,full_own_mean,full_own_zero,full_cf_mean,full_cf_zero,full_baseline,cos_uniq_own_cf,cos_fv_carrier,uniq_share_fv_norm2,meanabl_shift_ratio_full,meanabl_shift_ratio_uniq
adjective_to_adverb,train,french-english,0.7067,0.1333,0.1667,0.7867,0.7267,0.0,0.1,0.68,0.1333,0.0,0.7267,0.0667,0.72,0.1022,0.6327,0.5997,0.5032,1.041
adjective_to_noun,train,english-portuguese,0.3867,0.2667,0.2267,0.3867,0.3667,0.0067,0.1333,0.4,0.22,0.0,0.3867,0.2267,0.4,0.3295,0.7943,0.3692,0.3038,0.9603
ag_news,heldout,english-french,0.36,0.0067,0.0333,0.38,0.4,0.1267,0.0,0.3733,0.0333,0.0,0.36,0.3467,0.4133,-0.0809,0.4291,0.8159,0.6973,1.0973
agent_noun_to_verb,train,number_word_to_digits,0.6133,0.2667,0.3467,0.5267,0.5667,0.0333,0.18,0.56,0.2733,0.0,0.5533,0.3133,0.5867,0.2468,0.7668,0.4119,0.3633,1.1475
animal_class,train,spanish-english,0.7067,0.08,0.0467,0.7333,0.64,0.0467,0.08,0.6867,0.0867,0.0067,0.7067,0.0733,0.7133,0.0511,0.6709,0.5499,0.4913,0.9301
animal_plant_object,train,antonym,0.5667,0.0667,0.02,0.6,0.5133,0.0333,0.04,0.52,0.1,0.0,0.6133,0.4133,0.58,0.0173,0.6568,0.5686,0.5167,0.9013
antonym,train,next_number_digits,0.4067,0.1133,0.0133,0.3333,0.2667,0.04,0.1,0.3533,0.2533,0.0,0.3267,0.2333,0.36,0.0838,0.6721,0.5482,0.3602,0.6801
article_choice,train,prev_number_digits,0.4533,0.1067,0.0067,0.5133,0.42,0.1933,0.1133,0.5533,0.2,0.0067,0.5067,0.5,0.48,-0.1561,0.6688,0.5527,0.4812,0.9151
capitalize,train,prev_number_digits,0.8867,0.04,0.08,0.94,0.92,0.02,0.04,0.8733,0.48,0.0,0.94,0.7933,0.8867,0.1879,0.7276,0.4705,0.3989,1.1144
capitalize_first_letter,train,sentiment,0.5733,0.02,0.0,0.5333,0.6533,0.12,0.0133,0.6733,0.1733,0.0,0.6333,0.5467,0.66,-0.119,0.6243,0.6103,0.3592,0.8494
city-country,train,english-italian,0.74,0.1533,0.12,0.7467,0.78,0.1667,0.1533,0.74,0.3667,0.0,0.7133,0.6867,0.76,-0.0637,0.6047,0.6343,0.3581,0.94
compound_first,train,person-sport,0.52,0.4,0.4067,0.6067,0.4667,0.0333,0.1933,0.5133,0.2867,0.0067,0.5,0.4333,0.5467,-0.2447,0.7707,0.406,0.3406,1.1492
concrete_abstract,train,verb_tense_label,0.5667,0.0067,0.0067,0.4933,0.4933,0.0133,0.0133,0.3867,0.0067,0.0,0.4133,0.02,0.56,0.3709,0.578,0.666,0.5234,0.8361
contains_letter_e,train,iso_date_to_month,0.46,0.0467,0.0,0.4733,0.4467,0.0933,0.0533,0.4867,0.0267,0.0,0.4067,0.42,0.4267,-0.1156,0.5919,0.6497,0.5082,0.7368
country-capital,train,sentiment,0.7733,0.0733,0.14,0.76,0.6333,0.5533,0.0733,0.7533,0.4333,0.0133,0.7067,0.7467,0.7933,-0.2948,0.5102,0.7397,0.4235,1.0661
day_after_textual_date,train,first_digit,0.96,0.7067,0.9333,0.94,0.9733,0.4467,0.7,0.98,0.78,0.3533,0.98,0.8467,0.9533,0.1488,0.5383,0.7102,0.8095,1.8169
ends_with_ing,heldout,next_month_of_date,0.5,0.0333,0.0,0.4933,0.46,0.1133,0.04,0.48,0.02,0.0,0.4133,0.4333,0.52,-0.0043,0.581,0.6625,0.5279,0.7539
english-french,heldout,lowercase_word,0.54,0.1,0.1667,0.5,0.5133,0.1533,0.0867,0.4667,0.3733,0.0133,0.54,0.4067,0.6,0.1329,0.6495,0.5782,0.3447,1.1145
english-italian,train,plural_to_singular,0.5,0.12,0.2933,0.5333,0.54,0.1333,0.1067,0.4867,0.4867,0.0333,0.4933,0.1133,0.54,0.2223,0.6378,0.5932,0.4459,1.4727
english-portuguese,train,adjective_to_adverb,0.5933,0.1733,0.3067,0.6,0.6133,0.1933,0.18,0.5467,0.5133,0.0133,0.5667,0.4533,0.62,0.1276,0.6626,0.561,0.336,1.362
english-spanish,train,adjective_to_adverb,0.5933,0.08,0.0733,0.56,0.5933,0.22,0.1,0.5867,0.4667,0.0,0.5867,0.3667,0.6,0.239,0.6657,0.5568,0.2774,0.9777
first_digit,heldout,word_polarity,0.5733,0.18,0.2867,0.5267,0.5867,0.1867,0.1933,0.6467,0.3267,0.0133,0.52,0.6267,0.5333,-0.0388,0.6275,0.6063,0.4379,1.0749
first_three_letters,train,singular_or_plural,0.42,0.0267,0.08,0.32,0.3533,0.06,0.0067,0.3533,0.14,0.0,0.3267,0.2933,0.3133,-0.2923,0.6169,0.6194,0.4012,1.0577
french-english,heldout,language_identification,0.6267,0.58,0.2533,0.64,0.58,0.02,0.4667,0.5533,0.4533,0.0,0.6933,0.4867,0.6267,-0.2077,0.7771,0.3961,0.3366,0.6933
french_noun_gender,train,english-italian,0.5733,0.0,0.0,0.4733,0.6,0.0133,0.0,0.4267,0.0,0.0,0.6067,0.5467,0.6467,-0.2726,0.5955,0.6454,0.5547,0.9747
german-english,train,german_noun_gender,0.6933,0.5333,0.2267,0.6467,0.68,0.02,0.44,0.5933,0.4333,0.0,0.64,0.46,0.6933,-0.134,0.7628,0.4181,0.3342,0.6843
german_noun_gender,train,first_three_letters,0.4067,0.0467,0.12,0.4467,0.3867,0.14,0.02,0.3933,0.1533,0.0067,0.42,0.3133,0.5267,0.16,0.6263,0.6078,0.5807,1.2449
gerund_to_base,heldout,spanish-english,0.7133,0.34,0.46,0.6667,0.7467,0.0333,0.24,0.7533,0.3467,0.0133,0.6533,0.06,0.7067,0.4965,0.7625,0.4186,0.3805,1.13
gerund_to_past,train,compound_first,0.62,0.0867,0.12,0.6333,0.6,0.0267,0.0867,0.6267,0.1733,0.0,0.5933,0.0333,0.6533,0.4255,0.7205,0.4809,0.4183,1.0744
hypernym_category,train,english-french,0.3133,0.02,0.0067,0.3933,0.28,0.0133,0.04,0.3,0.0467,0.0,0.4067,0.32,0.3667,0.012,0.6762,0.5427,0.4163,0.8282
initials_two_words,heldout,person-instrument,0.5667,0.0,0.0067,0.6533,0.6267,0.1133,0.0,0.66,0.0467,0.0,0.5733,0.66,0.6733,-0.1605,0.5542,0.6929,0.4508,0.9042
iso_date_to_month,train,product-company,0.96,0.6333,0.92,0.9733,0.98,0.3467,0.5933,0.9533,0.7333,0.0733,0.9733,0.9067,0.9733,0.0551,0.6299,0.6032,0.5653,1.4534
