X,trainmean_baseline,rotation,rotation+scale,ridge,lambda,scale
m_A(L6),-0.1076,0.4416,0.5247,0.5779,0.0001,1.550
mbar57,-0.1076,0.4231,0.5295,0.5789,0.0001,1.645
unique,-0.1076,0.4186,0.5275,0.5776,0.0001,1.657
unique_traincarrier,-0.1076,0.4188,0.5276,0.5774,0.0001,1.657
