property,source_run,arm,n_arm_points,judged,baseline_strict,strict,conditional,unscorable,incoherent,n,n_coherent,cf_strict,cf_unscorable,reverse_strict,reverse_baseline,reference_k4
all_caps,full_cuecue1,rawalt_cue_cue_nat2alt_a2.0,3,False,0.0,0.005,0.005,0.025,0.0,200,200,,,,,0.942
ampersand,full_cuecue1,rawalt_cue_cue_nat2alt_a0.5,3,False,0.0,0.0,0.0,0.6,0.0,200,200,,,,,0.667
contractions,full_cuek4,rawalt_cue_cue_nat2alt_a2.0,3,False,0.16,0.14,0.571,0.755,0.0,200,200,,,,,0.754
curly_quotes,full_cuek4,rawalt_cue_cue_nat2alt_a1.0,3,False,0.023,0.012,0.077,0.85,0.0,173,173,,,,,0.975
double_space,full_cuecue1,rawalt_cue_cue_nat2alt_a2.0,3,False,0.0,0.12,0.151,0.205,0.0,200,200,,,,,0.864
em_dash,full_cuek4,rawalt_cue_cue_nat2alt_a1.0,3,False,0.019,0.019,0.286,0.933,0.0,105,105,,,,,1.0
num_words,full_cuek4,rawalt_cue_cue_nat2alt_a1.0,3,False,0.047,0.082,0.5,0.835,0.0,85,85,,,,,0.856
ordinal_words,full_cuecue1,rawalt_cue_cue_nat2alt_a2.0,3,False,0.151,0.145,0.935,0.845,0.0,200,200,,,,,0.994
oxford_comma,full_cuek4,rawalt_cue_cue_nat2alt_a1.0,3,False,0.149,0.388,0.578,0.328,0.0,67,67,,,,,0.85
percent_sign,full_cuecue1,rawalt_cue_cue_nat2alt_a1.0,3,False,0.146,0.183,0.264,0.308,0.0,104,104,,,,,0.966
quote_punct,full_cuecue1,rawalt_cue_cue_nat2alt_a2.0,3,False,0.056,0.627,0.642,0.024,0.0,126,126,,,,,0.901
sentence_caps,full_cuecue1,rawalt_cue_cue_nat2alt_a2.0,3,False,0.0,0.055,0.057,0.04,0.0,200,200,,,,,0.798
us_uk,full_cuek4,rawalt_cue_cue_nat2alt_a2.0,3,False,0.01,0.035,0.167,0.79,0.0,200,200,,,,,0.917
