property,L_alt,L_nat,alpha_alt,alpha_nat,cf_alt,cf_nat,reference_alt,reference_alt_unscorable,reference_nat,reference_nat_unscorable,steered_alt,steered_alt_conditional,steered_alt_incoherent,steered_alt_n,steered_alt_unscorable,steered_nat,steered_nat_conditional,steered_nat_incoherent,steered_nat_n,steered_nat_unscorable,unsteered_alt,unsteered_nat
all_caps,16,6,32.0,32.0,0.005,0.408,0.936,0.016,1.0,0.0,0.824,0.894,0.487,199,0.078,0.974,0.979,0.03,199,0.005,0.01,0.419
ampersand,20,24,16.0,32.0,0.0,0.0,0.128,0.761,0.333,0.667,1.0,1.0,0.021,144,0.0,0.986,1.0,0.0,144,0.014,0.0,0.348
contractions,24,16,32.0,32.0,0.038,0.04,0.12,0.78,0.16,0.83,0.782,0.993,0.0,174,0.213,0.171,0.806,0.023,174,0.788,0.081,0.069
curly_quotes,20,24,32.0,32.0,0.0,0.126,0.308,0.674,0.316,0.684,0.049,0.8,0.024,167,0.939,0.971,1.0,0.371,167,0.029,0.006,0.072
double_space,10,6,32.0,8.0,0.006,0.915,0.658,0.196,0.722,0.278,0.929,1.0,0.02,200,0.071,0.909,1.0,0.01,200,0.091,0.0,0.9
em_dash,24,20,32.0,32.0,0.0,0.0,0.464,0.536,0.473,0.527,1.0,1.0,0.0,99,0.0,1.0,1.0,0.0,99,0.0,0.012,0.035
num_words,24,24,32.0,32.0,0.0,0.0,0.4,0.553,0.235,0.729,0.864,1.0,0.0,81,0.136,0.65,1.0,0.012,81,0.35,0.074,0.148
ordinal_words,24,16,32.0,8.0,0.046,0.0,0.169,0.831,0.169,0.759,0.681,1.0,0.045,200,0.319,0.025,0.25,0.005,200,0.899,0.115,0.01
oxford_comma,16,6,16.0,32.0,0.0,0.0,0.5,0.455,0.591,0.364,1.0,1.0,0.0,67,0.0,0.448,0.789,0.0,67,0.433,0.134,0.485
percent_sign,16,8,32.0,32.0,0.0,0.33,0.695,0.288,0.831,0.169,0.962,1.0,0.0,104,0.038,0.99,1.0,0.0,104,0.01,0.077,0.437
quote_punct,16,24,32.0,8.0,0.067,0.839,0.796,0.053,0.965,0.035,0.992,0.992,0.016,125,0.0,0.936,0.975,0.0,125,0.04,0.017,0.902
sentence_caps,10,2,32.0,32.0,0.0,0.819,0.702,0.03,0.965,0.03,1.0,1.0,0.11,200,0.0,0.905,1.0,0.005,200,0.095,0.0,0.862
us_uk,24,24,32.0,32.0,0.021,0.025,0.15,0.833,0.233,0.767,0.683,0.99,0.007,146,0.31,0.891,0.992,0.055,146,0.101,0.017,0.22
