icl_example_index,token_role,k,activation_k,fv_k,feature_dim,target_dim,layer,train_sample_count,test_sample_count,pca_train_mse,pca_test_mse,fv_train_mse,fv_test_mse,fv_recon_floor_test_mse
1,pre_label_token,1,16,1,16,1,11,2600,910,134.44287109375,169.9688262939453,0.17265267670154572,0.21332789957523346,0.17183154821395874
1,pre_label_token,2,16,2,16,2,11,2600,910,84.25898742675781,105.1464614868164,0.14672449231147766,0.20002171397209167,0.14868038892745972
1,pre_label_token,4,16,4,16,4,11,2600,910,53.96817398071289,80.50782775878906,0.12336935102939606,0.20816177129745483,0.12954093515872955
1,pre_label_token,8,16,8,16,8,11,2600,910,33.85350799560547,46.256473541259766,0.09361252188682556,0.20710307359695435,0.11675820499658585
1,pre_label_token,16,16,16,16,16,11,2600,910,21.37682342529297,27.038223266601562,0.08485639095306396,0.20480693876743317,0.09918902069330215
1,first_label_token,1,16,1,16,1,11,2600,910,38.42039489746094,69.33403015136719,0.1492096185684204,0.18875880539417267,0.17183154821395874
1,first_label_token,2,16,2,16,2,11,2600,910,27.61887550354004,42.32455825805664,0.1190682053565979,0.16934698820114136,0.14868038892745972
1,first_label_token,4,16,4,16,4,11,2600,910,20.24704360961914,36.01313781738281,0.09043851494789124,0.16470985114574432,0.12954093515872955
1,first_label_token,8,16,8,16,8,11,2600,910,15.137316703796387,21.966167449951172,0.0570574589073658,0.15966087579727173,0.11675820499658585
1,first_label_token,16,16,16,16,16,11,2600,910,10.237319946289062,13.696450233459473,0.041342709213495255,0.15269066393375397,0.09918902069330215
1,last_label_token,1,16,1,16,1,11,2600,910,14.896638870239258,70.80467987060547,0.1434665322303772,0.1891179233789444,0.17183154821395874
1,last_label_token,2,16,2,16,2,11,2600,910,10.486626625061035,40.671287536621094,0.11070286482572556,0.16853974759578705,0.14868038892745972
1,last_label_token,4,16,4,16,4,11,2600,910,7.886454105377197,30.886796951293945,0.0783676877617836,0.15970367193222046,0.12954093515872955
1,last_label_token,8,16,8,16,8,11,2600,910,5.718573570251465,17.801485061645508,0.038661494851112366,0.15152671933174133,0.11675820499658585
1,last_label_token,16,16,16,16,16,11,2600,910,4.645019054412842,10.975205421447754,0.019497768953442574,0.1420607715845108,0.09918902069330215
2,pre_label_token,1,16,1,16,1,11,2600,910,30.468284606933594,78.74425506591797,0.1472681313753128,0.19105620682239532,0.17183154821395874
2,pre_label_token,2,16,2,16,2,11,2600,910,19.10747528076172,51.65187454223633,0.11491222679615021,0.1739012449979782,0.14868038892745972
2,pre_label_token,4,16,4,16,4,11,2600,910,13.47264289855957,40.79663848876953,0.08382290601730347,0.169381245970726,0.12954093515872955
2,pre_label_token,8,16,8,16,8,11,2600,910,8.90418529510498,25.03191375732422,0.04488341510295868,0.1656486541032791,0.11675820499658585
2,pre_label_token,16,16,16,16,16,11,2600,910,7.196475505828857,16.143959045410156,0.02946440503001213,0.1622512936592102,0.09918902069330215
2,first_label_token,1,16,1,16,1,11,2600,910,30.813413619995117,52.1856803894043,0.14735260605812073,0.1845722645521164,0.17183154821395874
2,first_label_token,2,16,2,16,2,11,2600,910,19.84014320373535,29.609773635864258,0.11527005583047867,0.16313844919204712,0.14868038892745972
2,first_label_token,4,16,4,16,4,11,2600,910,15.086997985839844,29.704240798950195,0.08539947867393494,0.15854884684085846,0.12954093515872955
2,first_label_token,8,16,8,16,8,11,2600,910,10.874025344848633,18.170429229736328,0.04873073101043701,0.1522473394870758,0.11675820499658585
2,first_label_token,16,16,16,16,16,11,2600,910,7.741504669189453,11.244780540466309,0.031593408435583115,0.14311377704143524,0.09918902069330215
2,last_label_token,1,16,1,16,1,11,2600,910,16.467021942138672,54.27277755737305,0.14384986460208893,0.18508166074752808,0.17183154821395874
2,last_label_token,2,16,2,16,2,11,2600,910,10.6271390914917,30.62513542175293,0.11077146977186203,0.1636342704296112,0.14868038892745972
2,last_label_token,4,16,4,16,4,11,2600,910,8.477420806884766,26.60685157775879,0.07894478738307953,0.15552406013011932,0.12954093515872955
2,last_label_token,8,16,8,16,8,11,2600,910,5.929196834564209,15.549628257751465,0.03907286375761032,0.14712856709957123,0.11675820499658585
2,last_label_token,16,16,16,16,16,11,2600,910,4.866392135620117,9.828424453735352,0.020362505689263344,0.1375812292098999,0.09918902069330215
3,pre_label_token,1,16,1,16,1,11,2600,910,13.646275520324707,40.30824279785156,0.14316131174564362,0.1816723644733429,0.17183154821395874
3,pre_label_token,2,16,2,16,2,11,2600,910,9.062304496765137,25.39090919494629,0.11000750213861465,0.16107849776744843,0.14868038892745972
3,pre_label_token,4,16,4,16,4,11,2600,910,6.948667526245117,24.911705017089844,0.07745186239480972,0.1538686603307724,0.12954093515872955
3,pre_label_token,8,16,8,16,8,11,2600,910,4.758849143981934,15.604846000671387,0.03678702935576439,0.1472364217042923,0.11675820499658585
3,pre_label_token,16,16,16,16,16,11,2600,910,4.572293281555176,10.765899658203125,0.019213665276765823,0.14124315977096558,0.09918902069330215
3,first_label_token,1,16,1,16,1,11,2600,910,23.425270080566406,41.628456115722656,0.14554888010025024,0.18199481070041656,0.17183154821395874
3,first_label_token,2,16,2,16,2,11,2600,910,15.877725601196289,23.64901351928711,0.11333518475294113,0.16022811830043793,0.14868038892745972
3,first_label_token,4,16,4,16,4,11,2600,910,11.748086929321289,21.900150299072266,0.0821387767791748,0.15092766284942627,0.12954093515872955
3,first_label_token,8,16,8,16,8,11,2600,910,8.557799339294434,13.677449226379395,0.04420685023069382,0.1434718817472458,0.11675820499658585
3,first_label_token,16,16,16,16,16,11,2600,910,6.566478252410889,8.967695236206055,0.02700345776975155,0.13421884179115295,0.09918902069330215
3,last_label_token,1,16,1,16,1,11,2600,910,12.448141098022461,45.652488708496094,0.1428687572479248,0.182977095246315,0.17183154821395874
3,last_label_token,2,16,2,16,2,11,2600,910,8.356019973754883,25.485105514526367,0.10966252535581589,0.16112452745437622,0.14868038892745972
3,last_label_token,4,16,4,16,4,11,2600,910,6.685146331787109,20.34377670288086,0.07719449698925018,0.14940772950649261,0.12954093515872955
3,last_label_token,8,16,8,16,8,11,2600,910,4.776484489440918,11.980511665344238,0.03682146966457367,0.14015769958496094,0.11675820499658585
3,last_label_token,16,16,16,16,16,11,2600,910,4.18159294128418,7.881308078765869,0.0176874827593565,0.12997522950172424,0.09918902069330215
4,pre_label_token,1,16,1,16,1,11,2600,910,10.407734870910645,26.61039161682129,0.14237074553966522,0.17832815647125244,0.17183154821395874
4,pre_label_token,2,16,2,16,2,11,2600,910,6.760688304901123,16.2321720123291,0.10888351500034332,0.15660640597343445,0.14868038892745972
4,pre_label_token,4,16,4,16,4,11,2600,910,5.224371910095215,17.44484519958496,0.07576798647642136,0.14657673239707947,0.12954093515872955
4,pre_label_token,8,16,8,16,8,11,2600,910,3.559957265853882,11.177247047424316,0.03444541618227959,0.1385887861251831,0.11675820499658585
4,pre_label_token,16,16,16,16,16,11,2600,910,3.6437485218048096,8.206062316894531,0.01558653637766838,0.13124383985996246,0.09918902069330215
4,first_label_token,1,16,1,16,1,11,2600,910,19.289228439331055,32.67924880981445,0.14453895390033722,0.17980986833572388,0.17183154821395874
4,first_label_token,2,16,2,16,2,11,2600,910,12.97052001953125,18.73883628845215,0.11191568523645401,0.15783044695854187,0.14868038892745972
4,first_label_token,4,16,4,16,4,11,2600,910,10.054682731628418,18.907054901123047,0.08048516511917114,0.1480046808719635,0.12954093515872955
4,first_label_token,8,16,8,16,8,11,2600,910,7.602222919464111,11.944095611572266,0.04234052076935768,0.14008650183677673,0.11675820499658585
4,first_label_token,16,16,16,16,16,11,2600,910,5.973147392272949,7.927243709564209,0.024685747921466827,0.13015466928482056,0.09918902069330215
4,last_label_token,1,16,1,16,1,11,2600,910,10.731497764587402,39.20817184448242,0.142449751496315,0.18140394985675812,0.17183154821395874
4,last_label_token,2,16,2,16,2,11,2600,910,7.233011722564697,21.940942764282227,0.10911411046981812,0.15939396619796753,0.14868038892745972
4,last_label_token,4,16,4,16,4,11,2600,910,6.0948638916015625,18.034305572509766,0.07661812007427216,0.14715252816677094,0.12954093515872955
4,last_label_token,8,16,8,16,8,11,2600,910,4.383939266204834,10.75853157043457,0.03605480119585991,0.13777096569538116,0.11675820499658585
4,last_label_token,16,16,16,16,16,11,2600,910,3.8823299407958984,7.159102439880371,0.016518501564860344,0.1271541565656662,0.09918902069330215
5,pre_label_token,1,16,1,16,1,11,2600,910,7.936173439025879,18.577112197875977,0.1417672485113144,0.176366925239563,0.17183154821395874
5,pre_label_token,2,16,2,16,2,11,2600,910,5.185622215270996,11.656567573547363,0.10811443626880646,0.15437225997447968,0.14868038892745972
5,pre_label_token,4,16,4,16,4,11,2600,910,4.112115383148193,12.980908393859863,0.07468180358409882,0.1422174572944641,0.12954093515872955
5,pre_label_token,8,16,8,16,8,11,2600,910,2.8476054668426514,8.742107391357422,0.033054083585739136,0.13383255898952484,0.11675820499658585
