family,n,k0_nat,k0_alt,k4_nat,k4_alt,cheap_k4_nat,cheap_k4_alt,keep
py_snake_camel,200,0.905,0.0,0.965,0.92,1.0,0.92,True
js_camel_snake,200,0.845,0.0,0.885,0.9,0.94,0.94,True
py_const_naming,200,0.015,0.0,0.655,0.6,0.8,0.68,True
py_class_naming,200,0.155,0.4,0.46,0.63,0.58,0.66,True
py_private,200,0.075,0.015,0.455,0.385,0.4,0.44,True
py_bool_prefix,200,0.01,0.09,0.575,0.315,0.64,0.3,True
py_loop_vars,188,0.314,0.059,0.495,0.473,0.4347826086956521,0.5217391304347826,True
js_hungarian,200,0.54,0.005,0.66,0.855,0.62,0.84,True
py_abbrev,200,0.12,0.37,0.725,0.755,0.82,0.74,True
py_quotes,192,0.266,0.333,0.812,0.719,0.8163265306122449,0.7346938775510204,True
js_quotes,189,0.159,0.492,0.778,0.799,0.7551020408163265,0.9183673469387756,True
py_fstring,200,0.195,0.155,0.705,0.84,0.72,0.86,True
js_template,198,0.207,0.126,0.894,0.813,0.8571428571428571,0.8367346938775511,True
num_separators,131,0.305,0.0,0.832,0.496,0.7142857142857143,0.6571428571428571,True
hex_constants,177,0.345,0.0,0.514,0.684,0.6046511627906976,0.7441860465116279,True
float_literals,162,0.512,0.019,0.531,0.519,0.4736842105263157,0.631578947368421,True
sql_bool_case,133,0.293,0.549,0.902,0.917,0.96875,0.96875,True
py2_print,200,0.2,0.015,0.73,0.67,0.84,0.72,True
py2_iter,144,0.611,0.035,0.764,0.549,0.7368421052631579,0.631578947368421,True
py2_except,177,0.113,0.0,0.938,0.96,1.0,0.9333333333333332,True
js_var,200,0.415,0.13,0.535,0.495,0.46,0.5,True
js_arrow,196,0.786,0.041,0.607,0.566,0.6122448979591837,0.5918367346938775,True
js_semicolons,146,0.822,0.027,0.856,0.589,0.6774193548387096,0.4838709677419355,True
js_strict_eq,107,0.729,0.065,0.766,0.72,0.75,0.5714285714285714,True
trailing_commas,130,0.123,0.454,0.846,0.662,0.7647058823529411,0.7058823529411765,True
py_paren_if,199,0.618,0.01,0.633,0.563,0.68,0.54,True
py_type_hints,192,0.073,0.745,0.719,0.828,0.6326530612244898,0.8163265306122449,True
py_optional,191,0.126,0.021,0.597,0.602,0.5918367346938775,0.4489795918367347,True
py_builtin_generics,113,0.115,0.0,0.858,0.947,0.935483870967742,0.9032258064516128,True
py_comprehension,194,0.361,0.124,0.598,0.649,0.6521739130434783,0.6304347826086957,True
py_not_in,164,0.39,0.006,0.518,0.378,0.5111111111111111,0.3555555555555555,True
py_is_none,114,0.167,0.0,0.772,0.702,0.8387096774193549,0.6774193548387096,True
py_ternary,187,0.134,0.246,0.449,0.492,0.3958333333333333,0.5208333333333334,True
early_return,200,0.305,0.235,0.49,0.825,0.48,0.84,True
py_join_concat,176,0.42,0.125,0.676,0.528,0.6590909090909091,0.5,True
py_with_open,200,0.05,0.01,0.575,0.86,0.66,0.84,True
py_enumerate,198,0.152,0.414,0.763,0.798,0.7755102040816326,0.6326530612244898,True
py_self_name,200,0.955,0.0,0.91,0.895,0.96,0.86,True
py_indent,200,0.75,0.055,0.925,0.55,0.96,0.7,True
py_tabs,200,0.755,0.01,0.92,0.915,0.9,0.96,True
operator_spaces,187,0.754,0.091,0.861,0.668,0.8888888888888888,0.6888888888888889,True
comma_space,192,0.745,0.005,0.839,0.693,0.7872340425531915,0.4893617021276595,True
line_wrap,200,0.01,0.685,0.66,0.395,0.82,0.38,True
blank_lines,142,0.092,0.577,0.563,0.493,0.5,0.3823529411764705,True
docstring_style,199,0.719,0.035,0.975,0.97,1.0,0.92,True
docstring_quotes,200,0.125,0.01,0.96,0.905,0.92,0.96,True
comment_case,200,0.175,0.045,0.69,0.575,0.58,0.62,True
comment_language,200,0.305,0.0,0.63,0.565,0.7,0.54,True
c_comment_style,200,0.325,0.005,0.885,0.775,0.96,0.84,True
sql_keyword_case,200,0.67,0.01,0.885,0.87,1.0,0.8,True
sql_join_style,183,0.842,0.011,0.913,0.749,0.8409090909090909,0.6590909090909091,True
r_assignment,200,0.77,0.06,0.905,0.815,0.92,0.82,True
rust_question,165,0.655,0.036,0.8,0.594,0.8717948717948718,0.4871794871794871,True
bash_test,200,0.185,0.675,0.87,0.765,0.76,0.74,True
php_array,193,0.212,0.166,0.42,0.58,0.38,0.6,True
