family,style,unscorable_pooled,unscorable_k0,unscorable_k1,unscorable_k2,unscorable_k3,unscorable_k4,unscorable_k8
py_snake_camel,nat,0.004,0.005,0.01,0.005,0.0,0.0,0.005
py_snake_camel,alt,0.007,0.01,0.015,0.005,0.01,0.0,0.0
js_camel_snake,nat,0.046,0.04,0.195,0.01,0.015,0.015,0.0
js_camel_snake,alt,0.045,0.045,0.185,0.015,0.015,0.01,0.0
py_const_naming,nat,0.309,0.975,0.21,0.22,0.185,0.185,0.077
py_const_naming,alt,0.487,0.97,0.525,0.42,0.385,0.305,0.318
py_class_naming,nat,0.303,0.325,0.435,0.38,0.3,0.345,0.032
py_class_naming,alt,0.324,0.32,0.47,0.415,0.41,0.31,0.022
py_private,nat,0.516,0.92,0.505,0.44,0.56,0.535,0.135
py_private,alt,0.555,0.925,0.525,0.57,0.605,0.575,0.13
py_bool_prefix,nat,0.333,0.91,0.075,0.435,0.07,0.32,0.185
py_bool_prefix,alt,0.602,0.865,0.325,0.68,0.51,0.65,0.585
py_loop_vars,nat,0.394,0.543,0.293,0.383,0.41,0.404,0.333
py_loop_vars,alt,0.376,0.548,0.298,0.426,0.372,0.42,0.194
js_hungarian,nat,0.312,0.405,0.37,0.26,0.275,0.31,0.25
js_hungarian,alt,0.096,0.34,0.065,0.045,0.07,0.045,0.01
py_abbrev,nat,0.255,0.45,0.345,0.24,0.215,0.15,0.133
py_abbrev,alt,0.249,0.475,0.32,0.255,0.175,0.16,0.112
py_quotes,nat,0.1,0.37,0.016,0.078,0.026,0.068,0.04
py_quotes,alt,0.097,0.38,0.016,0.057,0.026,0.068,0.035
js_quotes,nat,0.12,0.222,0.042,0.164,0.074,0.122,0.098
js_quotes,alt,0.12,0.238,0.053,0.132,0.085,0.116,0.098
py_fstring,nat,0.33,0.615,0.315,0.38,0.23,0.25,0.19
py_fstring,alt,0.278,0.55,0.585,0.165,0.155,0.115,0.095
js_template,nat,0.158,0.606,0.03,0.04,0.121,0.081,0.068
js_template,alt,0.303,0.626,0.404,0.202,0.237,0.157,0.195
num_separators,nat,0.233,0.656,0.214,0.191,0.153,0.107,0.078
num_separators,alt,0.275,0.595,0.29,0.237,0.191,0.237,0.098
hex_constants,nat,0.473,0.616,0.418,0.486,0.435,0.458,0.423
hex_constants,alt,0.248,0.582,0.237,0.209,0.158,0.164,0.135
float_literals,nat,0.24,0.432,0.272,0.259,0.198,0.179,0.103
float_literals,alt,0.319,0.488,0.34,0.346,0.253,0.29,0.195
sql_bool_case,nat,0.066,0.195,0.045,0.038,0.053,0.045,0.02
sql_bool_case,alt,0.063,0.173,0.053,0.038,0.045,0.06,0.01
py2_print,nat,0.384,0.69,0.575,0.39,0.175,0.255,0.22
py2_print,alt,0.421,0.755,0.595,0.38,0.275,0.295,0.225
py2_iter,nat,0.15,0.229,0.222,0.146,0.125,0.146,0.034
py2_iter,alt,0.164,0.285,0.236,0.146,0.125,0.139,0.052
py2_except,nat,0.21,0.881,0.181,0.085,0.028,0.04,0.048
py2_except,alt,0.232,0.893,0.22,0.119,0.045,0.023,0.095
js_var,nat,0.376,0.46,0.305,0.25,0.28,0.435,0.523
js_var,alt,0.388,0.48,0.35,0.265,0.29,0.45,0.495
js_arrow,nat,0.172,0.005,0.143,0.219,0.179,0.286,0.2
js_arrow,alt,0.275,0.005,0.464,0.316,0.342,0.291,0.234
js_semicolons,nat,0.181,0.116,0.24,0.199,0.158,0.096,0.278
js_semicolons,alt,0.234,0.068,0.185,0.247,0.253,0.288,0.361
js_strict_eq,nat,0.12,0.159,0.056,0.187,0.15,0.131,0.038
js_strict_eq,alt,0.122,0.15,0.112,0.215,0.121,0.093,0.038
trailing_commas,nat,0.158,0.315,0.146,0.162,0.092,0.1,0.132
trailing_commas,alt,0.146,0.254,0.146,0.123,0.077,0.115,0.162
py_paren_if,nat,0.253,0.281,0.276,0.231,0.136,0.286,0.305
py_paren_if,alt,0.265,0.296,0.327,0.256,0.141,0.261,0.31
py_type_hints,nat,0.103,0.146,0.203,0.146,0.068,0.047,0.01
py_type_hints,alt,0.194,0.135,0.219,0.286,0.214,0.146,0.167
py_optional,nat,0.54,0.848,0.801,0.539,0.429,0.393,0.228
py_optional,alt,0.413,0.869,0.335,0.387,0.408,0.304,0.177
py_builtin_generics,nat,0.298,0.858,0.531,0.106,0.159,0.088,0.043
py_builtin_generics,alt,0.193,0.903,0.097,0.044,0.044,0.027,0.043
py_comprehension,nat,0.333,0.454,0.294,0.34,0.278,0.325,0.31
py_comprehension,alt,0.207,0.5,0.098,0.196,0.17,0.16,0.12
py_not_in,nat,0.426,0.573,0.476,0.476,0.396,0.378,0.26
py_not_in,alt,0.474,0.591,0.476,0.488,0.439,0.494,0.356
py_is_none,nat,0.357,0.754,0.421,0.482,0.298,0.184,0.0
py_is_none,alt,0.377,0.807,0.447,0.465,0.272,0.219,0.053
py_ternary,nat,0.335,0.529,0.23,0.348,0.198,0.337,0.367
py_ternary,alt,0.329,0.583,0.241,0.353,0.15,0.337,0.313
