family,style,k,n,accuracy,ci_lo,ci_hi,style_ok,wrong_style,unscorable,style_ok_but_unfaithful,judge_ok,capped,unjudged
py_private,nat,0,200,0.12,0.082,0.172,0.125,0.015,0.86,0.005,0.965,0.09,0
py_private,nat,1,200,0.51,0.441,0.578,0.53,0.0,0.47,0.02,0.95,0.115,0
py_private,nat,2,200,0.52,0.451,0.588,0.52,0.005,0.475,0.0,0.97,0.075,0
py_private,nat,3,200,0.425,0.359,0.494,0.46,0.01,0.53,0.035,0.965,0.105,0
py_private,nat,4,200,0.435,0.368,0.504,0.465,0.0,0.535,0.03,0.955,0.1,0
py_private,alt,0,200,0.0,0.0,0.019,0.0,0.135,0.865,0.0,0.915,0.135,0
py_private,alt,1,200,0.425,0.359,0.494,0.46,0.095,0.445,0.035,0.915,0.145,0
py_private,alt,2,200,0.455,0.387,0.524,0.46,0.045,0.495,0.005,0.97,0.105,0
py_private,alt,3,200,0.405,0.339,0.474,0.405,0.04,0.555,0.0,0.97,0.1,0
py_private,alt,4,200,0.4,0.335,0.469,0.41,0.065,0.525,0.01,0.965,0.095,0
py_loop_vars,nat,0,102,0.314,0.232,0.409,0.431,0.088,0.48,0.118,0.775,0.392,0
py_loop_vars,nat,1,102,0.284,0.206,0.378,0.324,0.059,0.618,0.039,0.853,0.255,0
py_loop_vars,nat,2,102,0.461,0.367,0.557,0.49,0.098,0.412,0.029,0.892,0.245,0
py_loop_vars,nat,3,102,0.48,0.386,0.576,0.588,0.029,0.382,0.108,0.794,0.196,0
py_loop_vars,nat,4,102,0.618,0.521,0.706,0.667,0.078,0.255,0.049,0.931,0.245,0
py_loop_vars,alt,0,102,0.078,0.04,0.147,0.078,0.431,0.49,0.0,0.843,0.294,0
py_loop_vars,alt,1,102,0.137,0.084,0.217,0.147,0.118,0.735,0.01,0.882,0.294,0
py_loop_vars,alt,2,102,0.127,0.076,0.206,0.127,0.078,0.794,0.0,0.882,0.196,0
py_loop_vars,alt,3,102,0.137,0.084,0.217,0.157,0.392,0.451,0.02,0.843,0.225,0
py_loop_vars,alt,4,102,0.441,0.349,0.538,0.461,0.176,0.363,0.02,0.892,0.206,0
js_hungarian,nat,0,200,0.51,0.441,0.578,0.555,0.01,0.435,0.045,0.88,0.53,0
js_hungarian,nat,1,200,0.595,0.526,0.661,0.645,0.005,0.35,0.05,0.905,0.375,0
js_hungarian,nat,2,200,0.55,0.481,0.617,0.58,0.005,0.415,0.03,0.925,0.26,0
js_hungarian,nat,3,200,0.405,0.339,0.474,0.435,0.005,0.56,0.03,0.95,0.275,0
js_hungarian,nat,4,200,0.42,0.354,0.489,0.455,0.005,0.54,0.035,0.915,0.25,0
js_hungarian,alt,0,200,0.01,0.003,0.036,0.01,0.58,0.41,0.0,0.915,0.5,0
js_hungarian,alt,1,200,0.63,0.561,0.694,0.715,0.19,0.095,0.085,0.87,0.475,0
js_hungarian,alt,2,200,0.735,0.67,0.791,0.845,0.09,0.065,0.11,0.88,0.4,0
js_hungarian,alt,3,200,0.805,0.745,0.854,0.875,0.035,0.09,0.07,0.92,0.38,0
js_hungarian,alt,4,200,0.85,0.794,0.893,0.925,0.03,0.045,0.075,0.91,0.375,0
py_abbrev,nat,0,200,0.06,0.035,0.102,0.065,0.25,0.685,0.005,0.88,0.45,0
py_abbrev,nat,1,200,0.285,0.227,0.351,0.33,0.13,0.54,0.045,0.85,0.445,0
py_abbrev,nat,2,200,0.33,0.269,0.398,0.36,0.1,0.54,0.03,0.9,0.395,0
py_abbrev,nat,3,200,0.36,0.297,0.429,0.42,0.085,0.495,0.06,0.84,0.365,0
py_abbrev,nat,4,200,0.42,0.354,0.489,0.47,0.11,0.42,0.05,0.89,0.395,0
py_abbrev,alt,0,200,0.175,0.129,0.234,0.185,0.08,0.735,0.01,0.88,0.445,0
py_abbrev,alt,1,200,0.375,0.311,0.444,0.425,0.04,0.535,0.05,0.85,0.43,0
py_abbrev,alt,2,200,0.325,0.264,0.393,0.35,0.055,0.595,0.025,0.93,0.405,0
py_abbrev,alt,3,200,0.405,0.339,0.474,0.47,0.03,0.5,0.065,0.89,0.325,0
py_abbrev,alt,4,200,0.45,0.383,0.519,0.53,0.025,0.445,0.08,0.88,0.375,0
py_quotes,nat,0,192,0.266,0.208,0.332,0.297,0.333,0.37,0.031,0.896,0.422,0
py_quotes,nat,1,192,0.87,0.815,0.91,0.943,0.042,0.016,0.073,0.917,0.401,0
py_quotes,nat,2,192,0.651,0.581,0.715,0.708,0.214,0.078,0.057,0.896,0.469,0
py_quotes,nat,3,192,0.865,0.809,0.906,0.901,0.073,0.026,0.036,0.943,0.406,0
py_quotes,nat,4,192,0.812,0.751,0.861,0.833,0.099,0.068,0.021,0.964,0.375,0
py_quotes,nat,8,173,0.815,0.751,0.866,0.879,0.081,0.04,0.064,0.919,0.405,0
py_quotes,alt,0,192,0.333,0.27,0.403,0.365,0.255,0.38,0.031,0.901,0.411,0
py_quotes,alt,1,192,0.823,0.763,0.87,0.917,0.068,0.016,0.094,0.901,0.37,0
py_quotes,alt,2,192,0.682,0.613,0.744,0.703,0.24,0.057,0.021,0.969,0.432,0
py_quotes,alt,3,192,0.849,0.791,0.893,0.885,0.089,0.026,0.036,0.953,0.375,0
py_quotes,alt,4,192,0.719,0.651,0.778,0.786,0.146,0.068,0.068,0.906,0.344,0
py_quotes,alt,8,173,0.861,0.802,0.905,0.896,0.069,0.035,0.035,0.96,0.451,0
js_quotes,nat,0,189,0.159,0.114,0.218,0.175,0.603,0.222,0.016,0.905,0.376,0
js_quotes,nat,1,189,0.831,0.771,0.877,0.889,0.069,0.042,0.058,0.942,0.291,0
js_quotes,nat,2,189,0.714,0.646,0.774,0.725,0.111,0.164,0.011,0.947,0.259,0
js_quotes,nat,3,189,0.831,0.771,0.877,0.873,0.053,0.074,0.042,0.947,0.323,0
js_quotes,nat,4,189,0.778,0.713,0.831,0.82,0.058,0.122,0.042,0.926,0.217,0
js_quotes,nat,8,164,0.848,0.785,0.895,0.866,0.037,0.098,0.018,0.963,0.287,0
js_quotes,alt,0,189,0.492,0.422,0.563,0.524,0.238,0.238,0.032,0.921,0.397,0
js_quotes,alt,1,189,0.873,0.818,0.913,0.921,0.026,0.053,0.048,0.952,0.302,0
js_quotes,alt,2,189,0.778,0.713,0.831,0.815,0.053,0.132,0.037,0.931,0.228,0
js_quotes,alt,3,189,0.815,0.753,0.864,0.889,0.026,0.085,0.074,0.905,0.233,0
js_quotes,alt,4,189,0.799,0.736,0.85,0.847,0.037,0.116,0.048,0.937,0.233,0
js_quotes,alt,8,164,0.841,0.778,0.889,0.902,0.0,0.098,0.061,0.927,0.201,0
py_fstring,nat,0,200,0.195,0.146,0.255,0.2,0.185,0.615,0.005,0.93,0.315,0
py_fstring,nat,1,200,0.67,0.602,0.731,0.685,0.0,0.315,0.015,0.95,0.315,0
py_fstring,nat,2,200,0.605,0.536,0.67,0.62,0.0,0.38,0.015,0.97,0.295,0
py_fstring,nat,3,200,0.685,0.618,0.745,0.715,0.055,0.23,0.03,0.95,0.265,0
py_fstring,nat,4,200,0.705,0.638,0.764,0.735,0.015,0.25,0.03,0.955,0.26,0
py_fstring,nat,8,200,0.785,0.723,0.836,0.805,0.005,0.19,0.02,0.97,0.19,0
py_fstring,alt,0,200,0.155,0.111,0.212,0.165,0.285,0.55,0.01,0.94,0.34,0
py_fstring,alt,1,200,0.335,0.273,0.403,0.355,0.06,0.585,0.02,0.925,0.31,0
py_fstring,alt,2,200,0.755,0.691,0.809,0.795,0.04,0.165,0.04,0.95,0.33,0
py_fstring,alt,3,200,0.765,0.702,0.818,0.805,0.04,0.155,0.04,0.94,0.26,0
py_fstring,alt,4,200,0.84,0.783,0.884,0.85,0.035,0.115,0.01,0.985,0.26,0
py_fstring,alt,8,200,0.82,0.761,0.867,0.875,0.03,0.095,0.055,0.94,0.205,0
js_template,nat,0,198,0.207,0.156,0.269,0.217,0.177,0.606,0.01,0.924,0.242,0
js_template,nat,1,198,0.894,0.843,0.93,0.965,0.005,0.03,0.071,0.914,0.298,0
js_template,nat,2,198,0.889,0.838,0.925,0.944,0.015,0.04,0.056,0.934,0.182,0
js_template,nat,3,198,0.843,0.786,0.887,0.874,0.005,0.121,0.03,0.97,0.172,0
js_template,nat,4,198,0.894,0.843,0.93,0.909,0.01,0.081,0.015,0.98,0.162,0
js_template,nat,8,190,0.889,0.837,0.927,0.921,0.011,0.068,0.032,0.963,0.168,0
js_template,alt,0,198,0.126,0.087,0.18,0.126,0.247,0.626,0.0,0.914,0.308,0
js_template,alt,1,198,0.53,0.461,0.599,0.556,0.04,0.404,0.025,0.919,0.242,0
js_template,alt,2,198,0.737,0.672,0.794,0.768,0.03,0.202,0.03,0.96,0.232,0
js_template,alt,3,198,0.697,0.63,0.757,0.742,0.02,0.237,0.045,0.919,0.172,0
js_template,alt,4,198,0.813,0.753,0.861,0.818,0.025,0.157,0.005,0.98,0.167,0
js_template,alt,8,190,0.795,0.732,0.846,0.805,0.0,0.195,0.011,0.963,0.179,0
num_separators,nat,0,131,0.305,0.233,0.389,0.344,0.0,0.656,0.038,0.786,0.435,0
num_separators,nat,1,131,0.679,0.595,0.753,0.779,0.008,0.214,0.099,0.87,0.351,0
num_separators,nat,2,131,0.702,0.619,0.774,0.809,0.0,0.191,0.107,0.855,0.389,0
num_separators,nat,3,131,0.771,0.692,0.835,0.84,0.008,0.153,0.069,0.916,0.282,0
num_separators,nat,4,131,0.832,0.759,0.886,0.893,0.0,0.107,0.061,0.939,0.321,0
num_separators,nat,8,51,0.843,0.72,0.918,0.922,0.0,0.078,0.078,0.902,0.294,0
num_separators,alt,0,131,0.0,0.0,0.028,0.0,0.405,0.595,0.0,0.817,0.45,0
num_separators,alt,1,131,0.458,0.375,0.543,0.466,0.244,0.29,0.008,0.908,0.351,0
num_separators,alt,2,131,0.481,0.397,0.566,0.519,0.244,0.237,0.038,0.924,0.321,0
num_separators,alt,3,131,0.55,0.464,0.632,0.595,0.214,0.191,0.046,0.916,0.282,0
num_separators,alt,4,131,0.496,0.412,0.581,0.504,0.26,0.237,0.008,0.947,0.313,0
num_separators,alt,8,51,0.608,0.471,0.73,0.647,0.255,0.098,0.039,0.902,0.353,0
hex_constants,nat,0,177,0.345,0.279,0.417,0.379,0.006,0.616,0.034,0.915,0.35,0
hex_constants,nat,1,177,0.548,0.474,0.62,0.576,0.006,0.418,0.028,0.915,0.322,0
