family,target,layer,alpha,target_rate,unscorable
sentence_caps,nat,2,0.0,1.0,0.0
sentence_caps,nat,2,0.5,0.96,0.02
sentence_caps,nat,2,1.0,0.96,0.04
sentence_caps,nat,2,2.0,1.0,0.0
sentence_caps,nat,2,4.0,0.98,0.0
sentence_caps,nat,4,0.0,1.0,0.0
sentence_caps,nat,4,0.5,0.98,0.02
sentence_caps,nat,4,1.0,0.98,0.02
sentence_caps,nat,4,2.0,0.96,0.02
sentence_caps,nat,4,4.0,1.0,0.0
sentence_caps,nat,6,0.0,1.0,0.0
sentence_caps,nat,6,0.5,0.98,0.02
sentence_caps,nat,6,1.0,0.98,0.02
sentence_caps,nat,6,2.0,0.98,0.02
sentence_caps,nat,6,4.0,1.0,0.0
sentence_caps,nat,8,0.0,1.0,0.0
sentence_caps,nat,8,0.5,0.9,0.08
sentence_caps,nat,8,1.0,0.98,0.02
sentence_caps,nat,8,2.0,1.0,0.0
sentence_caps,nat,8,4.0,0.96,0.04
sentence_caps,nat,10,0.0,1.0,0.0
sentence_caps,nat,10,0.5,0.98,0.02
sentence_caps,nat,10,1.0,1.0,0.0
sentence_caps,nat,10,2.0,0.98,0.02
sentence_caps,nat,10,4.0,0.96,0.04
sentence_caps,nat,12,0.0,1.0,0.0
sentence_caps,nat,12,0.5,1.0,0.0
sentence_caps,nat,12,1.0,0.98,0.02
sentence_caps,nat,12,2.0,1.0,0.0
sentence_caps,nat,12,4.0,0.96,0.04
sentence_caps,nat,16,0.0,1.0,0.0
sentence_caps,nat,16,0.5,1.0,0.0
sentence_caps,nat,16,1.0,1.0,0.0
sentence_caps,nat,16,2.0,1.0,0.0
sentence_caps,nat,16,4.0,0.98,0.02
sentence_caps,nat,20,0.0,1.0,0.0
sentence_caps,nat,20,0.5,0.98,0.02
sentence_caps,nat,20,1.0,1.0,0.0
sentence_caps,nat,20,2.0,1.0,0.0
sentence_caps,nat,20,4.0,1.0,0.0
sentence_caps,nat,24,0.0,1.0,0.0
sentence_caps,nat,24,0.5,1.0,0.0
sentence_caps,nat,24,1.0,1.0,0.0
sentence_caps,nat,24,2.0,1.0,0.0
sentence_caps,nat,24,4.0,1.0,0.0
sentence_caps,alt,2,0.0,0.0,0.0
sentence_caps,alt,2,0.5,0.0,0.0
sentence_caps,alt,2,1.0,0.0,0.02
sentence_caps,alt,2,2.0,0.0,0.0
sentence_caps,alt,2,4.0,0.04,0.04
sentence_caps,alt,4,0.0,0.0,0.0
sentence_caps,alt,4,0.5,0.0,0.0
sentence_caps,alt,4,1.0,0.0,0.0
sentence_caps,alt,4,2.0,0.0,0.02
sentence_caps,alt,4,4.0,0.02,0.02
sentence_caps,alt,6,0.0,0.0,0.0
sentence_caps,alt,6,0.5,0.0,0.04
sentence_caps,alt,6,1.0,0.04,0.0
sentence_caps,alt,6,2.0,0.08,0.0
sentence_caps,alt,6,4.0,0.4,0.04
sentence_caps,alt,8,0.0,0.0,0.0
sentence_caps,alt,8,0.5,0.02,0.0
sentence_caps,alt,8,1.0,0.02,0.06
sentence_caps,alt,8,2.0,0.44,0.06
sentence_caps,alt,8,4.0,0.62,0.0
sentence_caps,alt,10,0.0,0.0,0.0
sentence_caps,alt,10,0.5,0.02,0.0
sentence_caps,alt,10,1.0,0.7,0.02
sentence_caps,alt,10,2.0,0.92,0.04
sentence_caps,alt,10,4.0,0.7,0.02
sentence_caps,alt,12,0.0,0.0,0.0
sentence_caps,alt,12,0.5,0.04,0.02
sentence_caps,alt,12,1.0,0.64,0.02
sentence_caps,alt,12,2.0,0.88,0.0
sentence_caps,alt,12,4.0,0.94,0.02
sentence_caps,alt,16,0.0,0.0,0.0
sentence_caps,alt,16,0.5,0.18,0.0
sentence_caps,alt,16,1.0,0.8,0.0
sentence_caps,alt,16,2.0,0.88,0.08
sentence_caps,alt,16,4.0,0.88,0.06
sentence_caps,alt,20,0.0,0.0,0.0
sentence_caps,alt,20,0.5,0.18,0.0
sentence_caps,alt,20,1.0,0.78,0.02
sentence_caps,alt,20,2.0,0.9,0.06
sentence_caps,alt,20,4.0,0.98,0.0
sentence_caps,alt,24,0.0,0.0,0.0
sentence_caps,alt,24,0.5,0.18,0.04
sentence_caps,alt,24,1.0,0.66,0.04
sentence_caps,alt,24,2.0,0.94,0.06
sentence_caps,alt,24,4.0,0.96,0.02
all_caps,nat,2,0.0,1.0,0.0
all_caps,nat,2,0.5,1.0,0.0
all_caps,nat,2,1.0,1.0,0.0
all_caps,nat,2,2.0,1.0,0.0
all_caps,nat,2,4.0,1.0,0.0
all_caps,nat,4,0.0,1.0,0.0
all_caps,nat,4,0.5,1.0,0.0
all_caps,nat,4,1.0,1.0,0.0
all_caps,nat,4,2.0,0.98,0.0
all_caps,nat,4,4.0,1.0,0.0
all_caps,nat,6,0.0,1.0,0.0
all_caps,nat,6,0.5,1.0,0.0
all_caps,nat,6,1.0,1.0,0.0
all_caps,nat,6,2.0,1.0,0.0
all_caps,nat,6,4.0,1.0,0.0
all_caps,nat,8,0.0,1.0,0.0
all_caps,nat,8,0.5,1.0,0.0
all_caps,nat,8,1.0,1.0,0.0
all_caps,nat,8,2.0,1.0,0.0
all_caps,nat,8,4.0,1.0,0.0
all_caps,nat,10,0.0,1.0,0.0
all_caps,nat,10,0.5,1.0,0.0
all_caps,nat,10,1.0,1.0,0.0
all_caps,nat,10,2.0,1.0,0.0
all_caps,nat,10,4.0,1.0,0.0
all_caps,nat,12,0.0,1.0,0.0
all_caps,nat,12,0.5,1.0,0.0
all_caps,nat,12,1.0,1.0,0.0
all_caps,nat,12,2.0,1.0,0.0
all_caps,nat,12,4.0,1.0,0.0
all_caps,nat,16,0.0,1.0,0.0
all_caps,nat,16,0.5,1.0,0.0
all_caps,nat,16,1.0,1.0,0.0
all_caps,nat,16,2.0,1.0,0.0
all_caps,nat,16,4.0,1.0,0.0
all_caps,nat,20,0.0,1.0,0.0
all_caps,nat,20,0.5,0.98,0.02
all_caps,nat,20,1.0,1.0,0.0
all_caps,nat,20,2.0,1.0,0.0
all_caps,nat,20,4.0,1.0,0.0
all_caps,nat,24,0.0,1.0,0.0
all_caps,nat,24,0.5,1.0,0.0
all_caps,nat,24,1.0,1.0,0.0
all_caps,nat,24,2.0,1.0,0.0
all_caps,nat,24,4.0,1.0,0.0
all_caps,alt,2,0.0,0.0,0.0
all_caps,alt,2,0.5,0.0,0.0
all_caps,alt,2,1.0,0.0,0.0
all_caps,alt,2,2.0,0.04,0.0
all_caps,alt,2,4.0,0.0,0.04
all_caps,alt,4,0.0,0.0,0.0
all_caps,alt,4,0.5,0.0,0.0
all_caps,alt,4,1.0,0.0,0.0
all_caps,alt,4,2.0,0.0,0.0
all_caps,alt,4,4.0,0.0,0.08
all_caps,alt,6,0.0,0.0,0.0
all_caps,alt,6,0.5,0.0,0.0
all_caps,alt,6,1.0,0.02,0.0
all_caps,alt,6,2.0,0.06,0.06
all_caps,alt,6,4.0,0.16,0.04
all_caps,alt,8,0.0,0.0,0.0
all_caps,alt,8,0.5,0.0,0.0
all_caps,alt,8,1.0,0.24,0.0
all_caps,alt,8,2.0,0.54,0.06
all_caps,alt,8,4.0,0.34,0.02
all_caps,alt,10,0.0,0.0,0.0
all_caps,alt,10,0.5,0.02,0.02
all_caps,alt,10,1.0,0.58,0.04
all_caps,alt,10,2.0,0.58,0.12
all_caps,alt,10,4.0,0.36,0.1
all_caps,alt,12,0.0,0.0,0.0
all_caps,alt,12,0.5,0.0,0.02
all_caps,alt,12,1.0,0.42,0.08
all_caps,alt,12,2.0,0.46,0.12
all_caps,alt,12,4.0,0.26,0.14
all_caps,alt,16,0.0,0.0,0.0
all_caps,alt,16,0.5,0.04,0.0
all_caps,alt,16,1.0,0.48,0.02
all_caps,alt,16,2.0,0.46,0.16
all_caps,alt,16,4.0,0.3,0.16
all_caps,alt,20,0.0,0.0,0.0
all_caps,alt,20,0.5,0.06,0.02
all_caps,alt,20,1.0,0.44,0.08
all_caps,alt,20,2.0,0.54,0.06
all_caps,alt,20,4.0,0.58,0.12
all_caps,alt,24,0.0,0.0,0.0
all_caps,alt,24,0.5,0.08,0.0
all_caps,alt,24,1.0,0.28,0.1
all_caps,alt,24,2.0,0.44,0.12
all_caps,alt,24,4.0,0.4,0.2
double_space,nat,2,0.0,1.0,0.0
double_space,nat,2,0.5,0.98,0.02
double_space,nat,2,1.0,0.98,0.0
double_space,nat,2,2.0,0.94,0.04
double_space,nat,2,4.0,0.96,0.0
double_space,nat,4,0.0,1.0,0.0
double_space,nat,4,0.5,0.98,0.02
