family,target,layer,alpha,n,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,reused,screen_rate,best_layer,best_alpha,best_acc,delta_vs_best,within_tol,picked_by_accuracy,picked_by_screen
ise_ize,nat,24,1.0,200,0.81,0.75,0.858,0.875,0.12,0.89,False,0.86,16,1.0,0.74,0.07,True,True,False
ise_ize,nat,24,2.0,200,0.685,0.618,0.745,0.815,0.18,0.84,False,0.8,16,1.0,0.74,-0.055,False,False,False
ise_ize,nat,24,4.0,200,0.7,0.633,0.759,0.85,0.145,0.82,False,0.82,16,1.0,0.74,-0.04,False,False,False
ise_ize,alt,24,0.5,200,0.32,0.259,0.388,0.355,0.175,0.825,False,0.42,24,2.0,0.67,-0.35,False,False,False
ise_ize,alt,24,1.0,200,0.575,0.506,0.641,0.665,0.17,0.85,False,0.6,24,2.0,0.67,-0.095,False,False,False
ise_ize,alt,24,2.0,200,0.67,0.602,0.731,0.77,0.11,0.865,True,0.76,24,2.0,0.67,0.0,True,True,True
ise_ize,alt,24,4.0,200,0.655,0.587,0.717,0.77,0.155,0.83,False,0.62,24,2.0,0.67,-0.015,True,False,False
brit_t_past,nat,24,0.5,200,0.565,0.496,0.632,0.765,0.18,0.755,False,0.8,24,4.0,0.62,-0.055,False,False,False
brit_t_past,nat,24,1.0,200,0.555,0.486,0.622,0.73,0.23,0.75,False,0.68,24,4.0,0.62,-0.065,False,False,False
brit_t_past,nat,24,2.0,200,0.68,0.612,0.741,0.815,0.155,0.805,False,0.8,24,4.0,0.62,0.06,True,True,False
brit_t_past,nat,24,4.0,200,0.62,0.551,0.684,0.82,0.15,0.75,True,0.84,24,4.0,0.62,0.0,True,False,True
brit_t_past,alt,24,0.5,200,0.115,0.078,0.167,0.15,0.175,0.75,False,0.06,24,4.0,0.43,-0.315,False,False,False
brit_t_past,alt,24,1.0,200,0.145,0.103,0.2,0.18,0.255,0.765,False,0.12,24,4.0,0.43,-0.285,False,False,False
brit_t_past,alt,24,2.0,200,0.21,0.159,0.272,0.295,0.215,0.76,True,0.46,24,4.0,0.43,-0.22,False,False,False
brit_t_past,alt,24,4.0,200,0.43,0.363,0.499,0.515,0.245,0.77,True,0.56,24,4.0,0.43,0.0,True,True,True
whilst,nat,24,0.5,200,0.785,0.723,0.836,0.89,0.105,0.885,False,0.86,24,4.0,0.87,-0.085,False,False,False
whilst,nat,24,1.0,200,0.765,0.702,0.818,0.86,0.135,0.895,False,0.88,24,4.0,0.87,-0.105,False,False,False
whilst,nat,24,2.0,200,0.85,0.794,0.893,0.925,0.075,0.9,False,0.88,24,4.0,0.87,-0.02,True,False,False
whilst,nat,24,4.0,200,0.87,0.816,0.91,0.96,0.035,0.905,True,0.96,24,4.0,0.87,0.0,True,True,True
whilst,alt,24,0.5,200,0.135,0.094,0.189,0.155,0.275,0.895,False,0.18,24,4.0,0.9,-0.765,False,False,False
whilst,alt,24,1.0,200,0.555,0.486,0.622,0.605,0.18,0.88,False,0.72,24,4.0,0.9,-0.345,False,False,False
