family,target,arm,layer,alpha,cf_family,n,accuracy,ci_lo,ci_hi,style_only,unscorable,judge_ok,capped,step3_k0,step3_k4
sentence_caps,nat,base,0,0.0,,200,0.57,0.501,0.637,0.975,0.02,0.575,0.03,0.565,0.77
sentence_caps,alt,base,0,0.0,,200,0.005,0.001,0.028,0.005,0.02,0.575,0.03,0.0,0.68
sentence_caps,alt,alt_cf,12,4.0,all_caps,200,0.0,0.0,0.019,0.005,0.24,0.03,0.025,0.0,0.68
sentence_caps,alt,alt_top1,12,4.0,,200,0.115,0.078,0.167,0.94,0.055,0.115,0.04,0.0,0.68
sentence_caps,alt,alt_top2,16,4.0,,200,0.165,0.12,0.223,0.9,0.085,0.17,0.07,0.0,0.68
sentence_caps,nat,nat_cf,12,0.5,all_caps,200,0.56,0.491,0.627,0.98,0.02,0.56,0.025,0.565,0.77
sentence_caps,nat,nat_top1,12,0.5,,200,0.565,0.496,0.632,0.975,0.025,0.565,0.025,0.565,0.77
sentence_caps,nat,nat_top2,16,0.5,,200,0.525,0.456,0.593,0.985,0.015,0.525,0.025,0.565,0.77
all_caps,nat,base,0,0.0,,200,0.545,0.476,0.613,0.99,0.01,0.545,0.02,0.515,0.755
all_caps,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.01,0.545,0.02,0.0,0.355
all_caps,alt,alt_cf,8,2.0,double_space,200,0.0,0.0,0.019,0.0,0.23,0.41,0.03,0.0,0.355
all_caps,alt,alt_top1,8,2.0,,200,0.1,0.066,0.149,0.61,0.155,0.165,0.065,0.0,0.355
all_caps,alt,alt_top2,20,4.0,,200,0.03,0.014,0.064,0.615,0.08,0.085,0.05,0.0,0.355
all_caps,nat,nat_cf,2,0.5,double_space,200,0.55,0.481,0.617,0.98,0.02,0.555,0.025,0.515,0.755
all_caps,nat,nat_top1,2,0.5,,200,0.545,0.476,0.613,0.985,0.015,0.545,0.005,0.515,0.755
all_caps,nat,nat_top2,4,0.5,,200,0.58,0.511,0.646,0.98,0.02,0.58,0.02,0.515,0.755
double_space,nat,base,0,0.0,,200,0.66,0.592,0.722,0.965,0.035,0.66,0.03,0.71,0.765
double_space,alt,base,0,0.0,,200,0.0,0.0,0.019,0.0,0.035,0.66,0.03,0.0,0.745
double_space,alt,alt_cf,24,4.0,us_uk,200,0.005,0.001,0.028,0.005,0.03,0.69,0.03,0.0,0.745
double_space,alt,alt_top1,24,4.0,,200,0.66,0.592,0.722,0.97,0.03,0.66,0.03,0.0,0.745
double_space,alt,alt_top2,24,2.0,,200,0.6,0.531,0.665,0.925,0.055,0.62,0.025,0.0,0.745
double_space,nat,nat_cf,8,0.5,us_uk,200,0.68,0.612,0.741,0.99,0.01,0.68,0.035,0.71,0.765
double_space,nat,nat_top1,8,0.5,,200,0.71,0.644,0.768,0.985,0.01,0.715,0.025,0.71,0.765
double_space,nat,nat_top2,12,0.5,,200,0.68,0.612,0.741,0.995,0.005,0.685,0.045,0.71,0.765
us_uk,nat,base,0,0.0,,200,0.615,0.546,0.68,0.725,0.165,0.855,0.01,0.645,0.715
us_uk,alt,base,0,0.0,,200,0.09,0.058,0.138,0.11,0.165,0.855,0.01,0.075,0.545
us_uk,alt,alt_cf,24,2.0,ise_ize,200,0.555,0.486,0.622,0.675,0.215,0.805,0.0,0.075,0.545
us_uk,alt,alt_top1,24,2.0,,200,0.585,0.516,0.651,0.715,0.195,0.82,0.0,0.075,0.545
us_uk,alt,alt_top2,20,4.0,,200,0.545,0.476,0.613,0.655,0.175,0.825,0.005,0.075,0.545
us_uk,nat,nat_cf,24,2.0,ise_ize,200,0.64,0.571,0.703,0.78,0.2,0.825,0.015,0.645,0.715
us_uk,nat,nat_top1,24,2.0,,200,0.725,0.659,0.782,0.835,0.155,0.855,0.02,0.645,0.715
us_uk,nat,nat_top2,20,4.0,,200,0.685,0.618,0.745,0.805,0.18,0.845,0.0,0.645,0.715
ise_ize,nat,base,0,0.0,,200,0.68,0.612,0.741,0.805,0.155,0.84,0.0,0.68,0.755
ise_ize,alt,base,0,0.0,,200,0.035,0.017,0.07,0.04,0.155,0.84,0.0,0.025,0.545
ise_ize,alt,alt_cf,24,2.0,brit_t_past,200,0.405,0.339,0.474,0.46,0.165,0.84,0.015,0.025,0.545
ise_ize,alt,alt_top1,24,2.0,,200,0.67,0.602,0.731,0.77,0.11,0.865,0.0,0.025,0.545
ise_ize,alt,alt_top2,20,2.0,,200,0.465,0.397,0.534,0.555,0.155,0.805,0.005,0.025,0.545
ise_ize,nat,nat_cf,16,1.0,brit_t_past,200,0.71,0.644,0.768,0.83,0.15,0.845,0.0,0.68,0.755
ise_ize,nat,nat_top1,16,1.0,,200,0.74,0.675,0.796,0.895,0.085,0.83,0.0,0.68,0.755
ise_ize,nat,nat_top2,4,2.0,,200,0.71,0.644,0.768,0.825,0.11,0.86,0.01,0.68,0.755
brit_t_past,nat,base,0,0.0,,200,0.55,0.481,0.617,0.7,0.21,0.79,0.015,0.495,0.51
brit_t_past,alt,base,0,0.0,,200,0.07,0.042,0.114,0.09,0.21,0.79,0.015,0.065,0.2
brit_t_past,alt,alt_cf,24,4.0,sentence_caps,200,0.095,0.062,0.144,0.11,0.295,0.7,0.01,0.065,0.2
brit_t_past,alt,alt_top1,24,4.0,,200,0.43,0.363,0.499,0.515,0.245,0.77,0.01,0.065,0.2
