task,group,n_heads,zs_base,zs_best,zs_bestL,shuf_base,shuf_best,shuf_bestL,mix_base,mix_best,mix_bestL
adjective_to_adverb,train,140,0.0,0.96,6,0.18,0.94,12,0.0,0.86,10
adjective_to_noun,train,140,0.02,0.78,11,0.1,0.8,13,0.12,0.82,17
adverb_to_adjective,train,140,0.0,0.88,17,0.1,0.92,15,0.46,0.88,15
ag_news,train,140,0.0,0.78,5,0.52,0.76,13,0.0,0.74,12
agent_noun_to_verb,train,140,0.02,0.94,7,0.16,0.94,12,0.1,0.92,14
animal_class,train,140,0.0,0.82,17,0.44,0.98,17,0.12,0.68,18
animal_plant_object,train,140,0.0,0.74,9,0.74,0.94,9,0.0,0.56,11
antonym,train,140,0.06,0.76,7,0.36,0.7,10,0.1,0.72,12
article_choice,train,140,0.0,0.9,10,0.84,0.98,6,0.0,0.9,15
capitalize,train,140,0.04,1.0,15,0.28,1.0,15,0.0,0.98,10
capitalize_first_letter,train,140,0.04,1.0,9,0.12,0.92,11,0.0,0.98,18
city-country,train,140,0.0,0.86,5,0.16,1.0,14,0.3,0.92,13
commonsense_qa,train,140,0.7,0.82,27,0.72,0.76,27,0.76,0.82,11
compound_first,train,140,0.06,0.92,9,0.06,0.84,15,0.2,0.94,17
compound_head,train,140,0.0,0.88,11,0.42,0.88,10,0.04,0.88,11
concrete_abstract,train,140,0.0,0.86,9,0.92,0.96,5,0.0,0.62,15
count_words,train,140,0.0,0.56,13,0.54,0.72,5,0.0,0.36,15
country-capital,train,140,0.0,0.9286,9,0.0238,0.8571,16,0.0476,0.881,20
day_after_textual_date,train,140,0.0,1.0,6,0.06,0.58,10,0.06,0.98,10
double_number,train,140,0.0,1.0,6,0.12,0.42,6,0.1,0.88,10
ends_with_ing,train,140,0.0,0.5,9,0.58,0.62,10,0.0,0.6,18
english-french,train,140,0.0,0.72,11,0.36,0.76,15,0.0,0.34,11
english-german,train,140,0.0,0.36,12,0.1,0.42,15,0.0,0.2,11
english-italian,train,140,0.0,0.66,13,0.28,0.78,14,0.0,0.3,14
english-portuguese,train,140,0.0,0.72,9,0.3,0.86,14,0.0,0.34,18
english-spanish,train,140,0.0,0.84,11,0.38,0.86,13,0.02,0.5,14
first_digit,train,140,0.48,1.0,6,0.22,0.64,11,0.56,1.0,9
first_three_letters,train,140,0.0,0.72,18,0.08,0.76,13,0.0,0.64,10
first_two_letters,train,140,0.0,0.9,18,0.1,0.96,14,0.04,0.86,16
first_vowel,train,140,0.0,0.7,18,0.5,0.78,9,0.02,0.66,18
german-english,train,140,0.0,0.88,9,0.42,0.94,12,0.5,0.8,14
german_noun_gender,train,140,0.0,0.86,15,1.0,1.0,1,0.0,0.74,19
gerund_to_base,train,140,0.02,1.0,12,0.08,0.98,12,0.4,1.0,13
gerund_to_past,train,140,0.0,1.0,9,0.08,0.98,13,0.04,0.98,16
halve_even_number,train,140,0.0,0.98,9,0.1,0.32,11,0.06,0.84,10
hypernym_category,train,140,0.0,0.7,17,0.26,0.7,9,0.16,0.7,16
initials_two_words,train,140,0.0,0.96,16,0.32,0.96,14,0.0,0.98,16
iso_date_to_month,train,140,0.08,1.0,0,0.18,1.0,10,0.24,1.0,9
iso_date_year_plus_one,train,140,0.0,1.0,9,0.16,0.74,11,0.0,0.58,12
landmark-country,train,140,0.0,0.84,9,0.44,0.88,15,0.2,0.84,14
language_identification,train,140,0.0,0.98,4,0.62,1.0,11,0.0,0.96,14
larger_of_pair,train,140,0.0,0.98,10,0.12,0.66,14,0.34,0.74,10
larger_than_1000,train,140,0.0,0.5,5,0.54,0.56,25,0.0,0.3,15
last_vowel,train,140,0.0,0.46,17,0.56,0.7,5,0.0,0.48,17
lowercase_first_letter,train,140,0.0,1.0,18,0.0,0.92,18,0.0,1.0,18
lowercase_last_letter,train,140,0.0,0.72,17,0.38,0.78,19,0.02,0.72,11
lowercase_word,train,140,0.0,1.0,8,0.26,1.0,11,0.3,1.0,9
national_parks,train,140,0.0,0.74,6,0.28,0.8,15,0.28,0.78,16
nato_first_letter,train,140,0.0,0.58,9,0.28,0.46,15,0.0,0.5,10
next_in_period,train,140,0.0,0.7143,13,0.0714,0.5,15,0.0,0.5,13
