layer,test_perprompt,test_centroid,train_centroid
0,0.3613,0.4118,0.7088
1,0.3808,0.4375,0.7939
2,0.3997,0.4459,0.7965
3,0.4168,0.4716,0.8514
4,0.4303,0.4897,0.8864
5,0.4432,0.5026,0.9095
6,0.4455,0.5113,0.9289
7,0.4544,0.5219,0.9430
8,0.4604,0.5109,0.9054
9,0.4651,0.5143,0.9036
10,0.4662,0.5171,0.9081
11,0.4703,0.5208,0.9184
12,0.4758,0.5267,0.9244
13,0.4772,0.5293,0.9293
14,0.4835,0.5373,0.9372
15,0.4842,0.5417,0.9456
16,0.4861,0.5438,0.9502
17,0.4830,0.5419,0.9538
18,0.4837,0.5436,0.9550
19,0.4863,0.5468,0.9586
20,0.4860,0.5517,0.9623
21,0.4823,0.5521,0.9662
22,0.4769,0.5544,0.9727
23,0.4733,0.5358,0.9426
24,0.4742,0.5436,0.9563
25,0.4685,0.5465,0.9656
26,0.4607,0.5215,0.9330
27,0.4516,0.5222,0.9437
