task,group,n_heads,zs_base,zs_best,zs_bestL,shuf_base,shuf_best,shuf_bestL,mix_base,mix_best,mix_bestL
adjective_to_adverb,train,170,0.0,0.94,6,0.18,0.94,16,0.0,0.88,11
ag_news,train,170,0.0,0.78,8,0.52,0.8,15,0.0,0.76,12
agent_noun_to_verb,train,170,0.02,0.94,8,0.16,0.94,15,0.1,0.92,16
animal_class,train,170,0.0,0.9,17,0.44,0.98,17,0.12,0.74,10
animal_plant_object,train,170,0.0,0.76,9,0.74,0.92,17,0.0,0.68,10
antonym,train,170,0.06,0.74,7,0.36,0.72,13,0.1,0.68,11
article_choice,train,170,0.0,0.84,9,0.84,0.96,9,0.0,0.82,18
capitalize,train,170,0.04,1.0,15,0.28,1.0,14,0.0,0.98,13
capitalize_first_letter,train,170,0.04,1.0,9,0.12,0.96,11,0.0,0.98,10
city-country,train,170,0.0,0.88,9,0.16,1.0,12,0.3,0.92,13
commonsense_qa,train,170,0.7,0.82,1,0.72,0.72,1,0.76,0.82,9
compound_first,train,170,0.06,0.92,18,0.06,0.84,15,0.2,0.92,18
concrete_abstract,train,170,0.0,0.74,16,0.92,0.94,17,0.0,0.36,15
contains_letter_e,train,170,0.0,0.52,6,0.52,0.56,27,0.0,0.56,15
count_consonants,train,170,0.0,0.32,11,0.28,0.36,11,0.0,0.4,10
count_digits,train,170,0.04,0.82,8,0.38,0.56,11,0.1,0.86,9
count_words,train,170,0.0,0.56,13,0.54,0.82,9,0.0,0.44,10
country-currency,train,170,0.0,0.1429,9,0.0238,0.2619,16,0.0,0.0238,19
double_last_letter,train,170,0.0,0.16,9,0.14,0.62,13,0.0,0.08,11
double_no_carry,train,170,0.0,1.0,9,0.16,0.44,11,0.0,0.56,11
double_number,train,170,0.0,1.0,8,0.12,0.54,10,0.1,1.0,9
ends_with_ing,train,170,0.0,0.62,9,0.58,0.64,3,0.0,0.56,18
english-french,train,170,0.0,0.76,13,0.36,0.74,15,0.0,0.22,11
english-italian,train,170,0.0,0.66,15,0.28,0.78,15,0.0,0.32,11
english-portuguese,train,170,0.0,0.6,11,0.3,0.86,14,0.0,0.32,18
english-spanish,train,170,0.0,0.8,11,0.38,0.86,12,0.02,0.46,18
first_digit,train,170,0.48,1.0,7,0.22,0.74,11,0.56,1.0,10
first_letter_second_word,train,170,0.0,0.84,10,0.16,0.78,18,0.0,0.84,13
first_three_letters,train,170,0.0,0.76,18,0.08,0.74,13,0.0,0.66,14
first_two_letters,train,170,0.0,0.92,12,0.1,0.98,11,0.04,0.9,16
french-english,train,170,0.0,0.8,5,0.24,0.92,16,0.44,0.76,14
french_noun_gender,train,170,0.0,0.82,14,1.0,1.0,8,0.02,0.9,14
german-english,train,170,0.0,0.86,9,0.42,0.94,11,0.5,0.82,14
german_noun_gender,train,170,0.0,0.8,17,1.0,1.0,3,0.0,0.76,19
gerund_to_base,train,170,0.02,1.0,12,0.08,0.98,15,0.4,1.0,15
gerund_to_past,train,170,0.0,1.0,9,0.08,0.96,11,0.04,0.98,15
halve_even_number,train,170,0.0,0.98,12,0.1,0.4,10,0.06,0.78,10
hypernym_category,train,170,0.0,0.66,17,0.26,0.66,17,0.16,0.68,16
initials_two_words,train,170,0.0,0.98,15,0.32,0.98,16,0.0,0.98,16
iso_date_to_month,train,170,0.08,1.0,3,0.18,1.0,10,0.24,1.0,6
iso_date_year_plus_one,train,170,0.0,0.86,9,0.16,0.7,11,0.0,0.22,11
landmark-country,train,170,0.0,0.84,9,0.44,0.88,14,0.2,0.84,14
language_identification,train,170,0.0,1.0,6,0.62,1.0,10,0.0,0.98,5
largest_digit,train,170,0.16,0.66,9,0.42,0.6,10,0.2,0.48,9
last_digit,train,170,0.04,1.0,11,0.14,0.66,11,0.16,0.96,11
last_two_letters,train,170,0.0,0.4,16,0.36,0.56,11,0.02,0.34,15
last_vowel,train,170,0.0,0.5,17,0.56,0.72,9,0.0,0.48,16
lowercase_first_letter,train,170,0.0,1.0,10,0.0,0.92,18,0.0,1.0,14
lowercase_last_letter,train,170,0.0,0.7,18,0.38,0.78,18,0.02,0.72,17
lowercase_word,train,170,0.0,1.0,6,0.26,1.0,10,0.3,1.0,9
nato_first_letter,train,170,0.0,0.54,9,0.28,0.48,14,0.0,0.4,10
natural_manmade,train,170,0.0,0.46,17,0.9,0.98,4,0.0,0.2,15
next_in_period,train,170,0.0,0.6429,11,0.0714,0.5714,11,0.0,0.4286,11
next_item,train,170,0.0213,0.8723,9,0.1915,0.9149,12,0.0213,0.8936,16
next_month_of_date,train,170,0.0,1.0,5,0.12,1.0,15,0.04,1.0,10
next_number_digits,train,170,0.0,1.0,6,0.0238,0.4762,13,0.0476,0.9524,11
number_word_to_digits,train,170,0.84,1.0,3,0.18,0.4,16,0.94,1.0,6
park-country,train,170,0.0,0.82,9,0.22,0.82,15,0.22,0.84,17
past_to_base,train,170,0.02,0.96,17,0.24,0.98,13,0.32,0.98,11
person-sport,train,170,0.0,0.84,6,0.54,0.94,16,0.18,0.88,19
person_place_thing,train,170,0.0,0.82,10,0.98,0.98,13,0.0,0.54,9
plus_hundred,train,170,0.0,0.18,10,0.1,0.24,11,0.0,0.02,9
pos_label,train,170,0.0,0.86,5,0.8,0.92,9,0.02,0.88,11
present-past,train,170,0.0,0.98,7,0.1,0.98,14,0.1,0.98,6
prev_item,train,170,0.0,0.7234,9,0.0213,0.8085,15,0.0,0.7447,15
prev_number_digits,train,170,0.0,1.0,7,0.0714,0.1905,0,0.0238,0.9762,9
product-company,train,170,0.0,0.8,9,0.4,0.82,14,0.14,0.8,17
remove_first_letter,train,170,0.0,0.46,13,0.14,0.46,15,0.0,0.46,14
round_up_to_ten,train,170,0.0,0.56,11,0.06,0.2,12,0.04,0.2,9
second_digit,train,170,0.04,0.48,9,0.1,0.36,17,0.14,0.24,17
sentiment,train,170,0.0,0.96,10,0.86,0.96,2,0.0,0.94,9
smaller_of_pair,train,170,0.06,0.8,13,0.1,0.32,14,0.36,0.76,13
spanish-english,train,170,0.0,0.9,18,0.44,0.94,17,0.62,0.86,17
spanish_noun_gender,train,170,0.0,0.98,12,1.0,1.0,8,0.02,0.98,15
starts_with_vowel,train,170,0.0,0.44,16,0.44,0.56,0,0.0,0.16,18
synonym,train,170,0.14,0.48,11,0.1,0.54,13,0.0,0.48,13
time_to_minutes,train,170,0.0,0.28,10,0.0,0.04,9,0.0,0.14,9
times_five,train,170,0.0,0.98,10,0.02,0.24,12,0.0,0.36,10
titlecase_phrase,train,170,0.0,0.96,12,0.52,1.0,16,0.0,0.66,9
uppercase_word,train,170,0.0,1.0,6,0.24,1.0,9,0.0,1.0,10
us-city-state,train,170,0.02,0.84,8,0.28,0.94,14,0.34,0.82,9
verb_tense_label,train,170,0.0,0.38,10,0.62,0.66,3,0.0,0.42,14
word_polarity,train,170,0.0,1.0,9,0.86,1.0,9,0.02,1.0,11
adjective_to_noun,heldout,170,0.02,0.78,18,0.1,0.78,12,0.12,0.78,16
adverb_to_adjective,heldout,170,0.0,0.88,13,0.1,0.94,15,0.46,0.88,15
compound_head,heldout,170,0.0,0.84,11,0.42,0.9,11,0.04,0.88,9
count_zeros,heldout,170,0.04,0.36,7,0.22,0.34,21,0.1,0.3,13
country-capital,heldout,170,0.0,0.9048,9,0.0238,0.8571,16,0.0476,0.8571,12
day_after_textual_date,heldout,170,0.0,1.0,10,0.06,0.56,13,0.06,0.98,13
english-german,heldout,170,0.0,0.4,13,0.1,0.42,10,0.0,0.12,11
first_vowel,heldout,170,0.0,0.74,18,0.5,0.78,11,0.02,0.64,18
larger_of_pair,heldout,170,0.0,0.92,11,0.12,0.7,11,0.34,0.74,11
larger_than_1000,heldout,170,0.0,0.48,5,0.54,0.52,27,0.0,0.42,10
national_parks,heldout,170,0.0,0.74,8,0.28,0.8,14,0.28,0.76,15
next_in_group,heldout,170,0.0,0.5,8,0.0,0.2143,0,0.0,0.2857,14
person-instrument,heldout,170,0.0,0.66,15,0.62,0.76,16,0.02,0.68,16
