family,style,unscorable_pooled,unscorable_k0,unscorable_k1,unscorable_k2,unscorable_k3,unscorable_k4
sentence_caps,nat,0.201,0.135,0.14,0.195,0.205,0.33
sentence_caps,alt,0.219,0.13,0.165,0.235,0.28,0.285
all_caps,nat,0.202,0.22,0.13,0.14,0.225,0.295
all_caps,alt,0.257,0.28,0.315,0.22,0.21,0.26
double_space,nat,0.255,0.085,0.15,0.28,0.34,0.42
double_space,alt,0.259,0.09,0.215,0.28,0.325,0.385
us_uk,nat,0.812,0.82,0.775,0.825,0.825,0.815
us_uk,alt,0.8,0.825,0.795,0.81,0.79,0.78
ise_ize,nat,0.873,0.96,0.85,0.88,0.84,0.835
ise_ize,alt,0.89,0.97,0.88,0.92,0.84,0.84
brit_t_past,nat,0.935,0.955,0.96,0.945,0.905,0.91
brit_t_past,alt,0.926,0.96,0.935,0.93,0.91,0.895
whilst,nat,0.903,0.985,0.905,0.89,0.85,0.885
whilst,alt,0.895,0.96,0.905,0.88,0.86,0.87
contractions,nat,0.6,0.76,0.54,0.59,0.57,0.54
contractions,alt,0.642,0.75,0.635,0.61,0.56,0.655
ampersand,nat,0.746,0.785,0.74,0.75,0.745,0.71
ampersand,alt,0.792,0.795,0.805,0.84,0.8,0.72
oxford_comma,nat,0.359,0.355,0.415,0.345,0.36,0.32
oxford_comma,alt,0.387,0.38,0.375,0.435,0.385,0.36
curly_quotes,nat,0.706,0.845,0.725,0.695,0.635,0.63
curly_quotes,alt,0.731,0.85,0.75,0.7,0.655,0.7
quote_punct,nat,0.204,0.315,0.21,0.155,0.165,0.175
quote_punct,alt,0.183,0.37,0.17,0.14,0.135,0.1
em_dash,nat,0.732,0.985,0.345,0.92,0.585,0.825
em_dash,alt,0.786,0.985,0.635,0.885,0.575,0.85
ellipsis,nat,0.766,0.97,0.9,0.77,0.61,0.58
ellipsis,alt,0.792,0.995,0.92,0.81,0.67,0.565
num_words,nat,0.721,0.85,0.69,0.735,0.665,0.665
num_words,alt,0.725,0.84,0.71,0.74,0.665,0.67
percent_sign,nat,0.279,0.435,0.245,0.235,0.225,0.255
percent_sign,alt,0.295,0.355,0.26,0.38,0.23,0.25
ordinal_words,nat,0.689,0.795,0.83,0.62,0.59,0.61
ordinal_words,alt,0.777,0.8,0.83,0.745,0.775,0.735
