family,style,k,n,accuracy,ci_lo,ci_hi,style_ok,wrong_style,unscorable,style_ok_but_incoherent,judge_ok,capped,unjudged
ise_ize,nat,2,200,0.095,0.062,0.144,0.115,0.005,0.88,0.02,0.79,0.01,0
ise_ize,nat,3,200,0.14,0.099,0.195,0.16,0.0,0.84,0.02,0.78,0.01,0
ise_ize,nat,4,200,0.1,0.066,0.149,0.165,0.0,0.835,0.065,0.755,0.02,0
ise_ize,alt,0,200,0.005,0.001,0.028,0.005,0.025,0.97,0.0,0.78,0.035,0
ise_ize,alt,1,200,0.07,0.042,0.114,0.1,0.02,0.88,0.03,0.685,0.04,0
ise_ize,alt,2,200,0.055,0.031,0.096,0.07,0.01,0.92,0.015,0.77,0.015,0
ise_ize,alt,3,200,0.075,0.046,0.12,0.115,0.045,0.84,0.04,0.725,0.025,0
ise_ize,alt,4,200,0.09,0.058,0.138,0.14,0.02,0.84,0.05,0.775,0.025,0
brit_t_past,nat,0,200,0.02,0.008,0.05,0.04,0.005,0.955,0.02,0.765,0.03,0
brit_t_past,nat,1,200,0.03,0.014,0.064,0.04,0.0,0.96,0.01,0.725,0.035,0
brit_t_past,nat,2,200,0.03,0.014,0.064,0.04,0.015,0.945,0.01,0.715,0.045,0
brit_t_past,nat,3,200,0.07,0.042,0.114,0.095,0.0,0.905,0.025,0.725,0.045,0
brit_t_past,nat,4,200,0.06,0.035,0.102,0.09,0.0,0.91,0.03,0.76,0.02,0
brit_t_past,alt,0,200,0.0,0.0,0.019,0.005,0.035,0.96,0.005,0.695,0.035,0
brit_t_past,alt,1,200,0.01,0.003,0.036,0.025,0.04,0.935,0.015,0.635,0.05,0
brit_t_past,alt,2,200,0.025,0.011,0.057,0.04,0.03,0.93,0.015,0.76,0.02,0
brit_t_past,alt,3,200,0.03,0.014,0.064,0.05,0.04,0.91,0.02,0.68,0.02,0
brit_t_past,alt,4,200,0.035,0.017,0.07,0.045,0.06,0.895,0.01,0.705,0.05,0
whilst,nat,0,200,0.005,0.001,0.028,0.015,0.0,0.985,0.01,0.715,0.01,0
whilst,nat,1,200,0.06,0.035,0.102,0.085,0.01,0.905,0.025,0.74,0.02,0
whilst,nat,2,200,0.055,0.031,0.096,0.095,0.015,0.89,0.04,0.74,0.035,0
whilst,nat,3,200,0.11,0.074,0.161,0.135,0.015,0.85,0.025,0.76,0.04,0
whilst,nat,4,200,0.065,0.038,0.108,0.095,0.02,0.885,0.03,0.76,0.015,0
whilst,alt,0,200,0.0,0.0,0.019,0.0,0.04,0.96,0.0,0.725,0.015,0
whilst,alt,1,200,0.03,0.014,0.064,0.05,0.045,0.905,0.02,0.76,0.02,0
whilst,alt,2,200,0.04,0.02,0.077,0.06,0.06,0.88,0.02,0.665,0.015,0
whilst,alt,3,200,0.055,0.031,0.096,0.095,0.045,0.86,0.04,0.69,0.025,0
whilst,alt,4,200,0.09,0.058,0.138,0.105,0.025,0.87,0.015,0.765,0.01,0
contractions,nat,0,200,0.04,0.02,0.077,0.045,0.195,0.76,0.005,0.78,0.01,0
contractions,nat,1,200,0.26,0.204,0.325,0.31,0.15,0.54,0.05,0.78,0.03,0
contractions,nat,2,200,0.19,0.142,0.25,0.265,0.145,0.59,0.075,0.715,0.04,0
contractions,nat,3,200,0.26,0.204,0.325,0.34,0.09,0.57,0.08,0.74,0.01,0
contractions,nat,4,200,0.26,0.204,0.325,0.37,0.09,0.54,0.11,0.695,0.005,0
contractions,alt,0,200,0.13,0.09,0.184,0.19,0.06,0.75,0.06,0.775,0.03,0
contractions,alt,1,200,0.2,0.15,0.261,0.285,0.08,0.635,0.085,0.72,0.02,0
contractions,alt,2,200,0.255,0.2,0.32,0.345,0.045,0.61,0.09,0.705,0.015,0
contractions,alt,3,200,0.315,0.255,0.382,0.425,0.015,0.56,0.11,0.705,0.01,0
contractions,alt,4,200,0.225,0.173,0.288,0.29,0.055,0.655,0.065,0.68,0.015,0
ampersand,nat,0,200,0.2,0.15,0.261,0.215,0.0,0.785,0.015,0.715,0.01,0
ampersand,nat,1,200,0.21,0.159,0.272,0.26,0.0,0.74,0.05,0.67,0.02,0
ampersand,nat,2,200,0.24,0.186,0.304,0.25,0.0,0.75,0.01,0.745,0.02,0
ampersand,nat,3,200,0.235,0.182,0.298,0.255,0.0,0.745,0.02,0.68,0.0,0
ampersand,nat,4,200,0.25,0.195,0.314,0.285,0.005,0.71,0.035,0.765,0.025,0
ampersand,alt,0,200,0.0,0.0,0.019,0.0,0.205,0.795,0.0,0.655,0.01,0
ampersand,alt,1,200,0.1,0.066,0.149,0.105,0.09,0.805,0.005,0.64,0.025,0
ampersand,alt,2,200,0.105,0.07,0.155,0.12,0.04,0.84,0.015,0.715,0.02,0
ampersand,alt,3,200,0.115,0.078,0.167,0.13,0.07,0.8,0.015,0.645,0.025,0
ampersand,alt,4,200,0.19,0.142,0.25,0.215,0.065,0.72,0.025,0.745,0.025,0
oxford_comma,nat,0,200,0.35,0.287,0.418,0.38,0.265,0.355,0.03,0.855,0.01,0
oxford_comma,nat,1,200,0.42,0.354,0.489,0.475,0.11,0.415,0.055,0.865,0.03,0
oxford_comma,nat,2,200,0.57,0.501,0.637,0.635,0.02,0.345,0.065,0.885,0.02,0
oxford_comma,nat,3,200,0.575,0.506,0.641,0.63,0.01,0.36,0.055,0.905,0.005,0
oxford_comma,nat,4,200,0.585,0.516,0.651,0.64,0.04,0.32,0.055,0.905,0.005,0
oxford_comma,alt,0,200,0.3,0.241,0.367,0.32,0.3,0.38,0.02,0.9,0.015,0
oxford_comma,alt,1,200,0.375,0.311,0.444,0.44,0.185,0.375,0.065,0.845,0.02,0
oxford_comma,alt,2,200,0.415,0.349,0.484,0.485,0.08,0.435,0.07,0.86,0.01,0
oxford_comma,alt,3,200,0.47,0.402,0.539,0.53,0.085,0.385,0.06,0.89,0.01,0
oxford_comma,alt,4,200,0.48,0.412,0.549,0.525,0.115,0.36,0.045,0.885,0.01,0
curly_quotes,nat,0,200,0.065,0.038,0.108,0.1,0.055,0.845,0.035,0.72,0.03,0
curly_quotes,nat,1,200,0.21,0.159,0.272,0.27,0.005,0.725,0.06,0.745,0.025,0
curly_quotes,nat,2,200,0.24,0.186,0.304,0.3,0.005,0.695,0.06,0.805,0.02,0
curly_quotes,nat,3,200,0.255,0.2,0.32,0.365,0.0,0.635,0.11,0.775,0.02,0
curly_quotes,nat,4,200,0.285,0.227,0.351,0.37,0.0,0.63,0.085,0.795,0.005,0
curly_quotes,alt,0,200,0.05,0.027,0.09,0.065,0.085,0.85,0.015,0.78,0.025,0
curly_quotes,alt,1,200,0.18,0.133,0.239,0.24,0.01,0.75,0.06,0.765,0.03,0
curly_quotes,alt,2,200,0.205,0.155,0.266,0.27,0.03,0.7,0.065,0.735,0.025,0
curly_quotes,alt,3,200,0.255,0.2,0.32,0.345,0.0,0.655,0.09,0.765,0.04,0
curly_quotes,alt,4,200,0.245,0.191,0.309,0.3,0.0,0.7,0.055,0.785,0.01,0
quote_punct,nat,0,200,0.425,0.359,0.494,0.48,0.205,0.315,0.055,0.79,0.025,0
quote_punct,nat,1,200,0.635,0.566,0.699,0.715,0.075,0.21,0.08,0.825,0.02,0
quote_punct,nat,2,200,0.705,0.638,0.764,0.82,0.025,0.155,0.115,0.815,0.0,0
quote_punct,nat,3,200,0.72,0.654,0.778,0.81,0.025,0.165,0.09,0.85,0.0,0
quote_punct,nat,4,200,0.705,0.638,0.764,0.815,0.01,0.175,0.11,0.785,0.01,0
quote_punct,alt,0,200,0.165,0.12,0.223,0.195,0.435,0.37,0.03,0.695,0.01,0
quote_punct,alt,1,200,0.595,0.526,0.661,0.705,0.125,0.17,0.11,0.78,0.015,0
quote_punct,alt,2,200,0.705,0.638,0.764,0.815,0.045,0.14,0.11,0.84,0.005,0
quote_punct,alt,3,200,0.7,0.633,0.759,0.835,0.03,0.135,0.135,0.795,0.01,0
quote_punct,alt,4,200,0.77,0.707,0.823,0.865,0.035,0.1,0.095,0.865,0.0,0
em_dash,nat,0,200,0.01,0.003,0.036,0.015,0.0,0.985,0.005,0.63,0.03,0
em_dash,nat,1,200,0.55,0.481,0.617,0.655,0.0,0.345,0.105,0.765,0.035,0
em_dash,nat,2,200,0.06,0.035,0.102,0.08,0.0,0.92,0.02,0.64,0.045,0
em_dash,nat,3,200,0.33,0.269,0.398,0.415,0.0,0.585,0.085,0.625,0.02,0
em_dash,nat,4,200,0.095,0.062,0.144,0.175,0.0,0.825,0.08,0.61,0.01,0
em_dash,alt,0,200,0.005,0.001,0.028,0.005,0.01,0.985,0.0,0.645,0.025,0
em_dash,alt,1,200,0.29,0.232,0.356,0.365,0.0,0.635,0.075,0.605,0.035,0
em_dash,alt,2,200,0.08,0.05,0.126,0.115,0.0,0.885,0.035,0.72,0.055,0
em_dash,alt,3,200,0.33,0.269,0.398,0.425,0.0,0.575,0.095,0.63,0.02,0
em_dash,alt,4,200,0.1,0.066,0.149,0.15,0.0,0.85,0.05,0.655,0.035,0
ellipsis,nat,0,200,0.01,0.003,0.036,0.015,0.015,0.97,0.005,0.395,0.01,0
ellipsis,nat,1,200,0.075,0.046,0.12,0.09,0.01,0.9,0.015,0.495,0.01,0
ellipsis,nat,2,200,0.215,0.164,0.277,0.23,0.0,0.77,0.015,0.555,0.0,0
ellipsis,nat,3,200,0.36,0.297,0.429,0.39,0.0,0.61,0.03,0.6,0.0,0
ellipsis,nat,4,200,0.395,0.33,0.464,0.42,0.0,0.58,0.025,0.655,0.005,0
ellipsis,alt,0,200,0.0,0.0,0.019,0.0,0.005,0.995,0.0,0.45,0.005,0
ellipsis,alt,1,200,0.04,0.02,0.077,0.065,0.015,0.92,0.025,0.45,0.02,0
ellipsis,alt,2,200,0.09,0.058,0.138,0.17,0.02,0.81,0.08,0.47,0.045,0
ellipsis,alt,3,200,0.17,0.124,0.228,0.315,0.015,0.67,0.145,0.505,0.06,0
ellipsis,alt,4,200,0.23,0.177,0.293,0.415,0.02,0.565,0.185,0.505,0.1,0
num_words,nat,0,200,0.075,0.046,0.12,0.09,0.06,0.85,0.015,0.79,0.035,0
num_words,nat,1,200,0.23,0.177,0.293,0.27,0.04,0.69,0.04,0.78,0.03,0
num_words,nat,2,200,0.185,0.137,0.245,0.245,0.02,0.735,0.06,0.74,0.015,0
num_words,nat,3,200,0.28,0.222,0.346,0.33,0.005,0.665,0.05,0.78,0.03,0
num_words,nat,4,200,0.28,0.222,0.346,0.32,0.015,0.665,0.04,0.84,0.015,0
num_words,alt,0,200,0.045,0.024,0.083,0.065,0.095,0.84,0.02,0.755,0.02,0
num_words,alt,1,200,0.185,0.137,0.245,0.215,0.075,0.71,0.03,0.755,0.03,0
num_words,alt,2,200,0.14,0.099,0.195,0.185,0.075,0.74,0.045,0.725,0.045,0
num_words,alt,3,200,0.205,0.155,0.266,0.285,0.05,0.665,0.08,0.71,0.05,0
num_words,alt,4,200,0.185,0.137,0.245,0.23,0.1,0.67,0.045,0.77,0.035,0
percent_sign,nat,0,200,0.3,0.241,0.367,0.415,0.15,0.435,0.115,0.745,0.03,0
percent_sign,nat,1,200,0.59,0.521,0.656,0.745,0.01,0.245,0.155,0.745,0.025,0
percent_sign,nat,2,200,0.63,0.561,0.694,0.76,0.005,0.235,0.13,0.8,0.035,0
percent_sign,nat,3,200,0.63,0.561,0.694,0.77,0.005,0.225,0.14,0.81,0.015,0
percent_sign,nat,4,200,0.675,0.607,0.736,0.745,0.0,0.255,0.07,0.86,0.035,0
percent_sign,alt,0,200,0.1,0.066,0.149,0.125,0.52,0.355,0.025,0.725,0.03,0
percent_sign,alt,1,200,0.53,0.461,0.598,0.68,0.06,0.26,0.15,0.745,0.01,0
percent_sign,alt,2,200,0.51,0.441,0.578,0.58,0.04,0.38,0.07,0.83,0.025,0
percent_sign,alt,3,200,0.625,0.556,0.689,0.74,0.03,0.23,0.115,0.81,0.015,0
percent_sign,alt,4,200,0.65,0.582,0.713,0.735,0.015,0.25,0.085,0.835,0.02,0
ordinal_words,nat,0,200,0.0,0.0,0.019,0.005,0.2,0.795,0.005,0.74,0.05,0
ordinal_words,nat,1,200,0.065,0.038,0.108,0.095,0.075,0.83,0.03,0.61,0.04,0
ordinal_words,nat,2,200,0.17,0.124,0.228,0.26,0.12,0.62,0.09,0.605,0.03,0
ordinal_words,nat,3,200,0.225,0.173,0.288,0.365,0.045,0.59,0.14,0.615,0.02,0
ordinal_words,nat,4,200,0.265,0.209,0.33,0.355,0.035,0.61,0.09,0.68,0.04,0
ordinal_words,alt,0,200,0.155,0.111,0.212,0.19,0.01,0.8,0.035,0.715,0.03,0
ordinal_words,alt,1,200,0.11,0.074,0.161,0.165,0.005,0.83,0.055,0.635,0.035,0
ordinal_words,alt,2,200,0.17,0.124,0.228,0.255,0.0,0.745,0.085,0.705,0.045,0
ordinal_words,alt,3,200,0.155,0.111,0.212,0.225,0.0,0.775,0.07,0.67,0.04,0
ordinal_words,alt,4,200,0.17,0.124,0.228,0.26,0.005,0.735,0.09,0.635,0.055,0
