layer,demo1_input,demo1_cue,demo1_label,demo2_input,demo2_cue,demo2_label,demo3_input,demo3_cue,demo3_label,demo4_input,demo4_cue,demo4_label,demo5_input,demo5_cue,demo5_label,demo6_input,demo6_cue,demo6_label,demo7_input,demo7_cue,demo7_label,demo8_input,demo8_cue,demo8_label,demo9_input,demo9_cue,demo9_label,demo10_input,demo10_cue,demo10_label,query_input,query_cue
0,0.33948,0.31003,0.30704,0.34850,0.31392,0.31217,0.35247,0.31737,0.31618,0.35572,0.32004,0.31822,0.35734,0.32196,0.31970,0.35907,0.32366,0.32136,0.35993,0.32505,0.32275,0.36107,0.32580,0.32325,0.36154,0.32633,0.32359,0.36147,0.32667,0.32431,0.36201,0.32691
1,0.34671,0.32813,0.30966,0.35585,0.32401,0.31127,0.35780,0.32322,0.31416,0.36070,0.32344,0.31514,0.36165,0.32393,0.31567,0.36266,0.32457,0.31663,0.36259,0.32512,0.31731,0.36330,0.32546,0.31767,0.36366,0.32594,0.31769,0.36316,0.32647,0.31818,0.36332,0.32688
2,0.33202,0.30751,0.30355,0.35017,0.31694,0.30636,0.35342,0.31755,0.30816,0.35510,0.31758,0.30682,0.35510,0.31851,0.30609,0.35602,0.31968,0.30636,0.35568,0.32081,0.30663,0.35602,0.32118,0.30611,0.35634,0.32155,0.30593,0.35570,0.32219,0.30657,0.35580,0.32254
3,0.33918,0.31916,0.32724,0.37052,0.37368,0.34234,0.37778,0.37920,0.34678,0.38122,0.38089,0.34807,0.38301,0.38317,0.34870,0.38481,0.38502,0.34969,0.38485,0.38627,0.35038,0.38572,0.38713,0.35035,0.38666,0.38767,0.35026,0.38621,0.38843,0.35134,0.38660,0.38898
4,0.34730,0.33399,0.35308,0.38222,0.43005,0.38047,0.38879,0.45257,0.38991,0.39144,0.46023,0.39536,0.39280,0.46515,0.39842,0.39430,0.46873,0.40189,0.39471,0.47132,0.40446,0.39556,0.47353,0.40587,0.39664,0.47554,0.40757,0.39620,0.47701,0.40968,0.39691,0.47785
5,0.36618,0.35657,0.39294,0.40773,0.46493,0.42510,0.41321,0.48096,0.43204,0.41166,0.48566,0.43556,0.40978,0.49008,0.43726,0.40931,0.49487,0.44055,0.40874,0.49913,0.44291,0.40901,0.50313,0.44453,0.40935,0.50675,0.44648,0.40881,0.50955,0.44850,0.40934,0.51179
6,0.37109,0.37898,0.42790,0.42087,0.54301,0.47137,0.43319,0.59411,0.49483,0.43690,0.60712,0.50761,0.43891,0.61474,0.51562,0.44161,0.62044,0.52096,0.44317,0.62418,0.52510,0.44530,0.62760,0.52777,0.44690,0.63011,0.52995,0.44738,0.63243,0.53187,0.44903,0.63445
7,0.37360,0.38034,0.44051,0.42013,0.53596,0.47775,0.42671,0.58037,0.49657,0.42826,0.59749,0.50841,0.43058,0.60785,0.51688,0.43343,0.61582,0.52296,0.43529,0.62074,0.52695,0.43749,0.62557,0.52956,0.43923,0.62972,0.53158,0.43965,0.63368,0.53335,0.44130,0.63684
8,0.36682,0.38788,0.46268,0.41956,0.58317,0.52968,0.43060,0.64043,0.57098,0.43301,0.66017,0.59497,0.43481,0.67368,0.61116,0.43653,0.68359,0.62366,0.43851,0.69103,0.63169,0.44036,0.69749,0.63702,0.44201,0.70263,0.64154,0.44302,0.70698,0.64505,0.44497,0.71064
9,0.37218,0.39838,0.47429,0.42152,0.57387,0.56707,0.42899,0.63696,0.61506,0.43051,0.66386,0.64290,0.43291,0.67859,0.65886,0.43517,0.68756,0.66855,0.43755,0.69432,0.67475,0.43976,0.70000,0.67799,0.44139,0.70466,0.68177,0.44272,0.70843,0.68430,0.44463,0.71166
